Scène 2.VIII.,2.VIII sahne.
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",Ýamanlyk bolmadyk bir ýylgyryş döredýärmi?
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Ýok, sag bol. Her gün naharlanmak üçin, bir küýze?"
  Avoir un ventre usé par la marche ? une peau,Ýöreýän ýoluňda göwresini ýuwmak
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kim tizden tizden ýapyşýar?
  Exécuter des tours de souplesse dorsale ?. . .,Ýapynjaňlyk bilen hereket etmek . . .
"  Non, merci. D'une main flatter la chèvre au cou","Ýok, sag bol, bir el bilen goçy boýnundan ýuwaş"
"  Cependant que, de l'autre, on arrose le chou,","Emma biriniň üstüne gozgalaň suw salsa,"
"  Et, donneur de séné par désir de rhubarbe,",Ol owadan saçlary bilen süňklenýär.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Onuň tütetgi gapysy hemişe bir sakgalda bolup durmy?
"  Non, merci ! Se pousser de giron en giron,","Ýok, sag bol! Bir-birinden yzly-yzly ösmek,"
"  Devenir un petit grand homme dans un rond,","Bir gezek uly kiçijik adam bolup,"
"  Et naviguer, avec des madrigaux pour rames,","Gäm bilen gämide ýola düşüp,"
  Et dans ses voiles des soupirs de vieilles dames ?,Onuň ýapkynda gartaşan aýallaryň gygyryşy barmy?
"  Non, merci ! Chez le bon éditeur de Sercy","Ýok, sag bol, Sercyň dogry çapçysyna"
"  Faire éditer ses vers en payant ? Non, merci !","Ol öz jümleleri üçin pul töleýärmi? Ýok, sag bol!"
  S'aller faire nommer pape par les conciles,Popuň ady bilen çykyş etmek
  Que dans des cabarets tiennent des imbéciles ?,Bu adamlar öýlerde akmaklary saklaýarlarmy?
"  Non, merci ! Travailler à se construire un nom","Ýok, şükür, öz adyna işläp başla"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Bir çynlap, başgalary däl-de,"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Sen diňe owadan ýerlerde ukyp tapyp bilermiň?
"  Être terrorisé par de vagues gazettes,","Gazetalaryň ýaýramagyndan gorkup,"
"  Et se dire sans cesse: Oh, pourvu que je sois","""Eger men şeýle bolsam,"
  Dans les petits papiers du Mercure François ?. . .,Merkur Fransis kitabynyň kagyzyndaky . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ýok, sag bol! Esaplanmak, gorkmak, ýuwaşmak,"
"  Aimer mieux faire une visite qu'un poème,",Bir şairden görmäge gowy görýärin
"  Rédiger des placets, se faire présenter ?","Men kitaplary ýazýaryn, özüm bilen tanşyrylýarynmy?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ýok, şükür! Ýok, şükür! Ýok, şükür!"
"  Rêver, rire, passer, être seul, être libre,","Kyn düşmek, gülmek, geçmek, ýekelik, azatlyk"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Gözüňi görmäge, sesiniň titremegine,"
"  Mettre, quand il vous plaît, son feutre de travers,","Sen öz duýgusyny ýoýup,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Ýok"" üçin, ""Ýok"" üçin söweşmek ýa-da bir garak etmek!"
"  Travailler sans souci de gloire ou de fortune,","Öňki ýaly, bizem öz bähbidimizi artdyrmaga çalyşmaly."
"  A tel voyage, auquel on pense, dans la lune !",Aýyň ýoly barada oýlanyp görüň!
"  N'écrire jamais rien qui de soi ne sortît,","Özüňden çykmaýan zady asla ýazma,"
"  Et modeste d'ailleurs, se dire: mon petit,","""Eý, bala, men seniň bilen bilelikde"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Güllerden, miweden, hatda ýapraklardan hem lezzet al."
  Si c'est dans ton jardin à toi que tu les cueilles !,Eger sen olary öz bagyňda ýygnaýansyň!
"  Puis, s'il advient d'un peu triompher, par hasard,","Eger ol biraz ýeňiş gazansa,"
"  Ne pas être obligé d'en rien rendre à César,",Men imperatora hiç zat bermäge mejbur däl.
"  Vis-à-vis de soi-même en garder le mérite,","Özüňe hormat goýup,"
"  Bref, dédaignant d'être le lierre parasite,","Bir söz bilen, biz parazit lierre bolmakdan ägä bolsak,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Biz ol agaç we çyg bolmasak-da,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Belki-de, gaty ýokary çykma, ýöne ýeke!"
LE BRET:,GÜÇÜN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Ol ýeke-täk bolsa-da, hemmäniň garşysyna däl."
  As-tu donc contracté la manie effroyable,Sen gorkunç bir manyany aldyňmy?
"  De te faire toujours, partout, des ennemis ?",Özüňi hemişe duşman edip durmak?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",Siziň dostlaşýarsyňyz.
"  Et rire à ces amis dont vous avez des foules,","Goý, dostlaryňyz bilen gülüşiň."
  D'une bouche empruntée au derrière des poules !,"Bu bolsa, toýunlaryň arasyna düşen agzy bilen!"
"  J'aime raréfier sur mes pas les saluts,",Men aýaklarymda salamlary ýygy-ýygydan aýtmagy gowy görýärin.
  Et m'écrie avec joie: un ennemi de plus !,"Şatlanyp gygyr: ""Ýene bir duşman!"
LE BRET:,GÜÇÜN:
  Quelle aberration !,"Gör , nähili nädogry !"
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Hawa, bu meniň nädogry işim."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Men ýöreýändigime begenýärin. Men ýigrenilmegi halaýaryn.
"  Mon cher, si tu savais comme l'on marche mieux","Sen gowy ýöremek bilen bile bolsam, eý, söýgüli"
  Sous la pistolétade excitante des yeux !,Gözleriň gözleriniň astynda !
"  Comme, sur les pourpoints, font d'amusantes taches",Ol ýerde ýaryşlar bilen gyzykly ýükler bar
  Le fiel des envieux et la bave des lâches !,"Göripleriň zäherleri, gorkaklaryň gyjalatlary!"
"  --Vous, la molle amitié dont vous vous entourez,","Sen, özüňiň bilen dostlaşan ýuwaş dost,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ýalanyň uly boýuntyrygy ýaly, gijä galdyran"
"  Et flottants, dans lesquels votre cou s'effémine:",Ýüreginiň ýagyna ýapyşýan suwlar.
"  On y est plus à l'aise. . .et de moins haute mine,",Biz bu ýerde has rahatlyk tapýarys.
"  Car le front n'ayant pas de maintien ni de loi,",Çünki öňüňde kanun we kanun ýokdur.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ol her tarapdan seretmäge taýyn.
"  La Haine, chaque jour, me tuyaute et m'apprête","Gorkma, her gün meni ýuwup, ýuwup"
  La fraise dont l'empois force à lever la tête;,Ýagyşly çyranyň başyny galdyrmaga mejbur edýän zatlary;
  Chaque ennemi de plus est un nouveau godron,Her bir duşman täze bir çopan
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ol maňa bela-beter, ýagtylyk goşýar."
"  Car, pareille en tous points à la fraise espagnole,","Çünki her zatda Ispaniýanyň şeraby ýaly,"
"  La Haine est un carcan, mais c'est une auréole !","Näfret bir karkan, ýöne ol bir auréol!"
"LE BRET (après un silence, passant son bras sous le sien):","GÜÇÜN (ýüregini öz astynda geçirip, sessizlikden soň):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Bütin tekepbirligi we ajylygy, ýöne pesgöwünliligi"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ol seni söýmeýändigini aýt!
CYRANO (vivement):,CYRANO (deýşäp):
  Tais-toi !,Sisi-de dym!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bir wagtdan soň, Christian içeri girdi, ýaşlar bilen aralaşdy; olar"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Oňa hiç hili söz aýtmaýarlar, soňunda ol ýeke oturyp, bir"
