Scène 2.VIII.,2-VIII көрүнүш.
"  Non, merci ! Travailler à se construire un nom","Жок, рахмат, атын чыгаруу үчүн иштей бер."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",Башкаларын жасоонун ордуна бир сонунда?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Талантты тикенектөрдөн гана табуу керекпи?
"  Être terrorisé par de vagues gazettes,","Басылмалардын толкундануусунан коркуп,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Өзүмө: ""Оо, эгер мен болсом,"
  Dans les petits papiers du Mercure François ?. . .,Меркурий Францисктин кагаздарында?..
"  Non, merci ! Calculer, avoir peur, être blême,","Жок, рахмат, эсептөө, коркуу, ак көңүл болуу,"
"  Aimer mieux faire une visite qu'un poème,","Бир ырдан көрө, бир жолу барып көрүүнү жакшы көрөм."
"  Rédiger des placets, se faire présenter ?","Жазуу, өзүн көрсөтүү?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Жок, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат, рахмат"
"  Rêver, rire, passer, être seul, être libre,","Кыялдар, күлүк, өтүү, жалгыз болуу, эркин болуу,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Көзүң жакшы көрөт, үнүң тирүү,"
"  Mettre, quand il vous plaît, son feutre de travers,","Өзүң каалаган убакта анын сезимдерин өзгөртүп,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""Ооба"" деп, ""жок"" деп, ""жалашуу"" деп, ""же курт"" деп!"
"  Travailler sans souci de gloire ou de fortune,","Даңкка же байлыкка умтулбай,"
"  A tel voyage, auquel on pense, dans la lune !",Айга болгон саякатка!
"  N'écrire jamais rien qui de soi ne sortît,",Өзүңдөн чыкпаган нерсени эч качан жазба.
"  Et modeste d'ailleurs, se dire: mon petit,","Ал эми жөнөкөй болсо да: ""Кызым,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Же гүлдөрдөн, жемиштерден, жапырактардан да канааттанган адам."
  Si c'est dans ton jardin à toi que tu les cueilles !,Эгер аларды өзүңдүн бакчаңдан тандап алсаң!
"  Puis, s'il advient d'un peu triompher, par hasard,","Анан ал бир аз жеңишке жетип калса,"
"  Ne pas être obligé d'en rien rendre à César,",Ошондуктан падышага эч кандай акча төлөп бербе.
"  Vis-à-vis de soi-même en garder le mérite,","Өзүңө карата анын кадыр-баркын сакта,"
"  Bref, dédaignant d'être le lierre parasite,","Кыскасы, паразиттик лирика болуудан баш тартып,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Биз дуга же кычырак дарак болбосок да,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Балким, бийикке көтөрүлбөйт, бирок жалгыз!"
LE BRET:,ЖЫЛ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Бир эле болсо да, баарына каршы эмес!"
  As-tu donc contracté la manie effroyable,Сен да коркунучтуу манияга алдыңбы?
"  De te faire toujours, partout, des ennemis ?",Ар дайым душманга айланып калуу?
CYRANO:,КИРАН:
"  A force de vous voir vous faire des amis,","Досторду табууга аракет кылып жатканыңарды көрүп,"
"  Et rire à ces amis dont vous avez des foules,","Ал эми элге чогулган досторуңузга күлүп,"
  D'une bouche empruntée au derrière des poules !,"Акыры, мурдунун артына берилип кеткен оозунан!"
"  J'aime raréfier sur mes pas les saluts,",Мен учурашууну аз эле жолун жолдойм.
  Et m'écrie avec joie: un ennemi de plus !,Мага дагы душман!
LE BRET:,ЖЫЛ:
  Quelle aberration !,Бул кандай гана жаңылыштык!
CYRANO:,КИРАН:
"  Eh bien, oui, c'est mon vice.","Ооба, бул менин адатым."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Мен башкалардын жек көрүүсүн жакшы көрөм.
"  Mon cher, si tu savais comme l'on marche mieux","Жаным, эгер сен жакшыраак жүрө билсең"
  Sous la pistolétade excitante des yeux !,Көздөрдүн толкундануучу куралдуулугунун астында!
"  Comme, sur les pourpoints, font d'amusantes taches","Ал эми бул жерде, ал жерде,"
  Le fiel des envieux et la bave des lâches !,"Арамзалардын ачуусу, коркоктордун ачуусу!"
"  --Vous, la molle amitié dont vous vous entourez,","- Сен, өзүңдүн курчап турган жумшак досуң,"
"  Ressemble à ces grands cols d'Italie, ajourés","Италиянын чоң тепкичтерине окшош,"
"  Et flottants, dans lesquels votre cou s'effémine:","Жанагы чөйрөңө түшкөн суулар,"
"  On y est plus à l'aise. . .et de moins haute mine,","Бул жерде биз ыңгайлуураак. . . жана төмөнкү деңгээлде,"
"  Car le front n'ayant pas de maintien ni de loi,","Анткени бетинин мыйзамы жок, мыйзам жок,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ал ар бир багыттагы көз караштарын өзгөртөт.
"  La Haine, chaque jour, me tuyaute et m'apprête","Кадыр-баркка болгон жек көрүү күн сайын мени тырмап, жарат"
  La fraise dont l'empois force à lever la tête;,Жаңгактын уулуулугу анын башын көтөрүүгө мажбурлайт.
  Chaque ennemi de plus est un nouveau godron,Ар бир душман жаңы кулак болуп калат
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Ал мага кайгыны, кайгыны кошуп,"
"  Car, pareille en tous points à la fraise espagnole,","Анткени, ар бир жагынан испан фруктусуна окшош,"
"  La Haine est un carcan, mais c'est une auréole !","Кастык - бул курт, бирок ал - ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","КӨРҮҮҮ (батыраак үнсүздөн кийин, анын колун өзүнүн астында өтүп):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Текеберди бийик кылып, ачуулан, бирок төмөндөт"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ал сени сүйбөйт деп айт!
CYRANO (vivement):,КИРАНО (жашоодо):
  Tais-toi !,"- Оо, унчукпай кой!"
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Кечээтен бери Кристиан кирип, жаш балдар менен аралашып, алар"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"бир сөз менен сүйлөшүп, акыры, ал жалгыз бир"
