"  Non, merci ! Chez le bon éditeur de Sercy","N ka ta fazeba nada, obrigadu."
"  Faire éditer ses vers en payant ? Non, merci !",Pa faze-u redigi ses versu ku dinheru?
  S'aller faire nommer pape par les conciles,Pa N bai ser nomeadu pa pape na konsedju
  Que dans des cabarets tiennent des imbéciles ?,Ki kes mariadu ta fika na kabara?
"  Non, merci ! Travailler à se construire un nom","Ka ta, obrigadu!"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na un sonétu, envês di faze más?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Obrigadu, só na mazêra bu ta atxa talentu?"
"  Être terrorisé par de vagues gazettes,",Bu ta fikaba ta txoraba ku jornal.
"  Et se dire sans cesse: Oh, pourvu que je sois","I ta fla sénpri: 'Oh, si N ta ser"
  Dans les petits papiers du Mercure François ?. . .,Na papel di Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ka ta, obrigadu! Kalkula, xinti medu, fika malu,"
"  Aimer mieux faire une visite qu'un poème,","N gosta di un vizita más ki di un puema,"
"  Rédiger des placets, se faire présenter ?",Bu ta faze un kuza ki bu ta krê.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u,"
"  Rêver, rire, passer, être seul, être libre,","Sonha, ri, pasa, sta so, sta livri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Odja ku odju ki ta odja dretu, ku voz ki ta xinti medu,"
"  Mettre, quand il vous plaît, son feutre de travers,","Si bu krê, bu pode faze kel ki bu krê."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pa un si, pa un nau, pa luta, - ô pa faze un vermi!"
"  Travailler sans souci de gloire ou de fortune,","Ka bu pensa na trabadju, má na trabadju."
"  A tel voyage, auquel on pense, dans la lune !",Na un viaji ki nu ta pensa na kel dia ki nu ta bai na luna!
"  N'écrire jamais rien qui de soi ne sortît,","Ka bu skrebe nada ki ka ta ben di bo,"
"  Et modeste d'ailleurs, se dire: mon petit,","I pa otu kuza, modésti, ta fla: ""Nha fidju,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Bu ta fika kontenti ku floris, frutu, ti ku folhas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Si bu ta pega-s na bu jardin!
"  Puis, s'il advient d'un peu triompher, par hasard,","Má, si el ta konsigi ten un poku di puder,"
"  Ne pas être obligé d'en rien rendre à César,",N ka ten nada pa paga pa Kesara.
"  Vis-à-vis de soi-même en garder le mérite,",Pa bu fika kontenti ku kel ki bu ta faze.
"  Bref, dédaignant d'être le lierre parasite,","Pur isu, nu ta dispreza ser kel ki ta vive na kel mundu li."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nton, óras ki nu ka é pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Bu ka pode subi na un altura altu, má bu pode bai pa bu kabésa!"
LE BRET:,"Nton, N fla-l:"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Nton, N ta fla-l: 'Nhos pode ser unidu, má ka nhos pode ser tudu algen."
  As-tu donc contracté la manie effroyable,"Nton, bu sta ku un mania grandi"
"  De te faire toujours, partout, des ennemis ?",Pa bu faze inimigus na tudu lugar?
CYRANO:,Siranu:
"  A force de vous voir vous faire des amis,","Nton, N odja-u ta faze amigu."
"  Et rire à ces amis dont vous avez des foules,","I bu ta ri di kes amigu ki bu ten txeu,"
  D'une bouche empruntée au derrière des poules !,Ku un boka di pé na txon di koko!
"  J'aime raréfier sur mes pas les saluts,","N gosta di fla-u saludu na nha pé,"
  Et m'écrie avec joie: un ennemi de plus !,I el ta grita di alegria: 'Nhos ten más un inimigu!
LE BRET:,"Nton, N fla-l:"
  Quelle aberration !,Kel-li é un aberrazon!
CYRANO:,Siranu:
"  Eh bien, oui, c'est mon vice.","Nton, sim, é nha vídiu."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,N ta gosta di bai pa otu lugar.
"  Mon cher, si tu savais comme l'on marche mieux","Nha amor, si bu sabi modi ki nu ta anda midjor"
  Sous la pistolétade excitante des yeux !,Na kel ómi ki ta xinti txeu alegria!
"  Comme, sur les pourpoints, font d'amusantes taches","Na kes pontu di pontu, ta faze kusas divertidu"
  Le fiel des envieux et la bave des lâches !,Kel ki ta faze-u é di bo.
"  --Vous, la molle amitié dont vous vous entourez,","- Bu amigu ki bu ta txoma,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ta parse di kes grandi kol di Itália, ki ta aguenta"
"  Et flottants, dans lesquels votre cou s'effémine:","I ta fluta, na kel pé ki bu ta xinti medu:"
"  On y est plus à l'aise. . .et de moins haute mine,",Nu ta fika más konfortu.
"  Car le front n'ayant pas de maintien ni de loi,","Pamodi kel fronta ka ten ninhun lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",El ta da-s tudu kel ki el ta atxa.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ómi ki ta odjaba-m tudu dia ta fazeba-m xinti medu
  La fraise dont l'empois force à lever la tête;,Txuba ki ta po-l ta poi kabésa na el;
  Chaque ennemi de plus est un nouveau godron,Kada otu inimigu é un novu baron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",El ta da-m más prublémas i más txeu prublémas.
"  Car, pareille en tous points à la fraise espagnole,","Pamodi, sima tudu kuza di frasa di Spanha,"
"  La Haine est un carcan, mais c'est une auréole !","Ómi é un karkan, má é un auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","LEN (dipos di silênsia, pasa se brazu baxu di se):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",Bu ta faze orgulhu di tudu kuza i bu ta faze-l más fórti.
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dji m' di's qu'elle t'aime pa toi !
CYRANO (vivement):,Siranu (vivu):
  Tais-toi !,Ka bu fla nada!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Desdi un momentu, Christian entra, el entra na kes mininu; es"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ka ta papia ku el; el fika ta xinta so na un
Scène 2.VIII.,Eskanu 2.VIII.
"Cyrano, Le Bret, les cadets, qui se sont attablés à droite et à gauche","Sirano, Le Bret, kes mininu ki fika na direita i na izértu"
et auxquels on sert à boire et à manger.,Es ta kume i ta bebe.
CYRANO (saluant d'un air goguenard ceux qui sortent sans oser le saluer):,Siranu (ta fla ku un ar di goji pa ken ki ta sai sen xinti koraji di fla-l):
  Messieurs. . .Messieurs. . .Messieurs. . .,Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr. Sr.
"LE BRET (désolé, redescendant, les bras au ciel):","L'ARM (triste, ta bai, braços na séu):"
  Ah ! dans quels jolis draps.,Oh! na kes bedju bunitu.
CYRANO:,Siranu:
  Oh ! toi ! tu vas grogner !,"Oh, bo! Bu ta fika ta grita!"
LE BRET:,"Nton, N fla-l:"
"  Enfin, tu conviendras","Na fin, bu ta ben ser"
"  Qu'assassiner toujours la chance passagère,","Má, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês, tudu bês,"
  Devient exagéré.,N sta ta fika ta exageradu.
CYRANO:,Siranu:
"  Hé bien oui, j'exagère !",N ta exageradu!
LE BRET (triomphant):,TIZORUS DI PALAVRA DI DEUS
  Ah !,Ah! N ta xinti!
CYRANO:,Siranu:
"  Mais pour le principe, et pour l'exemple aussi,","Má, pa prinsípiu, i pa izénplu tanbê,"
  Je trouve qu'il est bon d'exagérer ainsi.,N ta atxa ma é dretu faze un kuza ki é más grandi di kel ki nu ta faze.
LE BRET:,"Nton, N fla-l:"
"  Si tu laissais un peu ton âme mousquetaire,","Si bu dexa bu alma di mosqueta un poku,"
  La fortune et la gloire. . .,Rijion i glória. . . .
CYRANO:,Siranu:
  Et que faudrait-il faire ?,Kuzê ki nu debe faze?
"  Chercher un protecteur puissant, prendre un patron,","Bu ta atxa un algen ki ta proteje-u, bu ta toma un algen ki ta manda-u."
  Et comme un lierre obscur qui circonvient un tronc,Sima un barku di ténpu ki ta fika ta txora un barku
"  Et s'en fait un tuteur en lui léchant l'écorce,","El ta faze-l un algen ki ta proteje-l, ta lésa-l na se korason."
  Grimper par ruse au lieu de s'élever par force ?,Bu ta kria na un lugar más altu pa bu kria na un lugar más altu?
"  Non, merci. Dédier, comme tous il le font,",N ka ta xinti medu.
  Des vers aux financiers ? se changer en bouffon,Di vermes pa finansas?
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na speransa di odja, na boka di un minis,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Pa faze un sonhu, ki ka ta ser sinplis?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",Nhu ta kume un fraku tudu dia?
  Avoir un ventre usé par la marche ? une peau,Tudu algen ta xinti un barriga ki ta kai na kaminhu
"  Qui plus vite, à l'endroit des genoux, devient sale ?",Kenha ki ta fika más rapidu na lugar di djintis?
  Exécuter des tours de souplesse dorsale ?. . .,Bu pode faze un sirkulason di retu? . . .
"  Non, merci. D'une main flatter la chèvre au cou",N ka ta agradesi-u.
"  Cependant que, de l'autre, on arrose le chou,","Má, na kel otu, nu ta da-l agu."
"  Et, donneur de séné par désir de rhubarbe,",I el ta da-s séna pa el krê bira barbu.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Má kel ki é un kuza ki ta kontise?
"  Non, merci ! Se pousser de giron en giron,",N ta da-u txeu txeu.
"  Devenir un petit grand homme dans un rond,","Pa bira un grandi ómi pikinoti na un rundu,"
"  Et naviguer, avec des madrigaux pour rames,","I ta anda na mar ku barku di barku,"
  Et dans ses voiles des soupirs de vieilles dames ?,"I na se velus, ki ta txomaba kel-li di kel mudjer di idadi?"
"  Non, merci ! Chez le bon éditeur de Sercy","N ka ta fazeba nada, obrigadu."
"  Faire éditer ses vers en payant ? Non, merci !",Pa faze-u redigi ses versu ku dinheru?
  S'aller faire nommer pape par les conciles,Pa N bai ser nomeadu pa pape na konsedju
  Que dans des cabarets tiennent des imbéciles ?,Ki kes mariadu ta fika na kabara?
"  Non, merci ! Travailler à se construire un nom","Ka ta, obrigadu!"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na un sonétu, envês di faze más?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Obrigadu, só na mazêra bu ta atxa talentu?"
"  Être terrorisé par de vagues gazettes,",Bu ta fikaba ta txoraba ku jornal.
"  Et se dire sans cesse: Oh, pourvu que je sois","I ta fla sénpri: 'Oh, si N ta ser"
  Dans les petits papiers du Mercure François ?. . .,Na papel di Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Ka ta, obrigadu! Kalkula, xinti medu, fika malu,"
"  Aimer mieux faire une visite qu'un poème,","N gosta di un vizita más ki di un puema,"
"  Rédiger des placets, se faire présenter ?",Bu ta faze un kuza ki bu ta krê.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u, N ka ta agradesi-u,"
"  Rêver, rire, passer, être seul, être libre,","Sonha, ri, pasa, sta so, sta livri,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Odja ku odju ki ta odja dretu, ku voz ki ta xinti medu,"
"  Mettre, quand il vous plaît, son feutre de travers,","Si bu krê, bu pode faze kel ki bu krê."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Pa un si, pa un nau, pa luta, - ô pa faze un vermi!"
"  Travailler sans souci de gloire ou de fortune,","Ka bu pensa na trabadju, má na trabadju."
"  A tel voyage, auquel on pense, dans la lune !",Na un viaji ki nu ta pensa na kel dia ki nu ta bai na luna!
"  N'écrire jamais rien qui de soi ne sortît,","Ka bu skrebe nada ki ka ta ben di bo,"
"  Et modeste d'ailleurs, se dire: mon petit,","I pa otu kuza, modésti, ta fla: ""Nha fidju,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Bu ta fika kontenti ku floris, frutu, ti ku folhas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Si bu ta pega-s na bu jardin!
"  Puis, s'il advient d'un peu triompher, par hasard,","Má, si el ta konsigi ten un poku di puder,"
"  Ne pas être obligé d'en rien rendre à César,",N ka ten nada pa paga pa Kesara.
"  Vis-à-vis de soi-même en garder le mérite,",Pa bu fika kontenti ku kel ki bu ta faze.
"  Bref, dédaignant d'être le lierre parasite,","Pur isu, nu ta dispreza ser kel ki ta vive na kel mundu li."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Nton, óras ki nu ka é pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé di pé"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Bu ka pode subi na un altura altu, má bu pode bai pa bu kabésa!"
LE BRET:,"Nton, N fla-l:"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Nton, N ta fla-l: 'Nhos pode ser unidu, má ka nhos pode ser tudu algen."
  As-tu donc contracté la manie effroyable,"Nton, bu sta ku un mania grandi"
"  De te faire toujours, partout, des ennemis ?",Pa bu faze inimigus na tudu lugar?
CYRANO:,Siranu:
"  A force de vous voir vous faire des amis,","Nton, N odja-u ta faze amigu."
"  Et rire à ces amis dont vous avez des foules,","I bu ta ri di kes amigu ki bu ten txeu,"
  D'une bouche empruntée au derrière des poules !,Ku un boka di pé na txon di koko!
"  J'aime raréfier sur mes pas les saluts,","N gosta di fla-u saludu na nha pé,"
  Et m'écrie avec joie: un ennemi de plus !,I el ta grita di alegria: 'Nhos ten más un inimigu!
LE BRET:,"Nton, N fla-l:"
  Quelle aberration !,Kel-li é un aberrazon!
CYRANO:,Siranu:
"  Eh bien, oui, c'est mon vice.","Nton, sim, é nha vídiu."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,N ta gosta di bai pa otu lugar.
"  Mon cher, si tu savais comme l'on marche mieux","Nha amor, si bu sabi modi ki nu ta anda midjor"
  Sous la pistolétade excitante des yeux !,Na kel ómi ki ta xinti txeu alegria!
"  Comme, sur les pourpoints, font d'amusantes taches","Na kes pontu di pontu, ta faze kusas divertidu"
  Le fiel des envieux et la bave des lâches !,Kel ki ta faze-u é di bo.
"  --Vous, la molle amitié dont vous vous entourez,","- Bu amigu ki bu ta txoma,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ta parse di kes grandi kol di Itália, ki ta aguenta"
"  Et flottants, dans lesquels votre cou s'effémine:","I ta fluta, na kel pé ki bu ta xinti medu:"
"  On y est plus à l'aise. . .et de moins haute mine,",Nu ta fika más konfortu.
"  Car le front n'ayant pas de maintien ni de loi,","Pamodi kel fronta ka ten ninhun lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",El ta da-s tudu kel ki el ta atxa.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ómi ki ta odjaba-m tudu dia ta fazeba-m xinti medu
  La fraise dont l'empois force à lever la tête;,Txuba ki ta po-l ta poi kabésa na el;
  Chaque ennemi de plus est un nouveau godron,Kada otu inimigu é un novu baron
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",El ta da-m más prublémas i más txeu prublémas.
"  Car, pareille en tous points à la fraise espagnole,","Pamodi, sima tudu kuza di frasa di Spanha,"
"  La Haine est un carcan, mais c'est une auréole !","Ómi é un karkan, má é un auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","LEN (dipos di silênsia, pasa se brazu baxu di se):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",Bu ta faze orgulhu di tudu kuza i bu ta faze-l más fórti.
  Dis-moi tout simplement qu'elle ne t'aime pas !,Dji m' di's qu'elle t'aime pa toi !
CYRANO (vivement):,Siranu (vivu):
  Tais-toi !,Ka bu fla nada!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Desdi un momentu, Christian entra, el entra na kes mininu; es"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ka ta papia ku el; el fika ta xinta so na un
