Scène 2.VIII.,Vaatlus 2.VIII.
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Ei, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tänan, tän"
"  Rêver, rire, passer, être seul, être libre,","Unistada, naerda, mööda minna, üksi olla, vaba olla,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Olgu silm, mis näeb hästi, hääl, mis väriseb,"
"  Mettre, quand il vous plaît, son feutre de travers,","Kui tahad, pane oma tunnet ümber,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Jah või ei, võitlema või värvi teha!"
"  Travailler sans souci de gloire ou de fortune,","Tööta mitte uhkuseks ega rikkuseks,"
"  A tel voyage, auquel on pense, dans la lune !","Selline reis, mida me mõtleme, kuu juurde!"
"  N'écrire jamais rien qui de soi ne sortît,","Ära kunagi kirjuta midagi, mis ei tule iseendale."
"  Et modeste d'ailleurs, se dire: mon petit,","Ja tagasihoidlik, mõtleb: ""Mu väike,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Kas ta on rahul lilledega, puuviljadega, isegi lehtega,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Kui sa oma aedaga neid kogud!
"  Puis, s'il advient d'un peu triompher, par hasard,","Kui ta siis saab veidi võitu,"
"  Ne pas être obligé d'en rien rendre à César,","""Ma ei pea keisrile midagi maksma."
"  Vis-à-vis de soi-même en garder le mérite,","Oma enda vastu, et hoida selle väärikust,"
"  Bref, dédaignant d'être le lierre parasite,","Ühtlasi, halvemalt, et ma olen parasiti lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Isegi kui me pole ei puu ega viin,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Võib-olla mitte väga kõrgele, aga üksi!"
LE BRET:,- See on tõeline.
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Võib-olla üksi, aga mitte kõigi vastu."
  As-tu donc contracté la manie effroyable,Kas sa oled saanud hirmulikku maniat?
"  De te faire toujours, partout, des ennemis ?",Kas sa pead alati vaenlasi tegema?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Kui ma näen, kuidas te sõpru teete,"
"  Et rire à ces amis dont vous avez des foules,","Ja naera nende sõpradega, kellega sul rahvahulk on,"
  D'une bouche empruntée au derrière des poules !,"Suus, mis on kanade taga!"
"  J'aime raréfier sur mes pas les saluts,","Mulle meeldib oma jalgadega harva tervitada,"
  Et m'écrie avec joie: un ennemi de plus !,Ja helista mulle rõõmuga: veel üks vaenlane!
LE BRET:,- See on tõeline.
  Quelle aberration !,See on väga ebamäärane.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Noh, jah, see on minu viisik."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Mulle meeldib, kui mind vihkatakse."
"  Mon cher, si tu savais comme l'on marche mieux","Mu kallis, kui sa tead, kuidas käia, siis parem"
  Sous la pistolétade excitante des yeux !,Nägemise põneva silmade all!
"  Comme, sur les pourpoints, font d'amusantes taches","Nagu, et, punktide teha naljakas täid"
  Le fiel des envieux et la bave des lâches !,Rõõmsute haige ja karmsute haige!
"  --Vous, la molle amitié dont vous vous entourez,","Sina, õrn sõber, kes sind ümbritseb,"
"  Ressemble à ces grands cols d'Italie, ajourés","Näib nagu need suured Itaalia kallid, edasi lükatud"
"  Et flottants, dans lesquels votre cou s'effémine:","Ja ujuvad, kus su kaela on hirmul:"
"  On y est plus à l'aise. . .et de moins haute mine,",Me oleme rohkem mugavad.
"  Car le front n'ayant pas de maintien ni de loi,","Sest eesistul pole mingit hooldust ega seadust,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ta loobub igasugusest vahele.
"  La Haine, chaque jour, me tuyaute et m'apprête","Vihkamine, iga päev, peksub ja teeb mind valmis"
  La fraise dont l'empois force à lever la tête;,"Prits, mille mürgistus paneb pea üles."
  Chaque ennemi de plus est un nouveau godron,Iga uus vaenlane on uus rööv.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ta lisab mulle häbi ja hirmu.
"  Car, pareille en tous points à la fraise espagnole,","Sest nagu kõikidel asjaoludel on Hispaania marja,"
"  La Haine est un carcan, mais c'est une auréole !","Vihkamine on nagu karkan, aga see on aurel!"
"LE BRET (après un silence, passant son bras sous le sien):","LEBT ( pärast vaikust, läbides oma käsi oma all):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Tee uhke ja haige, aga madala"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Ütle mulle, et ta ei armasta sind!"
CYRANO (vivement):,CYRANO (elama):
  Tais-toi !,- Ole vait!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Alates hetkest, Christian läks sisse, läks juhijatega, need"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ei rääkinud temaga, ta lõpuks istus üksi ühe"
