Scène 2.VIII.,სცენა 2.VIII.
"  Qui plus vite, à l'endroit des genoux, devient sale ?",ვინ უფრო სწრაფად ხდება მუხლზე უხეში?
  Exécuter des tours de souplesse dorsale ?. . .,როგორ უნდა მოიქცეს ზურგის რუნის მოქნილობა? . . .
"  Non, merci. D'une main flatter la chèvre au cou","არა, მადლობა. ერთი ხელით შეკრა თხის ყელზე"
"  Cependant que, de l'autre, on arrose le chou,","მაგრამ, მეორედან, ხახვის დახურვა,"
"  Et, donneur de séné par désir de rhubarbe,","და მკერდიანი, მკერდისგან მომტანი,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",მუდამ მისი სათამაშო ბარბში?
"  Non, merci ! Se pousser de giron en giron,","არა, მადლობა. გადაიხადე თავი და გადაიხადე თავი."
"  Devenir un petit grand homme dans un rond,","პატარა დიდი კაცი გახდე,"
"  Et naviguer, avec des madrigaux pour rames,","და გემები, რემების მატარებლებით,"
  Et dans ses voiles des soupirs de vieilles dames ?,და მისი საფარებში მოხუც ქალების სუნთქვა?
"  Non, merci ! Chez le bon éditeur de Sercy","არა, მადლობა, სერსი-ს რედაქტორთან."
"  Faire éditer ses vers en payant ? Non, merci !",- ფულით უნდა გამოაქვეყნოს მისი ფუნჯები?
  S'aller faire nommer pape par les conciles,რომ პაპად იქნები დასახელებული საკონსილიტაციო კრების მიერ
  Que dans des cabarets tiennent des imbéciles ?,რომ კაბარებში სულელები არიან?
"  Non, merci ! Travailler à se construire un nom","არა, მადლობა. ვიმუშავეთ საკუთარი სახელით."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ერთი ზონას და არა სხვა?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"მადლობა, მაგრამ ნიჭი მხოლოდ ბალახებში აღმოაჩინე?"
"  Être terrorisé par de vagues gazettes,","გაზეთების ტერორიზმი,"
"  Et se dire sans cesse: Oh, pourvu que je sois",და სულ იფიქრებდნენ:
  Dans les petits papiers du Mercure François ?. . .,"""ფრისკალეს მერკურის"" პატარა ფურცლებზე? . . ."
"  Non, merci ! Calculer, avoir peur, être blême,","არა, მადლობა! გათვლა, შიში, ცუდი,"
"  Aimer mieux faire une visite qu'un poème,","უფრო მეტად მოგწონთ ვიზიტი, ვიდრე ლექსი."
"  Rédiger des placets, se faire présenter ?","დაწერე ბლოკები, გააცნო თავი?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","არა, მადლობა, არა, მადლობა, არა, მადლობა, მაგრამ..."
"  Rêver, rire, passer, être seul, être libre,","ოცნებები, სიცილი, გადასვლა, მარტოობა, თავისუფლება,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","თვალის დანახვის უნარი, ხმაის დადუნების უნარი,"
"  Mettre, quand il vous plaît, son feutre de travers,","და როცა გინდა, შეახვიე მისი გრძნობა,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","""დიახი"" და ""არა"" ბრძოლა, ან ფეხი!"
"  Travailler sans souci de gloire ou de fortune,","არ იზრუნოთ დიდებაზე ან სიმდიდრეზე,"
"  A tel voyage, auquel on pense, dans la lune !","მთვარეზე მოგზაურობა, რომელიც გგონიათ!"
"  N'écrire jamais rien qui de soi ne sortît,","არასოდეს დაწერო არაფერი, რაც არ გამოვა საკუთარი თავისგან,"
"  Et modeste d'ailleurs, se dire: mon petit,","და თავდაბალი, საკუთარ თავს იტყვის:"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ყვავილებით, ნაყოფებით, ფოთლებთან ერთად,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"თუ შენ თვითონ ხარ, რომ ბაღში აიღებ!"
"  Puis, s'il advient d'un peu triompher, par hasard,","და თუკი ის ცოტა მაინც გაიმარჯვებს,"
"  Ne pas être obligé d'en rien rendre à César,","რომ არა უნდა გადავიხადო საყდრისი საყდრისი,"
"  Vis-à-vis de soi-même en garder le mérite,","საკუთარი თავის მიმართ, რომ დაიცვას მისი ღირსება,"
"  Bref, dédaignant d'être le lierre parasite,","მოკლედ, მე კი არ ვაფასებ, რომ მე ვარ პარაზიტული ლირე,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","მაშინაც კი, როცა არ ვართ ხე ან ხე,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","- ალბათ, არ უნდა. მაგრამ მარტო!"
LE BRET:,- რა?
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","მარტო, მაგრამ არა ყველას წინააღმდეგ."
  As-tu donc contracté la manie effroyable,- ანუ შენ გექნება საშინელი მანია?
"  De te faire toujours, partout, des ennemis ?",რომ ყოველთვის მტრები იქნები?
CYRANO:,კირანო:
"  A force de vous voir vous faire des amis,","როცა მეგობრები გახდით,"
"  Et rire à ces amis dont vous avez des foules,","და გაეცინე იმ მეგობრებს, რომელთაც ბევრი ჰყავთ,"
  D'une bouche empruntée au derrière des poules !,კურდღლის კისერში გაწეული პირი!
"  J'aime raréfier sur mes pas les saluts,","მე მიყვარს, რომ ჩემი ფეხები მილოცვა,"
  Et m'écrie avec joie: un ennemi de plus !,და მიყვირე სიხარულით: კიდევ ერთი მტერი!
LE BRET:,- რა?
  Quelle aberration !,რა აბერაციაა!
CYRANO:,კირანო:
"  Eh bien, oui, c'est mon vice.","- ჰო, ეს ჩემი ბოროტებაა."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"მე მიყვარს, როცა მეძულება."
"  Mon cher, si tu savais comme l'on marche mieux","ჩემო ძვირფასო, თუ იცოდი, როგორ უნდა ვიაროთ უკეთესად"
  Sous la pistolétade excitante des yeux !,თვალების მომხიბვლელმა ფანჯარაზე!
"  Comme, sur les pourpoints, font d'amusantes taches","როგორც, სათქმელზე, საყვარელი ლაქები"
  Le fiel des envieux et la bave des lâches !,მტრების ღრუბელი და მშიერიების ღრუბელი!
"  --Vous, la molle amitié dont vous vous entourez,","-შენ, მეგობარი, რომელიც გარშემო ხარ,"
"  Ressemble à ces grands cols d'Italie, ajourés","ეს იტალიის დიდი ყელის მსგავსი, გადადებული"
"  Et flottants, dans lesquels votre cou s'effémine:","და ცურვა, რომელშიც თქვენი ყელი შეშლილი,"
"  On y est plus à l'aise. . .et de moins haute mine,",უფრო კომფორტულია.
"  Car le front n'ayant pas de maintien ni de loi,","რადგან წინსვლა არ აქვს წესს და კანონს,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",ის ყველა მიმართულებით მიდის.
"  La Haine, chaque jour, me tuyaute et m'apprête",სიძულვილი ყოველდღე მეწამება და მწყდება
  La fraise dont l'empois force à lever la tête;,"მარწყვი, რომლის ღვინოებსაც თავი აწიეთ."
  Chaque ennemi de plus est un nouveau godron,ყოველი მტერი ახალი ბატონია
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","და მომმატა სირცხვილი და მწუხარება,"
"  Car, pareille en tous points à la fraise espagnole,","რადგან, როგორც ესპანური მარწყვი ყველაფერში,"
"  La Haine est un carcan, mais c'est une auréole !","სიძულვილი არის ხორცისფერი, მაგრამ ის არის აურეოლი!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (მშვიდად, მისი ხელის ქვეშ გადასვლის შემდეგ):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","აწევით მაღლა ამპარტავნებს და მოკრძალეთ, მაგრამ დაბლა"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"უბრალოდ მითხარი, რომ ის არ გიყვარს!"
CYRANO (vivement):,CYRANO (სიცოცხლე):
  Tais-toi !,-ჩუმად იყავი!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(დამოკლებით, კრისტიანი შევიდა, დაშალდა ახალგაზრდებს, ისინი"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"არ საუბრობენ მას, მან საბოლოოდ დაჯდა მარტო ერთი"
