Scène 2.VIII.,صحنه ۲.۸.
"  N'écrire jamais rien qui de soi ne sortît,",هیچ وقت چیزی ننوسی که از خودت بیرون نیاید
"  Et modeste d'ailleurs, se dire: mon petit,","و در ضمن، با اعتدال، می گوییم، ""بچه من،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",چه از گل ها و میوه ها و چه از برگ ها
  Si c'est dans ton jardin à toi que tu les cueilles !,اگه تو باغ خودت بودي که مي تونستی از اونها رو بگيري
"  Puis, s'il advient d'un peu triompher, par hasard,",و اگر به راستی او به زودی به پیروزی برسد،
"  Ne pas être obligé d'en rien rendre à César,",و از آن رو که به قصر بدهی بدهی، مجبور نشوم.
"  Vis-à-vis de soi-même en garder le mérite,",و نسبت به خود، ارزش خود را حفظ کند،
"  Bref, dédaignant d'être le lierre parasite,",به طور خلاصه، از اینکه یک لیر پرزیت هستم،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حتی اگر نه درخت بلوط و نه درخت زغال
"  Ne pas monter bien haut, peut-être, mais tout seul !",شاید خیلی بالا نرفتم، ولی تنها بودم!
LE BRET:,اونم:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",تنها، اما نه علیه همه
  As-tu donc contracté la manie effroyable,پس تو از آن چه وحشتناک به دست آمده
"  De te faire toujours, partout, des ennemis ?",که همیشه در هر جا دشمنان داشته باشی؟
CYRANO:,سیرانو:
"  A force de vous voir vous faire des amis,",چون شما رو دوست مي گيرم
"  Et rire à ces amis dont vous avez des foules,",و به این دوستان که جمعیت زیادی دارید خندید،
  D'une bouche empruntée au derrière des poules !,با یک دهان که به پشت مرغ ها قرض گرفته شده است!
"  J'aime raréfier sur mes pas les saluts,",من دوست دارم سلامات را در قدم هایم به ندرت بیان کنم
  Et m'écrie avec joie: un ennemi de plus !,و با شادمانی به من فریاد بزند: دشمن دیگری!
LE BRET:,اونم:
  Quelle aberration !,این یک غریبه است.
CYRANO:,سیرانو:
"  Eh bien, oui, c'est mon vice.",خب، آره، این عادت من است.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,از رفتن لذت می برم، دوست دارم که ازم متنفر شوند.
"  Mon cher, si tu savais comme l'on marche mieux",عزيزم، اگه ميدوني چطور بهتر راه مي بريم
  Sous la pistolétade excitante des yeux !,در زیر چشم های هیجان انگیز!
"  Comme, sur les pourpoints, font d'amusantes taches",مثل اینکه در مورد نقاط نظر، لکه های خنده دار را انجام می دهند
  Le fiel des envieux et la bave des lâches !,و خرس غيوران و خرسان
"  --Vous, la molle amitié dont vous vous entourez,",شما، دوستاي نرمي که در اطرافتان هستيد،
"  Ressemble à ces grands cols d'Italie, ajourés",مثل اون گلو بزرگ هاي ايتاليا، که به تاخير افتاده
"  Et flottants, dans lesquels votre cou s'effémine:",و شناورها که در آنها گردن شما می ریزد.
"  On y est plus à l'aise. . .et de moins haute mine,",ما راحت تر در این جا هستیم و از قد پایین تر،
"  Car le front n'ayant pas de maintien ni de loi,",چون پیشانی بدون قانون و قانون است،
"  S'abandonne à pencher dans tous les sens. Mais moi,",و به هر جهت که می شود، می پردازد.
"  La Haine, chaque jour, me tuyaute et m'apprête",هر روز نفرت منو میکند و میخواد
  La fraise dont l'empois force à lever la tête;,و فرامی که زهرش می تواند سرش را بالا ببرد.
  Chaque ennemi de plus est un nouveau godron,هر دشمن دیگه یه گودال جدیده
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",و به درد و اندوهم افزون می کند،
"  Car, pareille en tous points à la fraise espagnole,",چون در همه زمینه ها مثل فرنگی اسپانیایی است
"  La Haine est un carcan, mais c'est une auréole !",نفرت یه گند است، ولی یه طلوع آفتاب است!
"LE BRET (après un silence, passant son bras sous le sien):",خفه (پس از سکوت، گذراندن بازوی خود را زیر خود):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",تکبّر و تکبّر را بلند کن و تلخ و تلخ و کمال را فرو ببر.
  Dis-moi tout simplement qu'elle ne t'aime pas !,فقط بهم بگو که اون تو رو دوست نداره!
CYRANO (vivement):,سیرانو (زنده):
  Tais-toi !,-خاموش شو !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(از یه لحظه بعد، کریستین وارد شد، با بچه های جوان درگیر شد؛ این
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,و با او حرف نزنند، و بالاخره تنها با یک
