Scène 2.VIII.,المشهد 2.VIII.
"  Cependant que, de l'autre, on arrose le chou,",وَلَكِنْ مْلِّي كَنْسَكّْبُو الْكَبْلْ فْالْأُخْرَى،
"  Et, donneur de séné par désir de rhubarbe,",وْكَيْعْطِي الْعْضَايْرْ بْالْحْسَنْ دْيَالْ الْحْمَرْ،
"  Avoir son encensoir, toujours, dans quelque barbe ?",وْكَيْكُونْ فِيهْ الْكَرْمَة دْيَالُه فْحَاجْبْ؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً، كايزداد من كريستيان ل كريستيان.
"  Devenir un petit grand homme dans un rond,",وْكَيْوَلِّي رَاجْلْ كْبِيرْ صْغِيرْ فْالْجَوْرَة،
"  Et naviguer, avec des madrigaux pour rames,",وْبْالْمْرَاحْيَاتْ دْيَالْ الْمْرَاوْيَة،
  Et dans ses voiles des soupirs de vieilles dames ?,وْفْالسِّفَارِحْ دْيَالُه كَتْكَلّْمُو النّْسَاء الْعْجَائْزَة؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، عند الناشر الصحيح ديال سيرسي.
"  Faire éditer ses vers en payant ? Non, merci !",واش تخلص من الصفحات ديالي؟
  S'aller faire nommer pape par les conciles,يْتّْعَيّْنْ بُوبْ مْنْ الجّْمَاعَاتْ
  Que dans des cabarets tiennent des imbéciles ?,واش فالأقاعات كاين شي غبي؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً، كايعملو عْلَى كْتَابْ إسمْ.
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",فبصوت واحد، وْمَا كَتْدِيرُوشْ بْزَّافْ دْيَالْ الصُّوتْ؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، و كايكتشف التألق إلا في الملاعين؟
"  Être terrorisé par de vagues gazettes,",كَتْرْعَاوْ مْنْ جْوَايْرْ الْمُوجْ،
"  Et se dire sans cesse: Oh, pourvu que je sois","وْكَيْݣُولْ لِيهْ بْزَّافْ: ""إِيوَا كَنْكُونْ"
  Dans les petits papiers du Mercure François ?. . .,فالوغات الصغيرة ديال ميركور فرانسيس؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً، كَتْحْسَبْ، كَتْخَافْ، كَتْكُونْ مْزْيَانْ،
"  Aimer mieux faire une visite qu'un poème,",كَتْحْبِي زُورْ مْنْ شِيعْرَة،
"  Rédiger des placets, se faire présenter ?",كَتْكْتَبْ الْكْتَابْ، وْتْعْرَفْ؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكرا، شكرا، شكرا، شكرا، شكرا، شكرا، ولكن.
"  Rêver, rire, passer, être seul, être libre,",حْلْمْ، ضْحِكْ، مْشِي، وْكُونْ وَحْدِيكْ، وْكُونْ حُرّْ،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",وْبْالْعِينْ اللِّي كَتْشُوفْ، وْالْقَلْبْ اللِّي كَيْتّْزَعْزْ،
"  Mettre, quand il vous plaît, son feutre de travers,",وْكَيْدِّي مْنْ كُلّْ وَقْتْ مْنْ كُلّْ وَقْتْ،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",وْلْإِيّاهْ، وْلْلْإِيّاهْ، يْتّْحَارْبُو، وْلَا يْدِيرُو دْمّْ!
"  Travailler sans souci de gloire ou de fortune,",كَتْدِيرُو مَا كَتْدِيرُو حْتَّى حَاجَة مْزْيَانَة وْلَا مَالْ،
"  A tel voyage, auquel on pense, dans la lune !",ف هاد الطيارة، كايفكر فيها، فالقمر!
"  N'écrire jamais rien qui de soi ne sortît,",مَا كَتْكْتَبْشْ حْتَّى حَاجَة مَا كَتْخْرُجْشْ مْنْ نْفْسْكُمْ،
"  Et modeste d'ailleurs, se dire: mon petit,","وْمْزْيَانْ، كَيْݣُولْ لِيهْ: ""عْزّْتِي،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",وْكَيْشْبَعْ مْنْ الْعْرُوقْ وْالْأَثْمَارْ وْحْتَّى الْوْرْقَة،
  Si c'est dans ton jardin à toi que tu les cueilles !,إِلَا كْنْتِ تْقْطَعْهُمْ فْجْنَايْتْكِ.
"  Puis, s'il advient d'un peu triompher, par hasard,",وْمْلِّي يْغْلَبْ قْلِيلْ مْنْ الْمُدُوبْ،
"  Ne pas être obligé d'en rien rendre à César,",وْمَا تْلْزَمْشْ نْعْطِي شِي حَاجَة لْقَيْصَرْ،
"  Vis-à-vis de soi-même en garder le mérite,",وْبْحَالْ نَفْسْكُمْ، تّْحَافْظُو عْلَى الْمَرْتَابْ دْيَالْهُمْ،
"  Bref, dédaignant d'être le lierre parasite,",وْكْتَرْ، مَا كَنْتّْحَقّْرْشْ بْلِّي نْتَ الْمُدْبِرْ،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",حِيتْ حِيتْ مَا كَنْكُونُوشْ الشّْجَرْ وْلَا الْعْقَارْ،
"  Ne pas monter bien haut, peut-être, mais tout seul !",مَا كَتْصْعَدْشْ بْالْعُلُو، وَلَكِنْ بْرَاسْكْ!
LE BRET:,الرومي:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",وْكُونْ وَحْدَاهْ، وَلَكِنْ مَاشِي مْعَ ݣَاعْ النَّاسْ.
  As-tu donc contracté la manie effroyable,إِيوَا وْلِّيتْ مَانِيَّة فَايْعَانِي؟
"  De te faire toujours, partout, des ennemis ?",وْكَيْدِيرُو عْدُو دِيمَا فْكُلّْ بْلَاصَة؟
CYRANO:,كايرانو:
"  A force de vous voir vous faire des amis,",وْكَيْشُوفُوكُمْ كَتْصَادْقُو،
"  Et rire à ces amis dont vous avez des foules,",وْتْضْحِكْ مْعَ هَادْ الْأَصْدِقْ اللِّي عَنْدْكُمْ جُمْهُورْ،
  D'une bouche empruntée au derrière des poules !,مِنْ فُمْ مْقْرَضْ فْالْخْنَانْ دْيَالْ الدّْجَالْ!
"  J'aime raréfier sur mes pas les saluts,",وْمْلِّي كَنْدِيرْ الْحَيَاةْ، كَنْعْزِفْ.
  Et m'écrie avec joie: un ennemi de plus !,"وْكَيْغَوّْتْ لِيَّ بْالْفَرْحَة: ""عْدُو مْنْ بَعْدْ!""."
LE BRET:,الرومي:
  Quelle aberration !,يالها من غرابة.
CYRANO:,كايرانو:
"  Eh bien, oui, c'est mon vice.",إيه، نعم، هادا هو شي شي شي شي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,وْكَنْتّْسَرّْبْ مْنْ الْمْشَارْحَة، وْكَنْحْبَبْ إِلَا كَيْكْرَهْنِي.
"  Mon cher, si tu savais comme l'on marche mieux",حْبِيبِي، إِلَا عْرَفْتِي كِيفَاشْ كَنْمْشِيوْ كْتَرْ
  Sous la pistolétade excitante des yeux !,تحت الوضع المثير ديال العيون!
"  Comme, sur les pourpoints, font d'amusantes taches",كمان، فالتوقعات، كايقودون بقع مضحكة
  Le fiel des envieux et la bave des lâches !,الْعَسْرْ دْيَالْ الْمْحْسُودِينْ وْالْعَسْرْ دْيَالْ الْخَايْبِينْ!
"  --Vous, la molle amitié dont vous vous entourez,",وْكَتْشُوفُو الْخُوتْ اللِّي كَتْعَايْرُو بِيهْ،
"  Ressemble à ces grands cols d'Italie, ajourés",شكلي هاد القلوب الكبيرة من إيطاليا، مُتأخرين
"  Et flottants, dans lesquels votre cou s'effémine:",وْالْمْغَرّْقَاتْ اللِّي تْتّْعَرّْقْ فِيهُمْ الرّْقَابْ دْيَالْكُمْ،
"  On y est plus à l'aise. . .et de moins haute mine,",وْكَنْكُونُو كَنْكُونُو كَنْتّْرْضُو فِيهْ.
"  Car le front n'ayant pas de maintien ni de loi,",حِيتْ الْعْضَايْدْ مَا عَنْدْهُمْشْ حْتَّى شْرَعْ،
"  S'abandonne à pencher dans tous les sens. Mais moi,",كَيْتّْسَلّْمْ كُلّْ حَاجَة.
"  La Haine, chaque jour, me tuyaute et m'apprête",كُلَّ نْهَارْ كَتْكَرّْمْنِي وْكَتْقَرّْبْنِي.
  La fraise dont l'empois force à lever la tête;,وْالْفْرَاشْ اللِّي كَيْقَلّْبْ الرَّاسْ دْيَالُه بَاشْ يْرْفَعْ رَاسُه،
  Chaque ennemi de plus est un nouveau godron,وكل عدو زيد كايكون جودر جديد
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",وْكَيْزِيدْ عْلِيَّ الْعْيَابْ وْكَيْزِيدْ عْلِيَّ الْعَرْشْ،
"  Car, pareille en tous points à la fraise espagnole,",حِيتْ كِيفْ كَيْكُونْ الْفْرَايْسْ الْإِسْبَانِيَّة فْكُلّْ حَاجَة،
"  La Haine est un carcan, mais c'est une auréole !",كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُونْ كَتْكُ
"LE BRET (après un silence, passant son bras sous le sien):",وْهُوَ يْعْطِي الْمُوتْ (مْنْ بَعْدْ الْهْدَا، وْيْدِّي الْعْضَا دْيَالُه تَحْتْهُمْ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",وْدِيرْ الْمْتْكَبّْرْ عْلَى قَلْبْكُمْ وْمْرّْ، وَلَكِنْ تْحَيّْدْ عْلَى قَلْبْكُمْ
  Dis-moi tout simplement qu'elle ne t'aime pas !,ݣُولِي بْلَا حَاجَة مْنْكْ!
CYRANO (vivement):,CYRANO (حيات):
  Tais-toi !,إصمتي!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(مْنْ وَقْتْ وَاحْدْ، دَخْلْ كْرِيسْيَانْ، وْتّْدَلّْقْ مْعَ الْأَصْغَارْ، هَادُوكْ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,مَا كَيْتّْكَلّْمُوشْ مْعَاهْ، وْكَانْ هُوَ وَحْدُه فْالْمْدِينَة.
