Scène 2.VIII.,ਸਟੇਜ 2.VIII.
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","ਇੱਕ ਮੁਸਕਰਾਹਟ ਪੈਦਾ ਕਰਨਾ, ਆਖਰਕਾਰ, ਜੋ ਕਿ ਦੁਸ਼ਟ ਨਹੀਂ ਹੈ?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","ਨਹੀਂ, ਧੰਨਵਾਦ, ਹਰ ਰੋਜ਼ ਇੱਕ ਟਾੱਟੀ ਦਾ ਦੁਪਹਿਰ ਦਾ ਖਾਣਾ?"
  Avoir un ventre usé par la marche ? une peau,ਇੱਕ ਢਿੱਡ ਨੂੰ ਤੁਰਨ ਨਾਲ ਪੱਕਾ ਕਰਨਾ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","ਕੌਣ ਜਲਦੀ ਗੰਦਾ ਹੋ ਜਾਂਦਾ ਹੈ, ਗੋਡੇ ਦੇ ਸਥਾਨ ਤੇ?"
  Exécuter des tours de souplesse dorsale ?. . .,ਕੀ ਤੁਸੀਂ ਆਪਣੀ ਪਿੱਠ ਦੀ ਲਚਕਤਾ ਨੂੰ ਬਦਲਣਾ ਚਾਹੁੰਦੇ ਹੋ? . . .
"  Non, merci. D'une main flatter la chèvre au cou","ਨਹੀਂ, ਧੰਨਵਾਦ, ਇੱਕ ਹੱਥ ਨਾਲ ਬੱਕਰੀ ਨੂੰ ਗਲੇ ਵਿੱਚ ਚੁਦਾਈ ਕਰੋ"
"  Cependant que, de l'autre, on arrose le chou,","ਪਰ ਜਦੋਂ ਤੁਸੀਂ ਦੂਜੇ ਪਾਸੇ ਤੋਂ ਖਾਦ ਪਾਉਂਦੇ ਹੋ,"
"  Et, donneur de séné par désir de rhubarbe,",ਅਤੇ ਉਹ ਜੋ ਆਪਣੇ ਮਨ ਵਿੱਚ ਮੂੰਹ ਧੋ ਕੇ (ਆਪਣੇ) ਮਨ ਵਿੱਚ ਮੋਹ ਪਾਉਂਦਾ ਹੈ
"  Avoir son encensoir, toujours, dans quelque barbe ?",ਕੀ ਉਹ ਹਮੇਸ਼ਾ ਆਪਣੇ ਦੰਦਾਂ ਵਿਚ ਧੂਪ ਪਾਉਂਦਾ ਹੈ?
"  Non, merci ! Se pousser de giron en giron,","ਨਹੀਂ, ਧੰਨਵਾਦ, ਇਕ-ਦੂਜੇ ਨੂੰ ਵਧਣਾ,"
"  Devenir un petit grand homme dans un rond,","ਇੱਕ ਚੱਕਰ ਵਿੱਚ ਇੱਕ ਛੋਟਾ ਜਿਹਾ ਵੱਡਾ ਆਦਮੀ ਬਣਨਾ,"
"  Et naviguer, avec des madrigaux pour rames,","ਅਤੇ ਸਮੁੰਦਰੀ ਜਹਾਜ਼ਾਂ ਵਿਚ ਰਮ ਦੇ ਨਾਲ,"
  Et dans ses voiles des soupirs de vieilles dames ?,ਅਤੇ ਉਸ ਦੇ ਤਲਵਾਰਾਂ ਵਿਚ ਪੁਰਾਣੀਆਂ ਔਰਤਾਂ ਦੇ ਚੀਕਣ ਹਨ?
"  Non, merci ! Chez le bon éditeur de Sercy","ਨਹੀਂ, ਧੰਨਵਾਦ, ਸਰਸੀ ਦੇ ਸਹੀ ਸੰਪਾਦਕ ਕੋਲ।"
"  Faire éditer ses vers en payant ? Non, merci !",ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਵਰਮਾਂ ਨੂੰ ਭੁਗਤਾਨ ਕਰਕੇ ਸੋਧਣ ਲਈ ਭੇਜਣਾ ਚਾਹੁੰਦੇ ਹੋ?
  S'aller faire nommer pape par les conciles,ਕਾਨਸਲਾਂ ਵਿਚ ਪੋਪ ਬਣਨ ਲਈ
  Que dans des cabarets tiennent des imbéciles ?,ਕਿ ਮੂਰਖਾਂ ਨੂੰ ਕੈਬਰੇਟ ਵਿੱਚ ਰੱਖਣਾ ਚਾਹੀਦਾ ਹੈ?
"  Non, merci ! Travailler à se construire un nom","ਨਾ, ਧੰਨਵਾਦ, ਆਪਣਾ ਨਾਂ ਬਣਾਉਣ 'ਤੇ ਕੰਮ ਕਰਨਾ"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","ਇੱਕ ਸੋਨੇ ਉੱਤੇ, ਹੋਰਾਂ ਦੀ ਬਜਾਏ?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ਕੀ ਤੁਸੀਂ ਸਿਰਫ ਬੂਟੇ 'ਤੇ ਹੀ ਹੁਨਰ ਲੱਭ ਸਕਦੇ ਹੋ?
"  Être terrorisé par de vagues gazettes,","ਅਖ਼ਬਾਰਾਂ ਦੇ ਲਹਿਰਾਂ ਨਾਲ ਡਰਾਉਣਾ,"
"  Et se dire sans cesse: Oh, pourvu que je sois","ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਕਹਿਣ ਲੱਗੇ, ""ਓਹ, ਜੇ ਮੈਂ"
  Dans les petits papiers du Mercure François ?. . .,ਮਰਕੁਅਰ ਫ੍ਰਾਂਸਿਸ ਦੇ ਛੋਟੇ ਕਾਗਜ਼ਾਂ ਵਿਚ? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","ਨਹੀਂ, ਧੰਨਵਾਦ! ਗਣਨਾ ਕਰਨਾ, ਡਰਨਾ, ਸ਼ਰਮਸਾਰ ਹੋਣਾ,"
"  Aimer mieux faire une visite qu'un poème,",ਇੱਕ ਕਵਿਤਾ ਨਾਲੋਂ ਇੱਕ ਦੌਰਾ ਕਰਨਾ ਪਸੰਦ ਕਰਨਾ
"  Rédiger des placets, se faire présenter ?",ਕੀ ਤੁਸੀਂ ਆਪਣੇ ਆਪ ਨੂੰ ਪੇਸ਼ ਕਰਨ ਲਈ ਟਿੱਪਣੀਆਂ ਲਿਖਣਾ ਚਾਹੁੰਦੇ ਹੋ?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","ਨਹੀਂ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ, ਧੰਨਵਾਦ,"
"  Rêver, rire, passer, être seul, être libre,","ਸੁਪਨਾ, ਹੱਸਣਾ, ਲੰਘਣਾ, ਇਕੱਲਾ ਹੋਣਾ, ਆਜ਼ਾਦ ਹੋਣਾ,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","ਅੱਖਾਂ ਨਾਲ ਵੇਖਣਾ, ਆਵਾਜ਼ ਨਾਲ ਕੰਬਣਾ,"
"  Mettre, quand il vous plaît, son feutre de travers,","ਜਦੋਂ ਵੀ ਤੁਸੀਂ ਚਾਹੋ, ਆਪਣੇ ਮਨ ਨੂੰ ਉਲਟਾਓ,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","ਹਾਂ ਲਈ, ਨਹੀਂ ਲਈ, ਲੜਨ ਲਈ, ਜਾਂ ਕੀੜਾ ਬਣਾਉਣ ਲਈ!"
"  Travailler sans souci de gloire ou de fortune,","ਕੰਮ ਕਰਨ ਲਈ ਮਾਣ ਜਾਂ ਧਨ ਦੀ ਚਿੰਤਾ ਨਾ ਕਰੋ,"
"  A tel voyage, auquel on pense, dans la lune !",ਚੰਦ 'ਤੇ ਇਕ ਯਾਤਰਾ ਜਿਸ ਬਾਰੇ ਤੁਸੀਂ ਸੋਚਦੇ ਹੋ!
"  N'écrire jamais rien qui de soi ne sortît,","ਕਦੇ ਵੀ ਅਜਿਹੀ ਕੋਈ ਚੀਜ਼ ਨਾ ਲਿਖੋ ਜੋ ਆਪਣੇ ਆਪ ਤੋਂ ਨਹੀਂ ਆਉਂਦੀ,"
"  Et modeste d'ailleurs, se dire: mon petit,","ਅਤੇ ਆਪਣੇ ਆਪ ਨੂੰ ਸੋਚਣ ਲਈ, ""ਮੇਰੇ ਬੱਚੇ,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","ਕੀ ਤੁਸੀਂ ਫੁੱਲਾਂ, ਫ਼ਲਾਂ ਅਤੇ ਪੱਤੀਆਂ ਨਾਲ ਸੰਤੁਸ਼ਟ ਹੋ?"
  Si c'est dans ton jardin à toi que tu les cueilles !,ਜੇ ਤੁਸੀਂ ਆਪਣੇ ਬਾਗ਼ ਵਿੱਚ ਉਨ੍ਹਾਂ ਨੂੰ ਇਕੱਠਾ ਕਰਦੇ ਹੋ!
"  Puis, s'il advient d'un peu triompher, par hasard,","ਫਿਰ ਜੇ ਉਹ ਥੋੜਾ ਜਿਹਾ ਜਿੱਤ ਪ੍ਰਾਪਤ ਕਰਦਾ ਹੈ, ਤਾਂ ਉਹ ਅਚਾਨਕ"
"  Ne pas être obligé d'en rien rendre à César,","""ਮੈਂ ਕੈਸਰ ਨੂੰ ਕੁਝ ਵੀ ਦੇਣ ਦੀ ਲੋੜ ਨਹੀਂ ।"
"  Vis-à-vis de soi-même en garder le mérite,","ਆਪਣੇ ਆਪ ਦੇ ਖਿਲਾਫ ਇਸ ਦਾ ਹੱਕ ਰੱਖਣ ਲਈ,"
"  Bref, dédaignant d'être le lierre parasite,","ਸੰਖੇਪ ਵਿੱਚ, ਪਰਜੀਵੀ ਲਿਰਸ ਹੋਣ ਤੋਂ ਨਿਰਾਸ਼,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","ਭਾਵੇਂ ਅਸੀਂ ਓਕ ਜਾਂ ਟਿਮਲ ਨਹੀਂ ਹਾਂ,"
"  Ne pas monter bien haut, peut-être, mais tout seul !",ਸ਼ਾਇਦ ਉੱਚੇ ਨਹੀਂ ਪਰ ਇਕੱਲੇ!
LE BRET:,ਬਿੱਲੀ:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","ਇਕੱਲੇ ਹੋ ਸਕਦੇ ਹੋ, ਪਰ ਸਾਰੇ ਦੇ ਵਿਰੁੱਧ ਨਹੀਂ!"
  As-tu donc contracté la manie effroyable,ਕੀ ਤੈਨੂੰ ਭਿਆਨਕ ਮਾਨਸਿਕਤਾ ਲੱਗੀ ਹੈ?
"  De te faire toujours, partout, des ennemis ?",ਹਰ ਥਾਂ ਦੁਸ਼ਮਣ ਬਣਾਉਣਾ?
CYRANO:,ਸੀਰਾਨੋ:
"  A force de vous voir vous faire des amis,","ਮੈਂ ਤੁਹਾਨੂੰ ਦੋਸਤਾਂ ਬਣਾਉਂਦੇ ਦੇਖ ਕੇ,"
"  Et rire à ces amis dont vous avez des foules,","ਅਤੇ ਉਨ੍ਹਾਂ ਦੋਸਤਾਂ ਨੂੰ ਹੱਸੋ ਜਿਨ੍ਹਾਂ ਦੇ ਨਾਲ ਤੁਹਾਡੇ ਕੋਲ ਭੀੜ ਹੈ,"
  D'une bouche empruntée au derrière des poules !,ਇੱਕ ਮੂੰਹ ਜੋ ਕਿ ਪਕੜ ਦੇ ਪਿੱਛੇ ਹੈ!
"  J'aime raréfier sur mes pas les saluts,","ਮੈਂ ਆਪਣੇ ਪੈਰਾਂ 'ਤੇ ਸਲਾਮ ਕਰਨਾ ਪਸੰਦ ਕਰਦਾ ਹਾਂ,"
  Et m'écrie avec joie: un ennemi de plus !,"ਅਤੇ ਮੈਨੂੰ ਖੁਸ਼ੀ ਨਾਲ ਪੁਕਾਰੋ, ""ਇੱਕ ਹੋਰ ਦੁਸ਼ਮਣ!"
LE BRET:,ਬਿੱਲੀ:
  Quelle aberration !,ਇਹ ਬਹੁਤ ਹੀ ਅਵਿਸ਼ਵਾਸੀ ਹੈ।
CYRANO:,ਸੀਰਾਨੋ:
"  Eh bien, oui, c'est mon vice.","ਹਾਂ, ਇਹ ਮੇਰੀ ਆਦਤ ਹੈ।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"ਮੈਨੂੰ ਘੁੰਮਣਾ ਬਹੁਤ ਪਸੰਦ ਹੈ, ਮੈਨੂੰ ਪਸੰਦ ਹੈ ਕਿ ਲੋਕ ਮੈਨੂੰ ਨਫ਼ਰਤ ਕਰਨ।"
"  Mon cher, si tu savais comme l'on marche mieux","ਮੇਰੇ ਪਿਆਰੇ, ਜੇ ਤੁਸੀਂ ਜਾਣਦੇ ਹੋ ਕਿ ਕਿਵੇਂ ਤੁਰਨਾ ਬਿਹਤਰ ਹੈ"
  Sous la pistolétade excitante des yeux !,ਅੱਖਾਂ ਦੇ ਤਿੱਖੇ ਪੱਥਰ ਦੇ ਹੇਠ!
"  Comme, sur les pourpoints, font d'amusantes taches","ਜਿਵੇਂ ਕਿ, ਬਿੰਦੂਆਂ 'ਤੇ ਮਜ਼ੇਦਾਰ ਬਲੇਡ ਬਣਾਉਂਦੇ ਹਨ"
  Le fiel des envieux et la bave des lâches !,ਈਰਖਾ ਕਰਨ ਵਾਲਿਆਂ ਦਾ ਜ਼ਹਿਰ ਅਤੇ ਦਹਿਸ਼ਤ ਕਰਨ ਵਾਲਿਆਂ ਦਾ ਜ਼ਹਿਰ!
"  --Vous, la molle amitié dont vous vous entourez,","-ਤੁਸੀਂ, ਤੁਹਾਡੇ ਆਲੇ ਦੁਆਲੇ ਦੀ ਮਿੱਤਰਤਾ,"
"  Ressemble à ces grands cols d'Italie, ajourés","ਇਹ ਇਟਲੀ ਦੇ ਵੱਡੇ ਗਲੇ ਵਰਗਾ ਹੈ,"
"  Et flottants, dans lesquels votre cou s'effémine:","ਅਤੇ ਤੈਰਦੇ ਹਨ, ਜਿਸ ਵਿਚ ਤੁਹਾਡਾ ਗਰਦਨ ਡਿੱਗਦਾ ਹੈ:"
"  On y est plus à l'aise. . .et de moins haute mine,","ਅਸੀਂ ਇਸ 'ਤੇ ਵਧੇਰੇ ਆਰਾਮਦਾਇਕ ਹਾਂ. . . ਅਤੇ ਘੱਟ ਉੱਚੀ ਖੋਖਲੀ,"
"  Car le front n'ayant pas de maintien ni de loi,","ਕਿਉਂਕਿ ਮੂੰਹ ਵਿੱਚ ਕੋਈ ਨਿਯਮ ਨਹੀਂ ਹੈ ਅਤੇ ਕੋਈ ਕਾਨੂੰਨ ਨਹੀਂ ਹੈ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",ਉਹ ਹਰ ਪਾਸੇ ਝੁਕਣ ਤੋਂ ਇਨਕਾਰ ਕਰਦਾ ਹੈ।
"  La Haine, chaque jour, me tuyaute et m'apprête",ਨਫ਼ਰਤ ਮੈਨੂੰ ਹਰ ਰੋਜ਼ ਤੰਗ ਕਰਦੀ ਹੈ
  La fraise dont l'empois force à lever la tête;,ਮਿਰਚ ਜਿਸਦਾ ਜ਼ਹਿਰ ਸਿਰ ਨੂੰ ਉੱਚਾ ਕਰਨ ਲਈ ਮਜਬੂਰ ਕਰਦਾ ਹੈ;
  Chaque ennemi de plus est un nouveau godron,ਹਰ ਦੁਸ਼ਮਣ ਇਕ ਨਵਾਂ ਗੱਭਰੂ ਹੁੰਦਾ ਹੈ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ਉਹ ਮੈਨੂੰ ਹੋਰ ਵੀ ਦੁੱਖ ਦਿੰਦਾ ਹੈ ਅਤੇ ਹੋਰ ਵੀ ਦੁੱਖ ਦਿੰਦਾ ਹੈ ।
"  Car, pareille en tous points à la fraise espagnole,","ਕਿਉਂਕਿ ਹਰ ਤਰ੍ਹਾਂ ਸਪੇਨ ਦੇ ਸਟ੍ਰਾਈਮ ਵਾਂਗ,"
"  La Haine est un carcan, mais c'est une auréole !","ਨਫ਼ਰਤ ਇੱਕ ਕੂੜਾ ਹੈ, ਪਰ ਇਹ ਇੱਕ ਅਰੇਓਲ ਹੈ!"
"LE BRET (après un silence, passant son bras sous le sien):","(ਹੋਰ) ਚੁੱਪ, ਉਸ ਦੇ ਆਪਣੇ ਹੇਠ ਉਸ ਦੇ ਹੱਥ ਪਾਸ ਬਾਅਦਃ"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ਹੰਕਾਰੀ ਨੂੰ ਉੱਚਾ ਅਤੇ ਤੰਗ ਕਰ, ਪਰ ਨੀਵਾਂ ਨੂੰ ਨੀਵਾਂ ਕਰ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ਮੈਨੂੰ ਦੱਸੋ ਕਿ ਉਹ ਤੁਹਾਨੂੰ ਪਿਆਰ ਨਹੀਂ ਕਰਦੀ!
CYRANO (vivement):,ਸੀਰਾਨੋ (ਜੀਵਿਤ):
  Tais-toi !,ਚੁੱਪ ਕਰ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ਇੱਕ ਪਲ ਬਾਅਦ, ਕ੍ਰਿਸਟੀਅਨ ਨੇ ਅੰਦਰ ਗਿਆ, ਨੌਜਵਾਨਾਂ ਨਾਲ ਜੁੜਿਆ; ਇਹ"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"ਉਹ ਉਸ ਨੂੰ ਕੋਈ ਗੱਲ ਨਾ ਕਰਦੇ, ਉਹ ਅੰਤ ਵਿੱਚ ਇਕੱਲੇ ਇੱਕ ਨਾਲ ਬੈਠ ਗਿਆ"
