Scène 2.VIII.,المشهد 2.VIII.
"  Mais pour le principe, et pour l'exemple aussi,",وَلَكِنْ مِنْ قَبْلُ وَمِنْ قِبَلِهِ كَذَلِكَ
  Je trouve qu'il est bon d'exagérer ainsi.,أَحْسِبُ أَنَّهُ حَسَنٌ أَنْ تُفَاخِرَ بِهَذَا.
LE BRET:,الكلب:
"  Si tu laissais un peu ton âme mousquetaire,",لَوْ تَرَكْتَ نَفْسَكَ ٱلْمُسْتَغْلِبَةَ قَلِيلًا
  La fortune et la gloire. . .,ٱلْغِنَى وَٱلْمَجْدُ . . .
CYRANO:,كايرانو:
  Et que faudrait-il faire ?,وماذا لازم نفعله؟
"  Chercher un protecteur puissant, prendre un patron,",لِيَطْلُبَ مُحَمَّدًا قَوِيًّا ، لِيَأْخُذَ رَئِيسًا ،
  Et comme un lierre obscur qui circonvient un tronc,وَكَمَا يَكُونُ مِنَ ٱلْمُسْتَوْقِفِينَ مِنَ ٱلْمُسْتَوْقِفِينَ
"  Et s'en fait un tuteur en lui léchant l'écorce,",وَيَجْعَلُهُ رَاعِيًا يَلْحَسُ جَلْدَهُ ،
  Grimper par ruse au lieu de s'élever par force ?,إرتفاع بطرق بدلًا من الارتفاع بقوة؟
"  Non, merci. Dédier, comme tous il le font,",لا، شكراً. التضحية، ككل واحد،
  Des vers aux financiers ? se changer en bouffon,من الدود للمصارف؟ يتحولون لخرافات
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",فِي رَجَاءٍ مُنْكَرٍ أَنْ يَرَى ، فِي شَفَتَيْ خَادِمٍ ،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",إبتسامه، بعد كل شيء، اللي مش خبيث؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",لا، شكراً. اتتناول غداء كوكب يومياً؟
  Avoir un ventre usé par la marche ? une peau,حيكون بطنك متسخ من المشي؟ جلد
"  Qui plus vite, à l'endroit des genoux, devient sale ?",مَنْ يَكُونُ أَسْرَعَ مِنْ رُكْبَتِهِ يَتَنَجَّسُ؟
  Exécuter des tours de souplesse dorsale ?. . .,أَتَجْرِي مَرَارِحَ مُتَنَوِّعَةً؟ . . .
"  Non, merci. D'une main flatter la chèvre au cou",لا، شكراً. بيد واحدة تُشَبِّحُ العُنُقَةَ
"  Cependant que, de l'autre, on arrose le chou,",وَلَكِنْ إِنْ سَقَيْنَا ٱلْكَبْرَةَ مِنَ ٱلْآخَرِ ،
"  Et, donneur de séné par désir de rhubarbe,",وَيُعْطِيَنَّ حَنَكًا مِنْ شَهْوَةِ حَيْرَةٍ ،
"  Avoir son encensoir, toujours, dans quelque barbe ?",ليهز كوخه في حلاقة؟
"  Non, merci ! Se pousser de giron en giron,",لا، شكراً. تَدُوسُ مِنْ تَدُوسٍ لَتَدُوسُ،
"  Devenir un petit grand homme dans un rond,",صِيرُ رَجُلًا كَبِيرًا صَغِيرًا فِي حَالٍ،
"  Et naviguer, avec des madrigaux pour rames,",وَتَسْفُرُ بِمَرَاجِينَ لِلْمَرَاجِينِ ،
  Et dans ses voiles des soupirs de vieilles dames ?,و في سفحاته نغمات السيدات العجوز؟
"  Non, merci ! Chez le bon éditeur de Sercy",لا، شكراً، مع ناشر سيرسي الصحيح
"  Faire éditer ses vers en payant ? Non, merci !",حَرَسْ إطعمةً بِدَفْعٍ؟
  S'aller faire nommer pape par les conciles,إِخْتِيَارُ أَنْ يُعَيَّنَ بَابًا بِٱلْمَجَالِسِ
  Que dans des cabarets tiennent des imbéciles ?,اللي في الكابيرات بتحمل أحمق؟
"  Non, merci ! Travailler à se construire un nom",لا، شكراً، أعمل على بناء اسم
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",بمنزل واحد، بدلًا من تكوين آخرين؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شكراً، إكتشاف الموهبة بس في الملاهي؟
"  Être terrorisé par de vagues gazettes,",اِنْ تُرَعَّبَ مِنْ جُرُوشِ الجُرُوعِ،
"  Et se dire sans cesse: Oh, pourvu que je sois","وَأَنْتَ تَقُولُ مُدَّةً: ""أَمَّا أَنَا فَلَا أَكُونُ أَحَدًا""."
  Dans les petits papiers du Mercure François ?. . .,في ورق مكرور فرانسيسكو الصغيرة؟ . . .
"  Non, merci ! Calculer, avoir peur, être blême,",لا، شكراً. حاسوب، خوف، كوني متوهج،
"  Aimer mieux faire une visite qu'un poème,",احب زيارتك أكثر من قصيدة
"  Rédiger des placets, se faire présenter ?",كتب كتيبات، ويحضر نفسه؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",لا، شكراً، شكراً، شكراً، شكراً، شكراً، لكن،
"  Rêver, rire, passer, être seul, être libre,",حُلْمٌ، ضَحِكٌ، مَرْضَى، وَحْدَكَ، وَحُرٌّ،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",لِيَكُنْ عَيْنٌ تَنْظُرُ حَسَنًا ، صَوْتٌ يَتَرَنَّمُ ،
"  Mettre, quand il vous plaît, son feutre de travers,",يَضَعُ إِذَا أَرَدْتَ حَسَبَ مَا تَشَاءُ.
"  Pour un oui, pour un non, se battre,--ou faire un vers !",لِإيه، لِلنَّعَمْ، قَاتِلْ، -- أو تَجْعَلْ دَمًا!
"  Travailler sans souci de gloire ou de fortune,",لَا يَعْمَلُوا بِلَا مَجْدٍ وَلَا غِنَى
"  A tel voyage, auquel on pense, dans la lune !",رحلة كهذه، بتفكر فيها، في القمر!
"  N'écrire jamais rien qui de soi ne sortît,",لَا تَكْتُبْ أَبَدًا شَيْئًا لَا يَخْرُجُ مِنْكَ،
"  Et modeste d'ailleurs, se dire: mon petit,","وَمُتَوَاضِعٌ أَيْضًا ، يَقُولُ لِنَفْسِهِ: ""يَا صَبِيّ ،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",أَوْ يَسْتَعْمِلُ بِٱلْأَزْهَارِ وَٱلْأَثْمَارِ وَٱلْوَرَقِ ،
  Si c'est dans ton jardin à toi que tu les cueilles !,لو كنت في حديقتك بتجمعهم
"  Puis, s'il advient d'un peu triompher, par hasard,",ثُمَّ إِنْ كَانَ يَنْجَحُ قَلِيلًا ،
"  Ne pas être obligé d'en rien rendre à César,",لِئَلَّا يَكُونَ لَكَ مُلْزَمٌ أَنْ تُعْطِيَ قَيْصَرَ شَيْئًا ،
"  Vis-à-vis de soi-même en garder le mérite,",عَلَى نَفْسِهِ يَحْفَظُ مَثَلَهُ،
"  Bref, dédaignant d'être le lierre parasite,",في كلتا الحالتين، ويحتقرون كونهم الحشرة المزيفة،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",وَإِنْ لَمْ نَكُنْ شَجَرَةً وَلَا نَبْلَى
"  Ne pas monter bien haut, peut-être, mais tout seul !",ممكن مش يصل عالياً، بس لوحده!
LE BRET:,الكلب:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",وَحْدَكَ ، وَلَكِنْ لَيْسَ عَلَى كُلِّ وَاحِدٍ !
  As-tu donc contracté la manie effroyable,فَهَلْ عَلِمْتَ مَنَاكِبَةً مُخْتَرِبَةً
"  De te faire toujours, partout, des ennemis ?",إِنْ كُنْتَ تَعْمَلُ عَدُوّاً كُلّ مَكَانٍ؟
CYRANO:,كايرانو:
"  A force de vous voir vous faire des amis,",بِمَا أَنْتُمْ تَصْنَعُونَ أَصْدِقَاءَ
"  Et rire à ces amis dont vous avez des foules,",وَتَضْحَكُ بِأَصْحَابِكَ ٱلَّذِينَ لَكُمْ جُمْهُورٌ،
  D'une bouche empruntée au derrière des poules !,من فم مستعير من خلف الدجاج!
"  J'aime raréfier sur mes pas les saluts,",أَحْبِبُ أَنْ أُسَلِّمَ عَلَى خَطَوَاتِي ،
  Et m'écrie avec joie: un ennemi de plus !,وَصَرَخْ لِي بِٱلْفَرَحِ: عَدُوٌّ أَيْضًا!
LE BRET:,الكلب:
  Quelle aberration !,ده ده غرابة.
CYRANO:,كايرانو:
"  Eh bien, oui, c'est mon vice.",حَسَنًا، إيه، ده إعاقتي.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,إِنِّي أَسْتَعِي أَنْ أَتْرُكَ. أُحِبُّ أَنْ يُكْرَهَنِي.
"  Mon cher, si tu savais comme l'on marche mieux",يا حبيبتي، لو عَرَفْتَ كَيْفَ تَمْشِي أَحْسَنْ
  Sous la pistolétade excitante des yeux !,تحت البصيرة المثيرة للاستعراض!
"  Comme, sur les pourpoints, font d'amusantes taches",كمان، على الأساس، يجعلو بقع ممتعة
  Le fiel des envieux et la bave des lâches !,عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَى عَلَى عَلَى عَى عَلَى عَلَى عَلَى عَى عَلَى عَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى عَلَى ع
"  --Vous, la molle amitié dont vous vous entourez,",أَنْتَ ، صَدَقَةُ ٱلْعَطِيفِ ٱلَّتِي تَحْتَكَ ،
"  Ressemble à ces grands cols d'Italie, ajourés",شكله كلك الايطاليان الكبيرة، المأخوذة
"  Et flottants, dans lesquels votre cou s'effémine:",وَمَغْرُوقَاتٍ تَتَرَنَّمُ فِيهَا عُنُقُكَ.
"  On y est plus à l'aise. . .et de moins haute mine,",حَسِبْ مَا أَرْضَى مِنْهُ . .وَأَقَلَّ مِنْ قَلْبِهِ
"  Car le front n'ayant pas de maintien ni de loi,",لِأَنَّ ٱلْجَبْهَ لَا حَقًّا وَلَا شَرِيعَةَ ،
"  S'abandonne à pencher dans tous les sens. Mais moi,",يَتْرُكُ مَنْ يَتَمَرَّدُ فِي كُلِّ حَالٍ.
"  La Haine, chaque jour, me tuyaute et m'apprête",الكراهية كل يوم تُدْمِنِي وَتُقَرِّبُني
  La fraise dont l'empois force à lever la tête;,وَٱلْعَرْشَةُ ٱلَّتِي يَجْعَلُهَا رَأْسُهَا تَرْتَفِعُ.
  Chaque ennemi de plus est un nouveau godron,كل عدو إضافي هو جُنّة جديدة
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ٱلَّذِي يَزِيدُ عَلَيَّ عَيْبًا ، وَيَزِيدُ عَيْبًا عَلَيَّ.
"  Car, pareille en tous points à la fraise espagnole,",لِأَنَّهُ كَمَا فِي كُلِّ شَيْءٍ مِنْ فَرَسِ الإِسْبَانِيَّةِ،
"  La Haine est un carcan, mais c'est une auréole !",الكراهية هي كركان، لكن هي أورول!
"LE BRET (après un silence, passant son bras sous le sien):",بَيْتُ ٱلرِّيحِ (بَعْدَ سُكُوتٍ ، مُرْتَدِّ ذِرَاعِهِ تَحْتَ ذِرَاعِهِ):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",اِرْفَعِي ٱلْمُتَكَبِّرَ وَأَرِ مُرًّا ، وَٱتَّخِذِي ٱلْمُتَوَاضِعَ
  Dis-moi tout simplement qu'elle ne t'aime pas !,بس قولي لي إنّها مش بتحبك!
CYRANO (vivement):,CYRANO (حية):
  Tais-toi !,اخرس!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(مِنْ حِينٍ دَخَلَ كريستيان، وَتَدَلَّلَ بِالصِبْيَانِ؛ هَؤُلاءِ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,لَمْ يَتَكَلَّمُوا بِهِ. فَأَخِيرًا جَلَسَ وَحْدَهُ فِي
