Scène 2.VIII.,Escenas 2.VIII.
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Não, obrigado, almoçar todos os dias com um sapo?"
  Avoir un ventre usé par la marche ? une peau,Ter uma barriga esgotada com a caminhada ?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Quem é que fica mais rápido, em vez de os joelhos, sujo?"
  Exécuter des tours de souplesse dorsale ?. . .,Realizar torres de flexibilidade de espinha dorsal? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Não, obrigado, com uma mão, elogiar a cabra ao pescoço."
"  Cependant que, de l'autre, on arrose le chou,","No entanto, do outro, regamos a couve,"
"  Et, donneur de séné par désir de rhubarbe,","E que, por desejo, faz-nos mamilos,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Ter o incenso sempre dentro de uma barba?
"  Non, merci ! Se pousser de giron en giron,","Não, obrigado, dar-se de volta para volta."
"  Devenir un petit grand homme dans un rond,","Tornar-se um grande homem pequeno em um círculo,"
"  Et naviguer, avec des madrigaux pour rames,","E navegar com madrigas para remas,"
  Et dans ses voiles des soupirs de vieilles dames ?,E os sopros das velhas mulheres nos seus veículos?
"  Non, merci ! Chez le bon éditeur de Sercy","Não, obrigado, ao editor certo de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Fazer com que os vermes sejam editados por dinheiro?
  S'aller faire nommer pape par les conciles,Ir para ser nomeado Papa pelos concílios
  Que dans des cabarets tiennent des imbéciles ?,Que em cabaretos há idiotas?
"  Non, merci ! Travailler à se construire un nom","Não, obrigado, trabalhar para se fazer um nome."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","- Em um soneto, em vez de fazer outros?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Só descobrem talento em mazmorras?
"  Être terrorisé par de vagues gazettes,","Terrorizado por jornais ondulados,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E continuamente dizendo: ""Oh, se eu fosse"
  Dans les petits papiers du Mercure François ?. . .,Nos pequenos papéis do Mercúrio Francisco? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcular, ter medo, ser triste,"
"  Aimer mieux faire une visite qu'un poème,",Gostava mais de uma visita do que de um poema.
"  Rédiger des placets, se faire présenter ?","Fazer papéis, apresentar-se?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Não, obrigado, obrigado, obrigado, mas..."
"  Rêver, rire, passer, être seul, être libre,","Sonhar, rir, passar, estar sozinho, ser livre,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ter um olho que veja bem, uma voz que vibra,"
"  Mettre, quand il vous plaît, son feutre de travers,","Colocar, quando quiser, seu sentimento de transgressão,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Para um sim, para um não, lutar, ou fazer um verme!"
"  Travailler sans souci de gloire ou de fortune,","Trabalhar sem se preocupar com a glória ou a riqueza,"
"  A tel voyage, auquel on pense, dans la lune !",Uma viagem à lua que se pensa!
"  N'écrire jamais rien qui de soi ne sortît,","Nunca escreva nada que não sai de si mesmo,"
"  Et modeste d'ailleurs, se dire: mon petit,","E, de fato, modesto, dizendo: ""Meu filho,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Seja com flores, frutos, até folhas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se é no teu jardim que as colhes!
"  Puis, s'il advient d'un peu triompher, par hasard,","Então, se ele conseguir um pouco de triunfo, por acaso,"
"  Ne pas être obligé d'en rien rendre à César,","Não seja obrigado a pagar a César,"
"  Vis-à-vis de soi-même en garder le mérite,","Com relação a si mesmo, manter o mérito,"
"  Bref, dédaignant d'être le lierre parasite,","Em suma, desdenhando ser o lierre parasita,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Mesmo que não seja a árvore de carvalho ou o alce,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não, não,"
LE BRET:,O BRET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Só, mas não contra todos."
  As-tu donc contracté la manie effroyable,"Então, você teve a mania terrível"
"  De te faire toujours, partout, des ennemis ?","E fazer-se sempre, em todos os lugares, inimigos?"
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Por verem-se fazer amigos,"
"  Et rire à ces amis dont vous avez des foules,","E rir desses amigos que têm multidões,"
  D'une bouche empruntée au derrière des poules !,Com uma boca emprestada para trás das galinhas!
"  J'aime raréfier sur mes pas les saluts,","Gosto de dar saludos aos meus pés,"
  Et m'écrie avec joie: un ennemi de plus !,E grita-me com alegria: mais um inimigo!
LE BRET:,O BRET:
  Quelle aberration !,Que aberração!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Bem, sim, é o meu vício."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Eu gosto de descer, eu gosto de ser odiado."
"  Mon cher, si tu savais comme l'on marche mieux","Meu querido, se soubesse como andar melhor"
  Sous la pistolétade excitante des yeux !,Sob o artilheiro de olhos excitante!
"  Comme, sur les pourpoints, font d'amusantes taches","Como, em pontos de vista, fazer manchas divertidas"
  Le fiel des envieux et la bave des lâches !,A velha do inveja e a maldição dos covardes !
"  --Vous, la molle amitié dont vous vous entourez,","-Você, a suave amizade que você está rodeado,"
"  Ressemble à ces grands cols d'Italie, ajourés","Parece com estes grandes cols da Itália, adiados"
"  Et flottants, dans lesquels votre cou s'effémine:","E flutuantes, em que o teu pescoço se esvaziar:"
"  On y est plus à l'aise. . .et de moins haute mine,",É mais confortável. E menos alto.
"  Car le front n'ayant pas de maintien ni de loi,","Porque a testa não tem regra nem lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Ele se desmoraliza em todos os sentidos.
"  La Haine, chaque jour, me tuyaute et m'apprête","O ódio, todos os dias, me pega e me prepara"
  La fraise dont l'empois force à lever la tête;,A morango que o veneno força a levantar a cabeça;
  Chaque ennemi de plus est un nouveau godron,Cada outro inimigo é um novo cavalo.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Ele me acrescenta um pouco de confusão e um pouco de raiva.
"  Car, pareille en tous points à la fraise espagnole,","Porque, como em todos os aspectos, a fresa espanhola,"
"  La Haine est un carcan, mais c'est une auréole !","O ódio é um carcan, mas é um auréol!"
"LE BRET (après un silence, passant son bras sous le sien):","O BRET (após um silêncio, passando seu braço sob o seu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Faça o orgulhoso alto e amargo, mas, de forma baixa"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Diz-me que ela não te ama!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,- Não te preocupes.
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Depois de um momento, Christian entrou, se envolveu com os jovens; estes"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"não lhe falam, ele acabou sentado sozinho em uma"
