Scène 2.VIII.,منظر نمبر ۲۔۸۔
"  Si tu laissais un peu ton âme mousquetaire,",اگر آپ اپنی روح کو تھوڑا سا مسکیٹ چھوڑ دیں،
  La fortune et la gloire. . .,دولت اور شان و شوکت . . .
CYRANO:,سائرانو:
  Et que faudrait-il faire ?,اور کیا کرنا چاہیے؟
"  Chercher un protecteur puissant, prendre un patron,",ایک طاقتور محافظ تلاش کرنا، ایک مالک کو منتخب کرنا،
  Et comme un lierre obscur qui circonvient un tronc,اور ایک ٹوکری کے گرد ایک سیاہ پتھر کی طرح
"  Et s'en fait un tuteur en lui léchant l'écorce,",اور اس کے سر پر چڑھا کر اس کا نگہبان بن جاتا ہے
  Grimper par ruse au lieu de s'élever par force ?,اس کے بجائے اس کی طاقت سے چڑھنا؟
"  Non, merci. Dédier, comme tous il le font,",نہیں، شکریہ۔ وقف کرنا، جیسا کہ سب کرتے ہیں،
  Des vers aux financiers ? se changer en bouffon,جراثیم سے مالیاتی اداروں تک؟
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,",ایک وزیر کے منہ سے دیکھنا،
"  Naître un sourire, enfin, qui ne soit pas sinistre ?",آخر میں، ایک مسکراہٹ پیدا کرنا، جو کہ برا نہیں ہے؟
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",نہیں، شکریہ، ہر روز ایک ٹکراؤ کے ساتھ دوپہر کا کھانا؟
  Avoir un ventre usé par la marche ? une peau,چلنے سے پیٹ خراب ہو جانا؟
"  Qui plus vite, à l'endroit des genoux, devient sale ?",کون جلد گندا ہو جاتا ہے؟
  Exécuter des tours de souplesse dorsale ?. . .,کیا آپ کی کمر کی لچک کی ٹوریں چلیں گی؟
"  Non, merci. D'une main flatter la chèvre au cou",نہیں، شکریہ، ایک ہاتھ سے گائے کو گلے میں چومنا
"  Cependant que, de l'autre, on arrose le chou,",لیکن جب ہم دوسرے حصے میں گوبھی ڈالتے ہیں
"  Et, donneur de séné par désir de rhubarbe,",اور جو اپنی خواہش کے سبب سینے کو جھونکتا ہے
"  Avoir son encensoir, toujours, dans quelque barbe ?",کیا وہ ہمیشہ اپنے بھونچال کو کسی بھی ڈبے میں رکھتی ہے؟
"  Non, merci ! Se pousser de giron en giron,",نہیں، شکریہ۔ ایک دوسرے کے ساتھ گھومنا،
"  Devenir un petit grand homme dans un rond,",ایک گول میں ایک چھوٹا بڑا آدمی بننے کے لئے،
"  Et naviguer, avec des madrigaux pour rames,",اور کشتیوں کے لیے کشتیوں کے ساتھ جہاز چلاتے ہیں
  Et dans ses voiles des soupirs de vieilles dames ?,اور اس کے سلاخوں میں بڑی عمر کی خواتین کی آہٹیں؟
"  Non, merci ! Chez le bon éditeur de Sercy",نہیں، شکریہ، سرسی کے صحیح ایڈیٹر کے پاس۔
"  Faire éditer ses vers en payant ? Non, merci !",آپ کو اپنی ورقوں کو ادا کرکے ترمیم کرنا چاہئے؟
  S'aller faire nommer pape par les conciles,پوپ کی حیثیت سے اپنے آپ کو کونسلوں میں شامل کرنا
  Que dans des cabarets tiennent des imbéciles ?,کیا یہ بات ہے کہ کمرے میں بے وقوف لوگ رہتے ہیں؟
"  Non, merci ! Travailler à se construire un nom",نہیں، شکریہ، اپنا نام بنانے پر کام کرنا
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",ایک سونن پر، اور دوسرے بجانے کے بجائے؟
  Merci ! Ne découvrir du talent qu'aux mazettes ?,شکریہ، کیا آپ کو صرف مٹی کے کنارے ہی پرتیبھا مل سکتی ہے؟
"  Être terrorisé par de vagues gazettes,",اخباروں کی لہروں سے گھبرانا،
"  Et se dire sans cesse: Oh, pourvu que je sois","اور اپنے آپ کو مسلسل کہہ رہے ہیں، ""اوہ، اگر میں ہوں"
  Dans les petits papiers du Mercure François ?. . .,مرقور فرانسس کے چھوٹے کاغذات میں؟
"  Non, merci ! Calculer, avoir peur, être blême,",نہیں، شکریہ، حساب کرنا، خوفزدہ ہونا، بے ہوش ہونا،
"  Aimer mieux faire une visite qu'un poème,",ایک نظم سے زیادہ ایک دورے سے محبت کرنا
"  Rédiger des placets, se faire présenter ?",کیا آپ کو اپنے آپ کو پیش کرنا چاہئے؟
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",نہیں، شکریہ، نہیں، شکریہ، نہیں، شکریہ، لیکن...
"  Rêver, rire, passer, être seul, être libre,",خواب دیکھنا، ہنسی لگانا، گزرنا، اکیلا رہنا، آزاد ہونا،
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",آنکھ کو صاف دیکھنا، آواز کو ہلکا کرنا،
"  Mettre, quand il vous plaît, son feutre de travers,",جب بھی آپ چاہیں اپنا احساس غلط رکھیں،
"  Pour un oui, pour un non, se battre,--ou faire un vers !",ہاں کے لئے، نہیں کے لئے، لڑنے کے لئے، یا ایک جھاڑی بنانے کے لئے!
"  Travailler sans souci de gloire ou de fortune,",کام نہ کرو نہ عزت اور نہ دولت
"  A tel voyage, auquel on pense, dans la lune !",چاند پر سفر کرنا۔
"  N'écrire jamais rien qui de soi ne sortît,",کبھی بھی ایسی کوئی چیز نہ لکھنا جو خود سے نہیں نکلتی،
"  Et modeste d'ailleurs, se dire: mon petit,","اور وہ بھی معمولی ہے، اپنے آپ کو کہتے ہیں، ""میرا بچہ،"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",پھولوں سے، پھلوں سے، یہاں تک کہ پتیوں سے بھی
  Si c'est dans ton jardin à toi que tu les cueilles !,اگر آپ اپنے باغ میں ان کو کھینچتے ہیں تو!
"  Puis, s'il advient d'un peu triompher, par hasard,",پھر اگر وہ تھوڑی سی کامیابی حاصل کرے تو
"  Ne pas être obligé d'en rien rendre à César,",اور کہا کہ مجھے قَیصر کو کچھ بھی ادا کرنے کی ضرورت نہیں ہے ۔
"  Vis-à-vis de soi-même en garder le mérite,",اپنے آپ کے ساتھ اس کی قدر رکھنے کے لئے،
"  Bref, dédaignant d'être le lierre parasite,",مختصر میں، پرجیوی لیری ہونے سے انکار کرتے ہوئے،
"  Lors même qu'on n'est pas le chêne ou le tilleul,",یہاں تک کہ جب ہم ایک درخت یا ایک ٹیلول نہیں ہیں،
"  Ne pas monter bien haut, peut-être, mais tout seul !",شاید اونچی نہیں، لیکن اکیلے!
LE BRET:,بُری:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",اکیلے تو ہو سکتا ہے، لیکن سب کے خلاف نہیں!
  As-tu donc contracté la manie effroyable,تو کیا تم نے خوفناک ذہنیت حاصل کر لی ہے
"  De te faire toujours, partout, des ennemis ?",ہر جگہ اپنے آپ کو دشمن بنانا؟
CYRANO:,سائرانو:
"  A force de vous voir vous faire des amis,",اور جب میں نے تمہیں دوست بنا کر دیکھا
"  Et rire à ces amis dont vous avez des foules,",اور ان دوستوں پر ہنسی کرتے ہیں جن کے پاس بھیڑ ہے،
  D'une bouche empruntée au derrière des poules !,ایک منہ جو مرغیوں کے پیچھے سے لیا گیا ہے!
"  J'aime raréfier sur mes pas les saluts,",میں اپنے قدموں پر سلام کرنا پسند کرتا ہوں
  Et m'écrie avec joie: un ennemi de plus !,اور مجھے خوشی سے پکارو، ایک اور دشمن!
LE BRET:,بُری:
  Quelle aberration !,یہ تو بہت ہی عجیب بات ہے
CYRANO:,سائرانو:
"  Eh bien, oui, c'est mon vice.",ٹھیک ہے، ہاں، یہ میری عادت ہے.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,مجھے نفرت کرنا پسند ہے، مجھے نفرت کرنا پسند ہے،
"  Mon cher, si tu savais comme l'on marche mieux",میرے پیارے، اگر آپ جانتے ہیں کہ ہم کیسے چلتے ہیں
  Sous la pistolétade excitante des yeux !,اس کے چہرے کے نیچے!
"  Comme, sur les pourpoints, font d'amusantes taches",جیسے، حوالہ جات پر، مذاق کے مقامات کرتے ہیں
  Le fiel des envieux et la bave des lâches !,حسد کرنے والوں کی تل اور ڈراؤنے لوگوں کی تل!
"  --Vous, la molle amitié dont vous vous entourez,",-تم، جو نرم دوستی تم اپنے ارد گرد ہو،
"  Ressemble à ces grands cols d'Italie, ajourés",اٹلی کے ان بڑے گلے کی طرح لگتا ہے، ملتوی
"  Et flottants, dans lesquels votre cou s'effémine:",اور تیرتے ہوئے پانی میں جو تمہارے گلے میں گھستا ہے
"  On y est plus à l'aise. . .et de moins haute mine,",ہم اس میں زیادہ آرام دہ اور پرسکون ہیں اور کم اونچی،
"  Car le front n'ayant pas de maintien ni de loi,",کیونکہ جب تک جُھونکیں نہ تو کوئی قانون اور نہ ہی کوئی قانون ہے
"  S'abandonne à pencher dans tous les sens. Mais moi,",وہ ہر طرف جھکنے سے باز نہیں آتا۔
"  La Haine, chaque jour, me tuyaute et m'apprête",نفرت ہر روز مجھے چھونے اور چلانے کے لئے تیار ہے
  La fraise dont l'empois force à lever la tête;,اس فراز کی زہر نے اس کا سر بلند کرنے پر مجبور کیا ہے؛
  Chaque ennemi de plus est un nouveau godron,ہر دشمن ایک نیا گدھا ہے
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",جو مجھے تکلیف اور تکلیف میں مبتلا کرتا ہے
"  Car, pareille en tous points à la fraise espagnole,",کیونکہ ہر طرح سے ہسپانوی فراز کی طرح
"  La Haine est un carcan, mais c'est une auréole !",نفرت ایک گڑیا ہے، لیکن یہ ایک سورج کی روشنی ہے!
"LE BRET (après un silence, passant son bras sous le sien):",BRET (ایک خاموشی کے بعد، اس کے بازو کے نیچے منتقل):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",مغرور کو بلند اور تلخ بناؤ لیکن کم
  Dis-moi tout simplement qu'elle ne t'aime pas !,بس مجھے بتائیں کہ وہ آپ سے محبت نہیں کرتی!
CYRANO (vivement):,سیرا (زندہ):
  Tais-toi !,- چپ ہو جاؤ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(ایک لمحے کے بعد، کرسچن اندر گیا، نوجوانوں کے ساتھ ملوث ہوا، یہ
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,اس سے بات نہیں کرتے، وہ آخر میں اکیلے ایک کے ساتھ بیٹھ گیا
