Scène 2.VIII.,འབྱུང་རིམ་༢༨
"  Non, merci ! Chez le bon éditeur de Sercy",མེན་ བཀའ་དྲིན་ཆེ་ཟེར་ཞུ་ནི་ཨིན་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ སྦྱིན་བདག་དང་འབྲེལ་བའི་ འབྲེལ་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་ཡོད་
"  Faire éditer ses vers en payant ? Non, merci !",ཁྱོད་ཀྱིས་ ཁྱོད་ཀྱིས་ ཁྱོད་ཀྱིས་སླབ་མི་ཚིག་ཚུ་ ཏི་རུ་སྤྲོད་སྦེ་ བཀྲམ་སྟོན་འབད།
  S'aller faire nommer pape par les conciles,ཚོགས་པ་གིས་ རོམ་གྱི་གཞུང་ཚབ་ཀྱི་འགན་ཁུར་འབག་ནི་གི་དོན་ལས་
  Que dans des cabarets tiennent des imbéciles ?,ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་ ཨ་ཁའི་
"  Non, merci ! Travailler à se construire un nom",མི་མཚན་བཟོ་ནི་ལུ་ ལཱ་འབད་དོ་
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",སྒྲ་གཞན་ཚུ་བཟོ་ནི་མེན་པར་ སྒྲ་གཞན་ཚུ་བཟོ་ནི་དེ་ སྒྲ་ཨིན་མེན་ན།
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ཐུགས་རྗེ་ཆེ་བས་ ཁྱོད་ཀྱིས་ རིག་རྩལ་འདི་ ཤ་གི་བལ་གྱི་ནང་རྐྱངམ་གཅིག་འཚོལ་ཚུགས་ནི་སྨོ་
"  Être terrorisé par de vagues gazettes,",གནས་ཚུལ་གསར་བཏོན་ཚུ་གིས་ འཇིགས་སྐྲག་བསྐྱེད་ནི་
"  Et se dire sans cesse: Oh, pourvu que je sois",ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་རྟག་རང་ ང་ཨ་
  Dans les petits papiers du Mercure François ?. . .,མེ་ག་རིའི་གི་ཤོག་ལེབ་ཚུ་ནང་ ...
"  Non, merci ! Calculer, avoir peur, être blême,",མེན་ ཐུགས་རྗེ་ཆེ་བས་ ཁྱོད་ཀྱིས་རྩིས་རྐྱབ་ནི་ འཇིགས་སྣང་བསྐྱེད་ནི་ མནོ་བསམ་གཏང་ནི་
"  Aimer mieux faire une visite qu'un poème,",རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ རྒྱུགས་རྐྱབ་ནི་དེ་ཨིན།
"  Rédiger des placets, se faire présenter ?",ཁྱོད་ཀྱིས་ ཐོ་བཀོད་དང་ ངོ་སྤྲོད་འབད་ནི་དང་འབྲེལ་བའི་ གནད་དོན་ག་ཅི་ལུ་བལྟ་སྟེ་ སེམས་དགའ་ནི་ཡོདཔ་ཨིན་ན?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",མེན་ བཀའ་དྲིན་ཆེ་ཟེར་ཞུ་མི་ མེན་ བཀའ་དྲིན་ཆེ་ཟེར་ཞུ་མི་ དེ་འབདཝ་ད་ ...
"  Rêver, rire, passer, être seul, être libre,",རྨི་ལམ་མཐོང་ནི་ འུ་ནི་ མགྱོགས་པ་རང་འགྱོ་ནི་ རང་རང་ལུ་རང་དབང་ཐོབ་ནི་
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",མིག་ཏོ་ལེགས་ཤོམ་སྦེ་མཐོང་ཚུགས་ནི་ དེ་ལས་སྐད་ཡང་ལེགས་ཤོམ་སྦེ་འདར་ཚུགས་ནི་
"  Mettre, quand il vous plaît, son feutre de travers,",ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་དགོ་པ་ཅིན་ ཁྱོད་ཀྱིས་འབད་
"  Pour un oui, pour un non, se battre,--ou faire un vers !",ཁྱོད་ཀྱིས་བཏུབ་ཟེར་བ་ཅིན་ ཡང་ན་བཏུབ་ཟེར་བ་ཅིན་ ཡང་ན་འཐབ་འཛིང་འབད་ནི་དང་ ཡང་ན་ རོ་ཁྱི་བཟོ་ནི་ཟེར་བ་ཅིན་
"  Travailler sans souci de gloire ou de fortune,",མི་དབང་དང་ རྒྱུ་ནོར་ལོངས་སྤྱོད་ལུ་མ་བརྟེན་ ལཱ་འབད་སྡོད་དགོ།
"  A tel voyage, auquel on pense, dans la lune !",ཁྱེད་ཀྱིས་འབད་བ་ཅིན་ ཁྱེད་ཀྱིས་འབད་བ་ཅིན་ གཟའ་ཟླ་བ་ལུ་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་འདི་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ནང་ གཟའ་ཟླ་བ་ གཟའ་ཟླ་བ་ནང་
"  N'écrire jamais rien qui de soi ne sortît,",ཁྱོད་ཀྱིས་ རང་གིས་རང་ལུ་མ་འབྲི་བའི་ལོ་རྒྱུས་ཚུ་ ཡག་གིས་ཡང་མ་འབྲི་ཤིག
"  Et modeste d'ailleurs, se dire: mon petit,",དེ་ལས་ཡང་ མི་ཉམ་ཆུང་དེ་གིས་ རང་གི་སེམས་ཁར་ལུ་ ང་ཨ་ཙི་ཅིག་ཨིན་
"  Soit satisfait des fleurs, des fruits, même des feuilles,",མེ་ཏོག་དང་ཤིང་འབྲས་ དེ་ལས་ལོ་འདབ་མ་ཚུ་ཡང་ ཟ་བཏུབ་པས་
