Scène 2.VIII.,د دوهمې نيمې ډګر.
"  On y est plus à l'aise. . .et de moins haute mine,",موږ په دې کې ډیر راحته یو. . . او د ټیټ قد،
"  Car le front n'ayant pas de maintien ni de loi,",ځکه چې د مخ په وړاندې د قانون او قانون نشته.
"  S'abandonne à pencher dans tous les sens. Mais moi,",په هر اړخ کې د ځنګل کولو هڅه کوي.
"  La Haine, chaque jour, me tuyaute et m'apprête",د نفرت هره ورځ زه په ټوټه او ټوټه کې یم
  La fraise dont l'empois force à lever la tête;,د سټرایز د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د زحمي د
  Chaque ennemi de plus est un nouveau godron,هر بل دښمن نوې غنچه ده
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",هغه چې زما په غم کې ډېر دردمن او ډېر غمګین دی.
"  Car, pareille en tous points à la fraise espagnole,",ځکه چې په هر ډول د هسپانوي فرېس په څېر،
"  La Haine est un carcan, mais c'est une auréole !",د نفرت د څارویو په څېر دی، خو دا د نورېول په څېر دی!
"LE BRET (après un silence, passant son bras sous le sien):",د پښتو (د خاموشۍ وروسته، د خپل لاس لاندې د خپل تېرېدو):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",د غرور او تلپاتې او لوړې کچې سره د ځان سره د ښکلا کولو هڅه وکړئ.
  Dis-moi tout simplement qu'elle ne t'aime pas !,یوازې ماته ووایاست چې هغه له تاسو سره مینه نه لري!
CYRANO (vivement):,CYRANO (په ژوند کې):
  Tais-toi !,خفه اوسئ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(د یو څه وخت وروسته، کریسټین ورننوت، د ځوانانو سره ګډ شو؛ دا
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,د هغه سره خبرې نه کوي، په پای کې يې په يو تن کې ناست
