Scène 2.VIII.,Ade' 2.VIII.
"  Avoir son encensoir, toujours, dans quelque barbe ?",Sibawa iyaro pabbura-pabburu'na engkai ri laleng séddié jangang-jangang?
"  Non, merci ! Se pousser de giron en giron,","Dé', sukkuru'ki! Maccelle'i sibawa mallebbangngi."
"  Devenir un petit grand homme dans un rond,",Maéloi mancaji séddi tau battowa iya baiccu'é ri laleng séuwaé lingkung.
"  Et naviguer, avec des madrigaux pour rames,",sibawa sompe'i kappala'é sibawa kappala' iya makkinnyarangngé.
  Et dans ses voiles des soupirs de vieilles dames ?,Sibawa ri laleng sining lopi iya nabbèrèyangngèro engka sining makkunrai macowaè?
"  Non, merci ! Chez le bon éditeur de Sercy","De'na, mattarima kasi."
"  Faire éditer ses vers en payant ? Non, merci !",Maelo'ga ripallebbangngi werekkada'na sibawa makkamaja?
  S'aller faire nommer pape par les conciles,Maéloi riyangga' mancaji Paus ri laleng addeppungenna umma'na Allataala
  Que dans des cabarets tiennent des imbéciles ?,Nasaba' punna nia' tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'jari tau tenaya na'na na'jari tau tenaya na'na tenaya na'na na'na na'na na'na'na
"  Non, merci ! Travailler à se construire un nom","De'na, mattarima kasi! majjama untu' mébbu aseng"
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Ri laleng séuwaé sadda, na tenniya ri laleng iya laingngé?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Makessinni! Naullèi makkita pabbellèngeng ri laleng sining onrongngè bawang?
"  Être terrorisé par de vagues gazettes,","Ripakatunai ri laleng karéba-karéba iya malluwa'-luwa'é,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Sibawa matteru-terui makkeda, ""Oh, rékko mémeng iyya'é"
  Dans les petits papiers du Mercure François ?. . .,Ri laleng karung-karung siare ri Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","De'na, sukkuru'ki! Makka, mappètau, mappèsau,"
"  Aimer mieux faire une visite qu'un poème,",Lebbi kessingngi lao ri iyya engka assalengeng naiya ada-ada poésaé.
"  Rédiger des placets, se faire présenter ?","Mappakei pappakatajang, mappallebbangengngi aléna?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","De'na, mattarima kasi! De'na, mattarima kasi! De'na, mattarima kasi!"
"  Rêver, rire, passer, être seul, être libre,","Mimpi, maca, lalo, alé-alé, maradéka',"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Rékko mébbui matammu makkita sibawa saddaé maronta,"
"  Mettre, quand il vous plaît, son feutre de travers,","Rékko iyaro gau'é kajajiyangngi lao ri iko, sitinajako makkuraga méwaiwi alému sibawa sisullé situmaningi."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Untu' iyatoé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu' iyaé, untu'"
"  Travailler sans souci de gloire ou de fortune,",Aja' mupaké pattentui makkedaé iko ritu tau iya kaminang makessingngé.
"  A tel voyage, auquel on pense, dans la lune !","Ri laleng laleng lalengngè lao ri ulengngè, engka tau makkita makkuwaèro."
"  N'écrire jamais rien qui de soi ne sortît,",Aja' naengka muwakkita séuwa iya dé'é nawedding napolé ri aléna.
"  Et modeste d'ailleurs, se dire: mon petit,","Sibawa tau iya pakariyawaéngngi aléna, makkedai, ""Ana'ku,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Rékko iyaro tauwé natarimai bungaé, buwa-buwaé, iyaré'ga takké-takkéna,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Rékko iyaro sining tauwé ri tammuroé, iyanaritu ri tammuroé, mupaddeppungengngi matu mennang."
"  Puis, s'il advient d'un peu triompher, par hasard,",Rékko iyaro wettué lolongengngi matu mennang séuwa asalang.
"  Ne pas être obligé d'en rien rendre à César,",Dé' naparelluka mpéréngngi agi-agi Kaisar.
"  Vis-à-vis de soi-même en garder le mérite,","Iyakiya untu' alé-Mu, harusu'i muwakkatenning ri laleng gau'-gau' iya makessingngé."
"  Bref, dédaignant d'être le lierre parasite,","Ri laleng maccuritaé, dé'na naparellu engka tau iya masekkangngé."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Namuni dé' taengka tamaté aju alekale'é iyaré'ga aju alekale'é,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Naullè'ga dé' naullèi makkèlo lettu ri onrong iya matanrè, iyakiya naullèi makkèlo-Ka lao ri onrong iya matanrè."
LE BRET:,PANGERAN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Naullèi engka banna sèddi, iyakiya dè' naullèi engka maneng."
  As-tu donc contracté la manie effroyable,"Jaji, magi mupéneddingiwi mania iya maseroé?"
"  De te faire toujours, partout, des ennemis ?",Sibawa tuli mébbui alému bali kégi-kégi?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Nasaba' naassengko' angkanaya punna a'jari sari'battangku,"
"  Et rire à ces amis dont vous avez des foules,",Sibawa ririnyakangngi sining sellaomu iya naéwaé sipammasé-masé.
  D'une bouche empruntée au derrière des poules !,Na iyaro bawana mallebbangngi ri munrinna manu'-manu'é!
"  J'aime raréfier sur mes pas les saluts,",Séddi-séddinna pappojiyang iya uwéngkalingaé ri yolo-Ku iyanaritu:
  Et m'écrie avec joie: un ennemi de plus !,"Sibawa gorai sibawa marennu, ""Séddié balinna laing!"
LE BRET:,PANGERAN:
  Quelle aberration !,Apa aberasi!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nah, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya, iya,"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Masennang senna'ka lao ri bolaé, nasaba masennakka rékko ribencika."
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, narekko muissekko pékkugi makkita lebbi makessing"
  Sous la pistolétade excitante des yeux !,Ribawai mata mata iya masitta'é!
"  Comme, sur les pourpoints, font d'amusantes taches","Pada-pada, ri lalenna pakkitangnge, mappapoléi onrong macai"
  Le fiel des envieux et la bave des lâches !,Iyaro sining tau iya mangémpurungngé sibawa iya mangémpurungngéngngi sining tau iya métaué!
"  --Vous, la molle amitié dont vous vous entourez,","--Ikona, sellao iya malemmaé sibawa mabessaé,"
"  Ressemble à ces grands cols d'Italie, ajourés","Padai sining bulu'e ri Italia, iya purae ritaroi"
"  Et flottants, dans lesquels votre cou s'effémine:","sibawa uwai iya mattengngangngé mattuju lao ri langié,"
"  On y est plus à l'aise. . .et de moins haute mine,","Mancaji lebbi mare'ki ri lalenna. . . . sibawa lebbi baiccu'i,"
"  Car le front n'ayant pas de maintien ni de loi,",Saba' dé'gaga hukkungngé sibawa peraturang-peraturang iya matane'é.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Naiyaro tauwé matteru-teru makkita lao ri sininna rupanna aléta.
"  La Haine, chaque jour, me tuyaute et m'apprête","Sininna essoé, Iyya nabenci sibawa nabenci"
  La fraise dont l'empois force à lever la tête;,Iyaro jangang-jangangngé makkarodda'i angkanna naoto'na ulunna.
  Chaque ennemi de plus est un nouveau godron,Tungke' balinna laingnge iyanaritu seddi babbing baru
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Naébburékka matu abala sibawa abala.
"  Car, pareille en tous points à la fraise espagnole,","Saba' pada-pada sininna rupanna bimbala' macellaé ri Spanyol,"
"  La Haine est un carcan, mais c'est une auréole !","Benci iyanaritu carcan, iyakiya iyaro iyanaritu auréola!"
"LE BRET (après un silence, passant son bras sous le sien):","Bugis: (Puranana mammekko, nataroi limanna ri yawana bawana.)"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Rékko matempoi tauwé sibawa matedde ati, iyakiya matedde atiwi,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Jaji, powadai bawang makkedaé dé' namaséiko!"
CYRANO (vivement):,CYRANO (makkinna):
  Tais-toi !,Tenniya!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Puranana siesso, muttama'ni Christian, naccowérini ana'-ana'na."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,dé'na mennang nabbicara sibawa aléna; angkanna aléna tudang alé-alé ri seddéna
