Scène 2.VIII.,Vaaiga 2.VIII.
  Exécuter des tours de souplesse dorsale ?. . .,Pe e mafai ona e faia ni taʻamilosaga e fetuutuunai ai lou tua? . . .
"  Non, merci. D'une main flatter la chèvre au cou","E le o se mea e tatau ona e faia, ae o le a e faia le mea e tatau ona e faia."
"  Cependant que, de l'autre, on arrose le chou,","Ae peitai, o le isi e faʻasusuina le kapeta,"
"  Et, donneur de séné par désir de rhubarbe,","Ma o lē e fa'atupuina le mana'o i le 'ie,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",E iai pea lona mea manogi i se tasi o ona 'ava?
"  Non, merci ! Se pousser de giron en giron,","E le o se mea e tatau ona e faia, e tatau ona e faia."
"  Devenir un petit grand homme dans un rond,","O le avea ma se tamaʻi tagata tele i se taamilosaga,"
"  Et naviguer, avec des madrigaux pour rames,","Ma folau i le vaa, ma le vaa o le a folau ai,"
  Et dans ses voiles des soupirs de vieilles dames ?,O le ā le mea e tupu i lona faavaa?
"  Non, merci ! Chez le bon éditeur de Sercy","E le o se mea e tatau ona e faia, e faafetai lava."
"  Faire éditer ses vers en payant ? Non, merci !",E te manaʻo e faasaʻo ana fuaiupu e ala i le totogiina?
  S'aller faire nommer pape par les conciles,Ia Faia o Ia ma le Faaipoipoga a le Faipule
  Que dans des cabarets tiennent des imbéciles ?,O le a le mea e fai i faleoloa o tagata valea?
"  Non, merci ! Travailler à se construire un nom",Ia galue e fausia se igoa
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",E lē o se mea e tasi e fai ai le isi?
  Merci ! Ne découvrir du talent qu'aux mazettes ?,E na o le aʻoaʻoina e tagata e iai taleni i le vaomatua?
"  Être terrorisé par de vagues gazettes,","O le fefe i nusipepa mataʻutia,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Ma fai atu pea, ""Oi, pe ana ou"
  Dans les petits papiers du Mercure François ?. . .,I Pepa Laiti a le Tusi Paia o le Mercurio Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","E tatau ona e mafaufau, fefe, ma le loto ma le mafaufau."
"  Aimer mieux faire une visite qu'un poème,","E sili atu le fiafia i se asiasiga nai lo o se solo,"
"  Rédiger des placets, se faire présenter ?","Pe e te manaʻo e tusi ni pepa tusitusia, e faailoa atu ai oe?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","E le, faafetai, faafetai, faafetai, faafetai, ae..."
"  Rêver, rire, passer, être seul, être libre,","O le miti, o le talie, o le savali, o le nofofua, o le saʻolotoga,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ia iai se mata e vaai lelei, se leo e gatete,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ia tuu, pe a e finagalo i ai, lona lagona o le faaletonu,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Mo se ioe, mo se leai, tau, - pe faia se mea!"
"  Travailler sans souci de gloire ou de fortune,","Ia lē popole i le mamalu po o le tamaoaiga,"
"  A tel voyage, auquel on pense, dans la lune !",O se malaga e pei o le masina e te mafaufau i ai!
"  N'écrire jamais rien qui de soi ne sortît,","Aua le tusia se mea e le o sau mai ia te oe lava,"
"  Et modeste d'ailleurs, se dire: mon petit,","Ma le lotomaulalo, faapea ifo ia te ia lava, ""Laʻu tama,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","E mafai ona e faamalieina i fugalaau, fua, e oo lava i laʻau,"
  Si c'est dans ton jardin à toi que tu les cueilles !,E te maua i lou lava togalaau!
"  Puis, s'il advient d'un peu triompher, par hasard,","Ma afai e manumalo o ia i se mea itiiti,"
"  Ne pas être obligé d'en rien rendre à César,","'Aua ne'i 'ou avatu se mea i Kaisara,"
"  Vis-à-vis de soi-même en garder le mérite,","Ia tausia le agavaa o le tagata lava ia,"
"  Bref, dédaignant d'être le lierre parasite,","I se faapuupuuga, e ui lava o le parasitic lierre,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,",E ui lava e lē o se laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau o le laau.
"  Ne pas monter bien haut, peut-être, mais tout seul !","Atonu e lē oʻo i le maualuga, ae e na o oe lava!"
LE BRET:,O LE TALA:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","E ui lava e na o ia, ae e lē o ia o se tagata e tetee atu i tagata uma."
  As-tu donc contracté la manie effroyable,O lea ua e maua ai le mania mataʻutia
"  De te faire toujours, partout, des ennemis ?",E lē mafai ona e faia ni fili i mea uma?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","O le mea lea, ua ou vaai atu i le faia o ni uō,"
"  Et rire à ces amis dont vous avez des foules,","Ma talie i au uo e tele au uo,"
  D'une bouche empruntée au derrière des poules !,O se gutu e alu i tua o moa!
"  J'aime raréfier sur mes pas les saluts,","Ou te fiafia e faafeiloaʻi atu i oʻu vae,"
  Et m'écrie avec joie: un ennemi de plus !,"Ma ia alaga atu i le olioli: ""O le isi fili!"""
LE BRET:,O LE TALA:
  Quelle aberration !,O se mea e lē talafeagai!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ioe, o laʻu lava mea leaga."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ou te fiafia e feoaʻi, ou te fiafia foʻi e ita mai tagata iā te aʻu."
"  Mon cher, si tu savais comme l'on marche mieux","Lo'u pele, pe ana e iloa pe faapefea ona savali"
  Sous la pistolétade excitante des yeux !,I lalo o le mataʻina o le mataʻina o le mataʻina o le mataʻina o le mataʻina o mataʻina!
"  Comme, sur les pourpoints, font d'amusantes taches",E pei o le faia o ni mea malie i luga o le faasino
  Le fiel des envieux et la bave des lâches !,O le malaia o ē e lotoleaga ma le malaia o ē e fefefe!
"  --Vous, la molle amitié dont vous vous entourez,","O oe, o le uo mamae e te siʻomia,"
"  Ressemble à ces grands cols d'Italie, ajourés","E foliga mai o nei mea tetele o Italia, ua tolopoina"
"  Et flottants, dans lesquels votre cou s'effémine:","Ma le a felelei i ai lou ua,"
"  On y est plus à l'aise. . .et de moins haute mine,",E sili atu ona lelei le lagona o le tagata i ai.
"  Car le front n'ayant pas de maintien ni de loi,",Auā e leai se tulafono po o se tulafono e fa'aaloalo ai le tagata.
"  S'abandonne à pencher dans tous les sens. Mais moi,",E lē o se mea e sili ona lelei ona e faia.
"  La Haine, chaque jour, me tuyaute et m'apprête","O le ʻinoʻino, o aso uma lava, e faʻaumatia ai aʻu ma faʻaumatia ai aʻu"
  La fraise dont l'empois force à lever la tête;,O le 'ele'ele e fa'amalosi e lona 'ele'ele e si'itia lona ulu;
  Chaque ennemi de plus est un nouveau godron,O le fili fou e toe avea ma se isi fili
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","O lē na faaopoopo mai le malaia iā te aʻu, ma le faanoanoa tele iā te aʻu."
"  Car, pareille en tous points à la fraise espagnole,","E pei lava o le faʻasusuga Sipaniolo i mea uma,"
"  La Haine est un carcan, mais c'est une auréole !","O le ʻinoʻino o se mea e pei o se mea e faʻaumatia ai le tino, ae o se mea e faʻaumatia ai le tino!"
"LE BRET (après un silence, passant son bras sous le sien):","O LE ALO (Ina ua mavae le filemu, le pasiina o lona lima i lalo o lona):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Ia e faamaualuluga ma faamaaa, ae ia e faamaulalo"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Ia taʻu mai e leʻi alofa o ia iā te oe!
CYRANO (vivement):,CYRANO (o loo ola):
  Tais-toi !,Ia e lē tautala!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Mai le taimi nei, na ulufale Christian, sa fefiloi ma le fanau laiti;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,e leʻi tautala atu ia te ia; na iu lava ina nofo o ia i se tasi
