Scène 2.VIII.,မြင်ကွင်း ၂-၈။
  Exécuter des tours de souplesse dorsale ?. . .,ကျောရိုးကို ပြောင်းနိုင်အောင် လုပ်ပေးလား။ . . .
"  Non, merci. D'une main flatter la chèvre au cou",ကျေးဇူးတင်ပါတယ် ဆိတ်ကို လည်ပင်းမှာ လက်တစ်ဖက်နဲ့ လှမ်းပေးပါ။
"  Cependant que, de l'autre, on arrose le chou,",ဒါပေမဲ့ အခြားတစ်ဖက်က ကော်ဖီကို ရေပေးရင်
"  Et, donneur de séné par désir de rhubarbe,",ဆံပင်ကို ဆူညံစေတဲ့ ဆံပင်ကို
"  Avoir son encensoir, toujours, dans quelque barbe ?",သူ့မီးရှို့စက်ကို အမြဲတမ်း သူ့ဝက်ဝံတစ်ဝက်မှာ ထားနေလား။
"  Non, merci ! Se pousser de giron en giron,",ကျေးဇူးတင်ပါတယ်။ တစ်ချက်ပြီးတစ်ချက် တိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုးတိုး
"  Devenir un petit grand homme dans un rond,",တစ်လှည့်မှာ လူကြီးလေးဖြစ်လာဖို့
"  Et naviguer, avec des madrigaux pour rames,",လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေစီးဖို့ လှေ
  Et dans ses voiles des soupirs de vieilles dames ?,သူ့အခင်းအကျင်းထဲမှာလည်း အဖိုးအိုတွေရဲ့ အော်ဟစ်သံတွေ ရှိလား။
"  Non, merci ! Chez le bon éditeur de Sercy",ကျေးဇူးတင်ပါတယ်။ Sercy ရဲ့ စာတည်းနဲ့ပါ။
"  Faire éditer ses vers en payant ? Non, merci !",သူ့စာသားတွေကို ငွေပေးပြီး ပြင်ပေးရမလား?
  S'aller faire nommer pape par les conciles,ပါမောက္ခအဖြစ် အတိုင်ပင်ခံပုဂ္ဂိုလ်အဖြစ် ရွေးချယ်ခံရဖို့
  Que dans des cabarets tiennent des imbéciles ?,အခန်းတွေမှာ မိုက်မဲတွေရှိတာလား။
"  Non, merci ! Travailler à se construire un nom",ကျေးဇူးတင်ပါတယ်။ နာမည်တစ်ခု တည်ဆောက်ဖို့ ကြိုးစားနေတာပါ။
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,",တစ်သံနဲ့ အခြားသံတွေ မလုပ်ဘဲနဲ့လား။
  Merci ! Ne découvrir du talent qu'aux mazettes ?,ကျေးဇူးတင်ပါတယ်။ တေးသွားတွေထဲမှာပဲ ပါရမီကို တွေ့ရှိနိုင်တာလား။
"  Être terrorisé par de vagues gazettes,",သတင်းစာတွေကြောင့် ကြောက်ရွံ့နေရတာပေါ့။
"  Et se dire sans cesse: Oh, pourvu que je sois","ကိုယ့်ကိုယ်ကို အမြဲပြောတာက ""အိုး၊ ငါဖြစ်ချင်ရင်"
  Dans les petits papiers du Mercure François ?. . .,Mercury Francis ရဲ့ စာရွက်စာတမ်းလေးတွေထဲမှာလား။
"  Non, merci ! Calculer, avoir peur, être blême,",မလုပ်ပါနဲ့၊ ကျေးဇူးတင်ပါတယ်။ တွက်ချက်ခြင်း၊ ကြောက်ခြင်း၊ စိတ်မကောင်းခြင်း
"  Aimer mieux faire une visite qu'un poème,",ကဗျာထက် ခရီးသွားတာ ပိုကြိုက်တယ်။
"  Rédiger des placets, se faire présenter ?",စာရွက်တွေရေး၊ ကိုယ်ကိုကိုယ် မိတ်ဆက်လား။
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ် ကျေးဇူးတင်ပါတယ်
"  Rêver, rire, passer, être seul, être libre,",အိပ်မက်မက်၊ ရယ်၊ ဖြတ်သန်း၊ တစ်ယောက်တည်း၊ လွတ်လပ်ခြင်း
"  Avoir l'oeil qui regarde bien, la voix qui vibre,",မျက်လုံးက ကောင်းကောင်းမြင်၊ အသံက တုန်ခါ၊
"  Mettre, quand il vous plaît, son feutre de travers,",ကိုယ်ကြိုက်တဲ့ အချိန်မှာ သူ့အသိစိတ်ကို အမှားတစ်ခုအဖြစ် ထားလိုက်ပါ
"  Pour un oui, pour un non, se battre,--ou faire un vers !",ဟုတ်တယ်၊ မဟုတ်ဘူး၊ တိုက်တယ်၊ ဒါမှမဟုတ် ကပ်ကောင်လုပ်တယ်။
"  Travailler sans souci de gloire ou de fortune,",ဂုဏ်သတင်း၊ ပိုင်ဆိုင်မှုအတွက် မစိုးရိမ်ဘဲ အလုပ်လုပ်ပါ။
"  A tel voyage, auquel on pense, dans la lune !",လဆီ သွားဖို့ စိတ်ကူးလို့ရတဲ့ ခရီးတစ်ခုပေါ့။
"  N'écrire jamais rien qui de soi ne sortît,",ကိုယ့်ဘာသာ မထွက်တဲ့ အရာကို ဘယ်တော့မှ မရေးပါနဲ့။
"  Et modeste d'ailleurs, se dire: mon petit,","ပြီးတော့ ကိုယ်က ""ငါ့ကလေး၊"
"  Soit satisfait des fleurs, des fruits, même des feuilles,",ပန်းတွေ၊ အသီးတွေ၊ အရွက်တွေတောင် ဝေပြီး
  Si c'est dans ton jardin à toi que tu les cueilles !,ဒါတွေကို သင့်ဥယျာဉ်ထဲမှာ ကောက်ယူရင်
"  Puis, s'il advient d'un peu triompher, par hasard,",နောက်ပြီး နည်းနည်းလေး အောင်မြင်ရင်
"  Ne pas être obligé d'en rien rendre à César,",ကဲသာဘုရင်အား ပေးအပ်စရာမလို။
"  Vis-à-vis de soi-même en garder le mérite,",ကိုယ့်ကိုယ်ကို ရည်ရွယ်ပြီး ဂုဏ်သိက္ခာကို ထိန်းထားဖို့ပါ။
"  Bref, dédaignant d'être le lierre parasite,",ဒီတော့ ကျားကောင်ဖြစ်တာ မုန်းတာကြောင့်
"  Lors même qu'on n'est pas le chêne ou le tilleul,",ကျွန်မတို့ဟာ ခရမ်းချဉ်ပင် ဒါမှမဟုတ် သစ်ပင်မဖြစ်ပေမဲ့
"  Ne pas monter bien haut, peut-être, mais tout seul !",မမြင့်မားလောက်တောင် မတက်နိုင်ပေမဲ့ တစ်ယောက်တည်းပါ။
LE BRET:,အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",တစ်ယောက်တည်းဖြစ်ဖြစ်ပေမဲ့ လူတိုင်းကို မတိုက်နိုင်ဘူး။
  As-tu donc contracté la manie effroyable,ဒီတော့ မင်းမှာ ကြောက်စရာ စိတ်လန့်မှုရှိလား။
"  De te faire toujours, partout, des ennemis ?",ကိုယ်ကို အမြဲတမ်း ရန်သူတွေ လုပ်ဖို့လား။
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,",ရှင်တို့ဟာ မိတ်ဆွေတွေ ဖြစ်လာတာကို မြင်ရလို့
"  Et rire à ces amis dont vous avez des foules,",လူအုပ်တွေရှိနေတဲ့ မိတ်ဆွေတွေကို ရယ်မောရင်း
  D'une bouche empruntée au derrière des poules !,ကျားတွေနောက်မှာ ခွေးတစ်ကောင်ရဲ့ ပါးစပ်က
"  J'aime raréfier sur mes pas les saluts,",ကျွန်မ ခြေထောက်တွေပေါ်မှာ မင်္ဂလာစကားတွေ ရှားပါးစွာ ပြောချင်တယ်။
  Et m'écrie avec joie: un ennemi de plus !,ငါ့အား ဝမ်းမြောက်စွာ ဟစ်ဆိုပါဦး။ ရန်သူတယောက် ထပ်လာပါဦး။
LE BRET:,အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊ အိုး၊
  Quelle aberration !,ဘယ်လို ထူးဆန်းမှုလဲ။
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.",ဟုတ်တယ်၊ ဒါက ကျွန်မ အကျင့်ပါ။
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,အပြင်ထွက်ရတာ ပျော်စရာပါ။ မုန်းတာကို ကြိုက်တယ်။
"  Mon cher, si tu savais comme l'on marche mieux",ချစ်သူ၊ လမ်းလျှောက်နည်းကို ပိုကောင်းသိရင်
  Sous la pistolétade excitante des yeux !,မျက်လုံးတွေ လှုပ်ခါနေတဲ့ လက်နက်ကိုင်ပုံစံအောက်မှာပေါ့။
"  Comme, sur les pourpoints, font d'amusantes taches",အကြောင်းပြချက်တွေမှာ ပျော်စရာ အညစ်အကြေးတွေ လုပ်သလို
  Le fiel des envieux et la bave des lâches !,အန်မာတဲ့လူတွေရဲ့ အူမနဲ့ ကြောက်တဲ့လူတွေရဲ့ အူမ!
"  --Vous, la molle amitié dont vous vous entourez,",သင်ဟာ သင်နဲ့ ဝန်းရံနေတဲ့ နူးညံ့တဲ့ မိတ်ဆွေပါ။
"  Ressemble à ces grands cols d'Italie, ajourés",အီတလီက ဒီကြီးမားတဲ့ ကောက်ကြောင်းတွေလိုမျိုး၊ အချိန်ဆွဲထားတာပါ။
"  Et flottants, dans lesquels votre cou s'effémine:",သင့်လည်ပင်းက လင်းသွားတဲ့ ရေကူးစက်တဲ့ ရေစီးကြောင်းတွေ၊
"  On y est plus à l'aise. . .et de moins haute mine,",ဒါက ပိုပြီး အဆင်ပြေစေပြီး ပိုမြင့်တဲ့ အချိုးအစားလည်း ပိုနည်းပါတယ်။
"  Car le front n'ayant pas de maintien ni de loi,",အကြောင်းက နဖူးမှာ စည်းကမ်းမရှိဘူး၊ ဥပဒေမရှိဘူး။
"  S'abandonne à pencher dans tous les sens. Mais moi,",ဘယ်ဘက်ကိုမဆို လှည့်စားဖို့ စွန့်လွှတ်တယ်။ ဒါပေမဲ့ ကျွန်မကတော့
"  La Haine, chaque jour, me tuyaute et m'apprête",အမုန်းက နေ့တိုင်း ကျွန်မကို ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်ကို ကျုပ်နဲ့အတူ ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျုပ်တို့ကို ကျ
  La fraise dont l'empois force à lever la tête;,ဆံပင်တစ်ပင်ရဲ့ အဆိပ်က ခေါင်းကို မြှောက်ဖို့ တွန်းပေးတယ်။
  Chaque ennemi de plus est un nouveau godron,နောက်ထပ် ရန်သူတိုင်းဟာ နွားသစ်တစ်ကောင်ပါ။
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ငါ့ကို ညှဉ်းဆဲခြင်း ၊ အရှက်ကွဲခြင်း ၊
"  Car, pareille en tous points à la fraise espagnole,",စပိန်စပါးလိုပဲ အရာတိုင်းမှာ
"  La Haine est un carcan, mais c'est une auréole !",အမုန်းဆိုတာ အသားအရေတစ်ခုပဲ၊ ဒါပေမဲ့ ဒါက အော်ရီယိုလာတစ်ခုပဲလေ။
"LE BRET (après un silence, passant son bras sous le sien):",BRET (အသံမပြတ်ပြီးနောက် သူ့လက်အောက်မှာလက်တစ်လက်ကို ဖြတ်သန်းရင်း):
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas",မာနကြီးသော သူကို မြင့်မြတ်စေလော့။ နှိမ့်ချသော သူကို နှိမ့်ချလော့။
  Dis-moi tout simplement qu'elle ne t'aime pas !,သူမက သင့်ကို မကြိုက်ဘူးဆိုတာ ပြောရုံပါပဲ။
CYRANO (vivement):,CYRANO (အသက်ရှင်နေ):
  Tais-toi !,တိတ်ဆိတ်နေပါဦး။
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci",(တဒင်္ဂလောက်ကြာပြီး Christian ဝင်လာပြီး ကောင်လေးတွေနဲ့ ရောနှောလာတယ်၊
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,သူနဲ့ စကားမပြောတော့ သူတစ်ယောက်တည်း ထိုင်ပြီး
