Scène 2.VIII.,Scenne 2.VIII.
"  Non, merci ! Se pousser de giron en giron,",A yeke nzoni e sara kua na lo.
"  Devenir un petit grand homme dans un rond,","Ti ga mbeni kete zo so ayeke kota mingi na yâ ti mbeni kete kamba,"
"  Et naviguer, avec des madrigaux pour rames,","Na ala yeke tambela na yâ ti ngu-ingo ti ngu-ingo ti ala,"
  Et dans ses voiles des soupirs de vieilles dames ?,"Na yâ ti a-veil ti lo, a yeke wara ti mbakoro-wali so ayeke toto?"
"  Non, merci ! Chez le bon éditeur de Sercy",A yeke na nzoni éditeur ti Sercy
"  Faire éditer ses vers en payant ? Non, merci !",A yeke nzoni ala futa ti tene a sara tënë ti lo na azo?
  S'aller faire nommer pape par les conciles,Ti gue ti tene a iri lo pape na yâ ti akota bungbi
  Que dans des cabarets tiennent des imbéciles ?,So azo ti buba ayeke na yâ ti a-cabinet?
"  Non, merci ! Travailler à se construire un nom",Ti sara si mbeni iri ti mo aga nzoni
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Na mbeni sonneau, na place ti ambeni?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Mo yeke bâ gi na yâ ti akete kete kete kete kete kete ye so ayeke na yâ ti akeke ti kobe?
"  Être terrorisé par de vagues gazettes,","Ti tene azo asara mbeto ti mbi na lege ti ambeti-sango so ayeke ga na li ti ala,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Na ala yeke tene lakue: 'O, tongana mbi yeke"
  Dans les petits papiers du Mercure François ?. . .,Na yâ ti akete mbeti ti François Mercure? . . .
"  Non, merci ! Calculer, avoir peur, être blême,",Me mbi yeke sara kua na ni ape.
"  Aimer mieux faire une visite qu'un poème,",Ti sara vizite ayeke nzoni ahon ti sara mbeni poème
"  Rédiger des placets, se faire présenter ?","Ti sara tënë na ndo ti ambeni tënë, ti sara tënë na azo?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,",Me... mbi yeke he bia ti Nzapa.
"  Rêver, rire, passer, être seul, être libre,","Ti lango, ti he ngia, ti hon, ti duti gi gi gi mo oko, ti duti na liberté,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ti tene lê ti mo abâ nzoni, go ti mo agbian,"
"  Mettre, quand il vous plaît, son feutre de travers,","Tongana mo ye, mo yeke sara ye alingbi na ni."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Ti tene ""en"" wala ""ni"" ayeke sara si zo ni akpe mbeto ti lo."
"  Travailler sans souci de gloire ou de fortune,",Ti sara kua na mbeto pëpe ti wara gloire wala mosoro
"  A tel voyage, auquel on pense, dans la lune !",Na mbeni voyage so zo ayeke pensé na ni na yâ ti nze!
"  N'écrire jamais rien qui de soi ne sortît,","Tongana mo sara kua na mbeni ye so ayeke ga na mo oko pëpe, mo yeke sara ni pëpe."
"  Et modeste d'ailleurs, se dire: mon petit,","Me ti tene so lo yeke na tâ be-ti-molenge, lo tene: 'Koli ti mbi,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","A lingbi ti wara ngia na yâ ti akeke, na yâ ti alê ti keke, même na yâ ti akeke ti keke ni."
  Si c'est dans ton jardin à toi que tu les cueilles !,"Tongana mo yeke wara ni na yaka ti mo, mo yeke wara ni."
"  Puis, s'il advient d'un peu triompher, par hasard,","Na pekoni, tongana lo wara mbeni kete ngangu,"
"  Ne pas être obligé d'en rien rendre à César,","Tongaso, a lingbi mbi kiri ye na Sézare pepe,"
"  Vis-à-vis de soi-même en garder le mérite,","Ti bata nzoni-kue ti lo na mbage ti lo wani,"
"  Bref, dédaignant d'être le lierre parasite,","Na nda ni, tongana mbi yeke mbeni zo so ayeke na ngangu ti sara ye tongana ti so, mbi yeke na ngia mingi."
"  Lors même qu'on n'est pas le chêne ou le tilleul,",Même tongana e yeke keke ti keke ti keke ti oak wala ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti keke ti
"  Ne pas monter bien haut, peut-être, mais tout seul !","Peut-être mo yeke gue na nduzu mingi ape, me mo yeke gue gi mo oko."
LE BRET:,Kete tënë ni:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",Me a yeke pëpe na tere ti azo kue.
  As-tu donc contracté la manie effroyable,"Tongaso, mo wara kota nzara ti bê ti zo so"
"  De te faire toujours, partout, des ennemis ?",Ti sara si mo yeke wara awato lakue na ndo kue?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Na ngoi so ala yeke sara kamarade,"
"  Et rire à ces amis dont vous avez des foules,",Na mo yeke he azo so mo yeke na ala na yâ ti gbâ ti azo.
  D'une bouche empruntée au derrière des poules !,Lo yeke na yanga so a mû ni na peko ti akobe!
"  J'aime raréfier sur mes pas les saluts,",Mbi ye ti tene azo abara mbi mingi na ngoi so mbi yeke tambela.
  Et m'écrie avec joie: un ennemi de plus !,"Na ala dekongo na mbi na ngia: ""Mbeni wato ni akiri!"""
LE BRET:,Kete tënë ni:
  Quelle aberration !,So ayeke mbeni ye ti kirikiri.
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Biani, a yeke sioni ye ti mbi."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Mbi ye ti tene azo ake mbi.
"  Mon cher, si tu savais comme l'on marche mieux",Mo bâ so tongana mo hinga lege ti tambela nzoni mingi
  Sous la pistolétade excitante des yeux !,Na gbe ti pendere ti lê ti zo so ayeke na ngangu mingi.
"  Comme, sur les pourpoints, font d'amusantes taches",Tongana nyen la ti sara aye ti ngia na ndo ti aye so ayeke na yâ ti mbeti ni?
  Le fiel des envieux et la bave des lâches !,"So ayeke sioni tënë ti zo so ayeke na nzara ti ye ti lo, na so ayeke sioni tënë ti zo so ayeke sara mbeto pëpe."
"  --Vous, la molle amitié dont vous vous entourez,","-Mo, zo ti nzoni songo so mo yeke na ni,"
"  Ressemble à ces grands cols d'Italie, ajourés","A yeke tongana akota kamba ti Italie so, so a zia ni na peko"
"  Et flottants, dans lesquels votre cou s'effémine:","Na yâ ti ngu, ala yeke bâ ndo na ndo ti sese."
"  On y est plus à l'aise. . .et de moins haute mine,",E yeke duti nzoni na yâ ni.
"  Car le front n'ayant pas de maintien ni de loi,","Teti so yanga ti zo ayeke na lege ni pëpe nga na ndia ayeke dä pëpe,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Lo yeke zia lege ti sarango ye ti lo na alege kue.
"  La Haine, chaque jour, me tuyaute et m'apprête",Lengo ti mbi ayeke pusu mbi ti sara ye na ngangu lâ oko
  La fraise dont l'empois force à lever la tête;,"Na yâ ti angu so, a yeke wara mbeni moringa so ayeke na sioni mingi na li ti lo."
  Chaque ennemi de plus est un nouveau godron,Mbeni wato nde ayeke mbeni fini zo ti sioni
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Lo zia vundu na li ti mbi, lo zia vundu na li ti mbi."
"  Car, pareille en tous points à la fraise espagnole,","Teti na yâ ti aye kue, tongana ti so a yeke sara na afarize ti Espagne,"
"  La Haine est un carcan, mais c'est une auréole !","Kengo zo ayeke mbeni zo so ayeke na ngangu mingi, me lo yeke mbeni zo so ayeke na ngangu mingi."
"LE BRET (après un silence, passant son bras sous le sien):","KONGO (na peko ti kengo yanga, lo zia maboko ti lo na gbe ti lo):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Mo zia azo ti baba na li ti mo, mo zia ala na gbe ti mo,"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Mo tene na mbi so lo ye mo ape!
CYRANO (vivement):,CYRANO (so ayeke na fini):
  Tais-toi !,Mo kanga yanga ti mo!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Na mbeni ngoi, Christian ague na yâ ti bungbi ti ala, lo bungbi na ala; ala yeke sara ye na lege ti yingo."
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ala tene tënë na lo pëpe; na nda ni lo duti gi lo oko na mbeni
