Scène 2.VIII.,Tampilan 2.VIII.
"  Non, merci. D'une main flatter la chèvre au cou","Tidak, terima kasih. Dengan satu tangan memulihkan kambing di leher"
"  Cependant que, de l'autre, on arrose le chou,","Namun, dari yang lain, kita menuruni kabah,"
"  Et, donneur de séné par désir de rhubarbe,","Dan yang menghibur dengan nafsu untuk berlubang,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Apakah Anda selalu memiliki dupa di dalam jenggot Anda?
"  Non, merci ! Se pousser de giron en giron,","Tidak, terima kasih."
"  Devenir un petit grand homme dans un rond,","Menjadi seorang pria besar kecil dalam satu lingkaran,"
"  Et naviguer, avec des madrigaux pour rames,","Dan berlayar dengan kapal-kapal yang berkapal,"
  Et dans ses voiles des soupirs de vieilles dames ?,Dan di dalam layarnya ada air mata wanita tua?
"  Non, merci ! Chez le bon éditeur de Sercy","Tidak, terima kasih, di editor Sercy yang tepat."
"  Faire éditer ses vers en payant ? Non, merci !",Mengeditnya dengan membayar?
  S'aller faire nommer pape par les conciles,Menerima Nama Paus di Konsili
  Que dans des cabarets tiennent des imbéciles ?,Apa yang mereka katakan tentang orang bodoh yang berada di kamar mandi?
"  Non, merci ! Travailler à se construire un nom","Tidak, terima kasih, bekerja untuk membuat nama."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Di satu sonnet, bukan membuat sonnet lainnya?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,"Terima kasih, hanya menemukan bakat di kerumunan?"
"  Être terrorisé par de vagues gazettes,","Teror dengan berita yang meruncing,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Dan selalu berkata, ""Oh, jika aku"
  Dans les petits papiers du Mercure François ?. . .,Dalam kertas kecil dari Mercury Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Tidak, terima kasih. Menghitung, takut, bersemangat,"
"  Aimer mieux faire une visite qu'un poème,","Lebih suka mengunjungi dari sebuah puisi,"
"  Rédiger des placets, se faire présenter ?","Menulis poster, memperkenalkan diri?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Tidak, terima kasih, tidak, terima kasih, tidak, terima kasih, tapi..."
"  Rêver, rire, passer, être seul, être libre,","Mimpi, tertawa, lewat, sendirian, bebas,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Memiliki mata yang bisa melihat dengan baik, suara yang bisa bergetar,"
"  Mettre, quand il vous plaît, son feutre de travers,","Menempatkan, kapan pun Anda suka, perasaannya salah,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Untuk satu ya, untuk satu tidak, bertarung, atau membuat cacing!"
"  Travailler sans souci de gloire ou de fortune,","Berkerja tanpa mencari kemuliaan atau kekayaan,"
"  A tel voyage, auquel on pense, dans la lune !","Perjalanan seperti itu, yang kita pikirkan, ke bulan!"
"  N'écrire jamais rien qui de soi ne sortît,","Jangan pernah menulis sesuatu yang tidak datang dari diri sendiri,"
"  Et modeste d'ailleurs, se dire: mon petit,","Dan sederhana lagi, berkata, ""Anakku,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Apakah bunga, buah, bahkan daun,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Jika di kebunmu sendiri kau mengambilnya!
"  Puis, s'il advient d'un peu triompher, par hasard,","Kemudian jika ia berhasil sedikit,"
"  Ne pas être obligé d'en rien rendre à César,","""Janganlah kamu harus membayar apa pun kepada Kaisar."
"  Vis-à-vis de soi-même en garder le mérite,","Untuk mempertahankan diri sendiri,"
"  Bref, dédaignant d'être le lierre parasite,","Singkatnya, dengan membantah menjadi lierre parasit,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Bahkan jika kita bukan pohon ekor atau pohon jeruk nipis,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Mungkin tidak naik ke atas, tapi sendirian!"
LE BRET:,PEMBANGKAN:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Hanya saja, tapi tidak melawan semua orang."
  As-tu donc contracté la manie effroyable,Apakah kamu telah mendapatkan mani yang mengerikan?
"  De te faire toujours, partout, des ennemis ?",Untuk selalu membuatmu musuh di mana saja?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Karena melihat kalian berteman,"
"  Et rire à ces amis dont vous avez des foules,","Dan tertawa pada teman-teman yang banyak Anda miliki,"
  D'une bouche empruntée au derrière des poules !,Dengan mulut yang dipinjam dari belakang ayam!
"  J'aime raréfier sur mes pas les saluts,","Aku suka merayakan dengan meriah di kakiku,"
  Et m'écrie avec joie: un ennemi de plus !,"Dan berserulah dengan gembira kepadaku: ""Sesuatu lagi musuh!"""
LE BRET:,PEMBANGKAN:
  Quelle aberration !,Apa yang aneh!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Yah, ya, itu kekurangannya."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Aku suka pergi, aku suka kalau orang membenci aku."
"  Mon cher, si tu savais comme l'on marche mieux","Sayang, jika kau tahu cara berjalan lebih baik"
  Sous la pistolétade excitante des yeux !,Di bawah penampilannya yang menarik!
"  Comme, sur les pourpoints, font d'amusantes taches","Seperti, pada titik, membuat noda lucu"
  Le fiel des envieux et la bave des lâches !,"""Kejari orang yang cemburu dan kelelahan orang yang pengecut""."
"  --Vous, la molle amitié dont vous vous entourez,","Kau, persahabatan yang lembut yang ada di sekitarmu,"
"  Ressemble à ces grands cols d'Italie, ajourés","Seperti itu besar Italia, ditunda"
"  Et flottants, dans lesquels votre cou s'effémine:",Dan melayang di dalamnya lehermu terengah-engah.
"  On y est plus à l'aise. . .et de moins haute mine,","Kita lebih nyaman di sana. . . dan kurang tinggi,"
"  Car le front n'ayant pas de maintien ni de loi,","Karena di depan tidak ada aturan dan hukum,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Dia menyerah untuk membelok-elokkan diri ke manapun.
"  La Haine, chaque jour, me tuyaute et m'apprête","Benci, setiap hari, menyentak dan menyentakku"
  La fraise dont l'empois force à lever la tête;,Fraise yang racunnya memaksa kepalanya untuk mengangkat;
  Chaque ennemi de plus est un nouveau godron,Setiap musuh lagi adalah seekor godron baru.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Dia menambahkan kesengsaraan dan kehancuran kepadaku.
"  Car, pareille en tous points à la fraise espagnole,","Karena, seperti dalam segala hal dengan Spain strawberry,"
"  La Haine est un carcan, mais c'est une auréole !","Benci adalah keran, tapi itu adalah auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (setelah diam, melewati lengannya di bawahnya):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Buatlah orang sombong tinggi dan pahit, tetapi rendah hati"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Katakan saja dia tidak mencintaimu!
CYRANO (vivement):,CYRANO (hidup):
  Tais-toi !,Diamlah !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Selama beberapa saat, Christian masuk, berkerumun dengan para junior; mereka"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,tidak berbicara dengannya; akhirnya dia duduk sendirian di sebuah
