Scène 2.VIII.,दृश्य २.८.
"  Soit satisfait des fleurs, des fruits, même des feuilles,","फूल, फलफूल, पातहरू पनि"
  Si c'est dans ton jardin à toi que tu les cueilles !,यदि तपाईं आफ्नो बगैचामा तिनीहरूलाई उठाउनुहुन्छ भने!
"  Puis, s'il advient d'un peu triompher, par hasard,","अनि यदि उसले केही हदसम्म विजय प्राप्त गर्यो भने,"
"  Ne pas être obligé d'en rien rendre à César,","""त्यसैले कैसरलाई केही पनि तिर्नु पर्दैन ।"
"  Vis-à-vis de soi-même en garder le mérite,","आफ्नो लागि यसको गुणस्तर कायम राख्ने,"
"  Bref, dédaignant d'être le lierre parasite,","छोटकरीमा, म यो parasitic lierre हुन घृणा,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","जब हामी ऐन वा टिलिल होइनौं,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","सायद ऊचाइमा नआउन्, तर एक्लै!"
LE BRET:,म त एउटा मान्छे हुँ ।
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable",एक्लै भए पनि सबैसँग होइन ।
  As-tu donc contracté la manie effroyable,के तिमीले डरलाग्दो व्यथाको अनुभव गर्यौ?
"  De te faire toujours, partout, des ennemis ?",अनि हरेक ठाउँमा शत्रु बनाउनु?
CYRANO:,साइरोन:
"  A force de vous voir vous faire des amis,","तिमीहरूलाई मित्र बनाउन देखेर,"
"  Et rire à ces amis dont vous avez des foules,","र ती साथीहरूलाई हाँस्न, जससँग तपाईंसँग भीड छ,"
  D'une bouche empruntée au derrière des poules !,मुर्खको पछाडि उधारो भएको मुखबाट!
"  J'aime raréfier sur mes pas les saluts,","मेरो पाखुरामा नमस्कारहरू झर्ना मलाई मन पर्छ,"
  Et m'écrie avec joie: un ennemi de plus !,"अनि मलाई खुशीसाथ पुकार, ""एक शत्रु थपियो!"
LE BRET:,म त एउटा मान्छे हुँ ।
  Quelle aberration !,यो एकदमै अनौठो कुरा हो ।
CYRANO:,साइरोन:
"  Eh bien, oui, c'est mon vice.","हो, मेरो बानी नै हो ।"
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,मलाई घृणा गर्न मन पर्छ।
"  Mon cher, si tu savais comme l'on marche mieux","प्रिय, यदि तपाईं जान्नुभयो भने कसरी हामी राम्रो हिंड्छौं"
  Sous la pistolétade excitante des yeux !,आँखाको गन्धमा !
"  Comme, sur les pourpoints, font d'amusantes taches","जस्तै, सन्दर्भ मा, रमाइलो stains बनाउन"
  Le fiel des envieux et la bave des lâches !,ईर्ष्यालुहरूको डाह र डरलाग्दोहरूको डाह !
"  --Vous, la molle amitié dont vous vous entourez,","-तपाईं, तपाईं वरिपरि कोमल मित्रता,"
"  Ressemble à ces grands cols d'Italie, ajourés","यो इटाली को ठूलो necklaces जस्तै देखिन्छ, ढिलाइ"
"  Et flottants, dans lesquels votre cou s'effémine:",र तैरने पानीमा जसमा तिम्रो घाँटी फ्याँकिएको छ ।
"  On y est plus à l'aise. . .et de moins haute mine,","हामी त्यहाँ बढी सहज छौं। . . र कम उचाइको,"
"  Car le front n'ayant pas de maintien ni de loi,","किनभने, जबसम्म कानुन र व्यवस्था हुँदैन,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",उनी हरेक दिशामा झुकाव गर्न छोडिदिन्छन्।
"  La Haine, chaque jour, me tuyaute et m'apprête",घृणाले मलाई हरेक दिन चोर्छ र मलाई तयार पार्छ
  La fraise dont l'empois force à lever la tête;,"तर, जब म आफ्नो मुख उठाउँछु, म त्यो चिहानमा बस्छु।"
  Chaque ennemi de plus est un nouveau godron,हरेक शत्रु नयाँ गधा हो
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",जसले मलाई कष्ट र कष्टमा पनि थपिदिए ।
"  Car, pareille en tous points à la fraise espagnole,","किनकि, हरेक कुरामा स्पेनी स्ट्रैज जस्तै,"
"  La Haine est un carcan, mais c'est une auréole !","घृणा एउटा चरा हो, तर यो एक तारा हो!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (एक मौनता पछि, आफ्नो हात आफ्नो अन्तर्गत पारित):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","गर्व र कटुता उच्च बनाउनुहोस्, तर कम"
  Dis-moi tout simplement qu'elle ne t'aime pas !,मलाई भन कि उनी तिमीलाई प्रेम गर्दिनन्!
CYRANO (vivement):,CYRANO (जीवित):
  Tais-toi !,चुप लाग !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक क्षण पछि, क्रिश्चियन भित्र आए, किशोरहरूसँग मिल्नुभयो; यी"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,एक्लै बस्न एक्लै बस्न
