Scène 2.VIII.,2.8. jelenet.
"  Mais pour le principe, et pour l'exemple aussi,","De a alapelvért, és a példaért is,"
  Je trouve qu'il est bon d'exagérer ainsi.,"Azt hiszem, jó, ha így túlzásba sodorunk."
LE BRET:,A szar:
"  Si tu laissais un peu ton âme mousquetaire,","Ha egy kicsit hagynád a moszkité lelkedet,"
  La fortune et la gloire. . .,A gazdagság és a dicsőség. . . .
CYRANO:,CYRANO:
  Et que faudrait-il faire ?,És mit tegyünk?
"  Chercher un protecteur puissant, prendre un patron,","Egy erős védelmezőt keresni, egy főnököt választani,"
  Et comme un lierre obscur qui circonvient un tronc,"És mint egy sötét szál, ami körülveszi a törzsöt."
"  Et s'en fait un tuteur en lui léchant l'écorce,","És a nővédő a nővérét, és a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nővérét, a nő"
  Grimper par ruse au lieu de s'élever par force ?,- Nem. - Nem. - Nem. - Nem.
"  Non, merci. Dédier, comme tous il le font,","Nem, köszönöm, de a felajánlás, mint mindenki,"
  Des vers aux financiers ? se changer en bouffon,"A féregektől a pénzügyeig, a szarvassá válnak."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","A szánalmas reményben, hogy egy miniszter szájából,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Egy mosolyot hozni, ami nem szörnyű?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Nem, köszönöm, de minden nap egy csavaróval ebédelhetsz?"
  Avoir un ventre usé par la marche ? une peau,"Ha egy gyomor a járás után elhasználódik, ha egy bőr"
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Ki a leggyorsabb, a térd helyett, hogy piszkos legyen?"
  Exécuter des tours de souplesse dorsale ?. . .,A hátsó lángoldás-köröket? . . .
"  Non, merci. D'une main flatter la chèvre au cou",Egy kézzel csípsz a kecskét a nyakán
"  Cependant que, de l'autre, on arrose le chou,","De ha a másikból a káposztát öntjük,"
"  Et, donneur de séné par désir de rhubarbe,","És a szájját a szőrös vágya miatt adta,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Hogy a tüzet mindig a szakállyában tartsák?
"  Non, merci ! Se pousser de giron en giron,","Nem, köszönöm, hogy elterjedtél."
"  Devenir un petit grand homme dans un rond,","Egy kis nagy emberré válni egy körben,"
"  Et naviguer, avec des madrigaux pour rames,","És hajózni, a hajózó hajókkal,"
  Et dans ses voiles des soupirs de vieilles dames ?,És a hölgyek sírásai a sejtjeiben?
"  Non, merci ! Chez le bon éditeur de Sercy","Nem, köszönöm, a jó szerkesztőnél."
"  Faire éditer ses vers en payant ? Non, merci !",- Fizetés közben szerkeszteni a törvényeit?
  S'aller faire nommer pape par les conciles,A pápa kinevezésére a tanácsok
  Que dans des cabarets tiennent des imbéciles ?,Hogy a kabátokban a bolondok tartják?
"  Non, merci ! Travailler à se construire un nom","Nem, köszönöm, dolgozom a nevet építeni."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Egy hangon, ahelyett, hogy másokat csinálnánk?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,Csak a szálokban találod ki a tehetséget?
"  Être terrorisé par de vagues gazettes,","A hullámos újságoktól való félelmet,"
"  Et se dire sans cesse: Oh, pourvu que je sois","És mindig azt gondolom: ""Ó, ha én is vagyok"
  Dans les petits papiers du Mercure François ?. . .,A Francis Mercury kis papírjaiban? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Nem, köszönöm, számolj, félj, légy széd."
"  Aimer mieux faire une visite qu'un poème,","Jobb szeretni egy látogatást, mint egy verset."
"  Rédiger des placets, se faire présenter ?","- Készítek jegyzeteket, bemutatkoznak?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nem, köszönöm, köszönöm, köszönöm, de... énekel,"
"  Rêver, rire, passer, être seul, être libre,","Álmodni, nevetni, átmenni, egyedül lenni, szabad lenni,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","A szemnek jó látása, a hangnak a gyötrelme,"
"  Mettre, quand il vous plaît, son feutre de travers,","Ha úgy tetszik, a rosszul érzi magát,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Egy igenért, egy nemért, harcolni, vagy egy féreget csinálni!"
"  Travailler sans souci de gloire ou de fortune,","A munka nem a dicsőség és a vagyon miatt,"
"  A tel voyage, auquel on pense, dans la lune !","Egy olyan útra, amiről csak gondolunk, a holdra!"
"  N'écrire jamais rien qui de soi ne sortît,","Soha ne írj semmit, ami nem jön ki önmagadból,"
"  Et modeste d'ailleurs, se dire: mon petit,",És a szerény ember azt mondja magának:
"  Soit satisfait des fleurs, des fruits, même des feuilles,","A virágokkal, a gyümölcsökkel, még a levelekkel is elégedett."
  Si c'est dans ton jardin à toi que tu les cueilles !,Ha a kertedben szedsz ki őket!
"  Puis, s'il advient d'un peu triompher, par hasard,","És ha egy kis győzelemre jut,"
"  Ne pas être obligé d'en rien rendre à César,","Nem kell semmit fizetni a császárnak,"
"  Vis-à-vis de soi-même en garder le mérite,","A saját maga felé tartsa a méltóságát,"
"  Bref, dédaignant d'être le lierre parasite,","Egyáltalán nem tudom, hogy a paraszt lierre vagyok."
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Még akkor is, ha nem vagyunk tölgyek vagy szálok,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Nem lehet, hogy magasra menjek, de egyedül!"
LE BRET:,A szar:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Egyedül lehet, de nem mindenki ellen."
  As-tu donc contracté la manie effroyable,"Szóval, a félelmetes mania lett?"
"  De te faire toujours, partout, des ennemis ?",Hogy mindig ellenségeskedj?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Látva, hogy barátok vagytok,"
"  Et rire à ces amis dont vous avez des foules,","És nevessetek a sok barátotoknak, akiknek sok tömegük van."
  D'une bouche empruntée au derrière des poules !,"Egy száj, amit a csirke hátsója kölcsönzött!"
"  J'aime raréfier sur mes pas les saluts,","Szeretem a lábammal rászorítani a köszöntéseket,"
  Et m'écrie avec joie: un ennemi de plus !,És örömmel kiáltott: még egy ellenség!
LE BRET:,A szar:
  Quelle aberration !,Ez egy őrület!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nos, igen, ez a maga szokása."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"A kivonulás az én örömömem, és szeretem, ha valaki gyűlöl."
"  Mon cher, si tu savais comme l'on marche mieux","Drágám, ha tudnád, hogy menjek jobban"
  Sous la pistolétade excitante des yeux !,A lelkes szemei alatt!
"  Comme, sur les pourpoints, font d'amusantes taches","Mint a pontokon, hogy szórakoztató pácskák"
  Le fiel des envieux et la bave des lâches !,A félénkek szomorúsága és a gyávaak szomorúsága!
"  --Vous, la molle amitié dont vous vous entourez,","- Te, a lágy barátság, amit körülvesz,"
"  Ressemble à ces grands cols d'Italie, ajourés","Olyan, mint az olasz nagy csípő, elhalasztott"
"  Et flottants, dans lesquels votre cou s'effémine:","És a tengeren lebegő hajók, amelyekben a nyakod megfélemlít:"
"  On y est plus à l'aise. . .et de moins haute mine,","Kényelmesebb, és alacsonyabb a méretünk."
"  Car le front n'ayant pas de maintien ni de loi,",Mert a homloknak nincs rendszere és törvény.
"  S'abandonne à pencher dans tous les sens. Mais moi,",Minden irányba hajlik.
"  La Haine, chaque jour, me tuyaute et m'apprête",A gyűlölet minden nap csíp és készít engem
  La fraise dont l'empois force à lever la tête;,"A sörögből, amelynek a mérge felhúzza a fejét;"
  Chaque ennemi de plus est un nouveau godron,Minden újabb ellenség egy új szarvas.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",És még több gondot és gyötrelmet hozzám.
"  Car, pareille en tous points à la fraise espagnole,","Mert minden szempontból olyan, mint a spanyol frázis,"
"  La Haine est un carcan, mais c'est une auréole !","A gyűlölet egy szarvas, de egy szarvas!"
"LE BRET (après un silence, passant son bras sous le sien):","A BREET (a csend után, áthaladva a karja alatt a saját):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Felszállj a büszke és keserű, de gyengéd!"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Csak mondd meg, hogy nem szeret!"
CYRANO (vivement):,CYRANO (élve):
  Tais-toi !,- Fogd be!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Később Christian beugrott, belekeveredett a kisfiúkkal,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Nem beszéltek vele, végül egyedül ült egy"
