Scène 2.VIII.,Escenario 2.VIII.
  Des vers aux financiers ? se changer en bouffon,"De vermes a financiadores, transformarse en burros."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","Na humilde esperanza de ver, nos labios dun ministro,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Nacer unha sonrisa, por suposto, que non sexa sinistra?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?","Non, grazas. ¿Almozarse cada día con un craba?"
  Avoir un ventre usé par la marche ? une peau,Ter unha barriga que se esgotou ao camiñar?
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Quen máis rápido, no lugar das rodillas, se mete sucio?"
  Exécuter des tours de souplesse dorsale ?. . .,¿Facer turnos de flexibilidade de espalda? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Non, grazas, con unha man, flatear a cabra ao pescozo"
"  Cependant que, de l'autre, on arrose le chou,","Con todo, se, do outro, regamos o repolo,"
"  Et, donneur de séné par désir de rhubarbe,","e que dá a barbeira por desexo,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Tener o seu incenso sempre nunha barba?
"  Non, merci ! Se pousser de giron en giron,","Non, grazas."
"  Devenir un petit grand homme dans un rond,","Convertirse nun pequeno home grande nun círculo,"
"  Et naviguer, avec des madrigaux pour rames,","E navegar, con madrigues para remas,"
  Et dans ses voiles des soupirs de vieilles dames ?,"E nas súas velas, os sopros das vellas?"
"  Non, merci ! Chez le bon éditeur de Sercy","Non, grazas, ao editor de Sercy."
"  Faire éditer ses vers en payant ? Non, merci !",- Que se editase o seu versos a pagar?
  S'aller faire nommer pape par les conciles,Ir a ser nomeado papa polos concellos
  Que dans des cabarets tiennent des imbéciles ?,Que en cabaretos teñen idiotas?
"  Non, merci ! Travailler à se construire un nom",Traballar para facerse un nome
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Nun soneto, en vez de facer outros?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Só descubres talento nas mazás?
"  Être terrorisé par de vagues gazettes,","Terrorizarse por periódicos ondulados,"
"  Et se dire sans cesse: Oh, pourvu que je sois","E sempre di: ""Oh, se eu fose"
  Dans les petits papiers du Mercure François ?. . .,Nos pequenos documentos de Mercurio Francisco? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Calcular, ter medo, ser triste,"
"  Aimer mieux faire une visite qu'un poème,","Gustaríame máis unha visita que un poema,"
"  Rédiger des placets, se faire présenter ?","Escribir folletos, presentarse?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Non, grazas, grazas, pero... cantar,"
"  Rêver, rire, passer, être seul, être libre,","Sonar, rir, pasar, estar só, ser libre,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ter un ollo que ve ben, unha voz que vibra,"
"  Mettre, quand il vous plaît, son feutre de travers,","Colocar, cando quere, o seu sentimento de mal,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Para un si, para un non, loitar, - ou facer un verme!"
"  Travailler sans souci de gloire ou de fortune,","Traballar sen preocupación pola gloria ou a riqueza,"
"  A tel voyage, auquel on pense, dans la lune !",Un viaxe que se pensa na lúa!
"  N'écrire jamais rien qui de soi ne sortît,","Nunca escriba nada que non sai de ti mesmo,"
"  Et modeste d'ailleurs, se dire: mon petit,","E modesto, de feito, dicir: ""O meu pequeno,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Se se contenta con flores, froitos, mesmo follas,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Se é no teu xardín que as colles!
"  Puis, s'il advient d'un peu triompher, par hasard,","E se se lle sucede un pouco triunfar, por casualidade,"
"  Ne pas être obligé d'en rien rendre à César,","Non me vexa obrigado a devolver nada ao César,"
"  Vis-à-vis de soi-même en garder le mérite,","A ti mesmo, manter o mérito,"
"  Bref, dédaignant d'être le lierre parasite,","En definitiva, desprezando ser o lierre parasito,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Aínda que non somos o roble ou o tilleul,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Non subir moi alto, quizais, pero só!"
LE BRET:,O BREET:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Só, pero non contra todos."
  As-tu donc contracté la manie effroyable,"Entón, ti contraches a manía terrible"
"  De te faire toujours, partout, des ennemis ?",Que sempre te facas inimigos por todas partes?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","A veros facer amigos,"
"  Et rire à ces amis dont vous avez des foules,","E rir destes amigos que teñen multitudes,"
  D'une bouche empruntée au derrière des poules !,Unha boca emprestada tras os galos!
"  J'aime raréfier sur mes pas les saluts,","Gústame facer os saludos aos meus pasos,"
  Et m'écrie avec joie: un ennemi de plus !,E grita con alegría: outro inimigo!
LE BRET:,O BREET:
  Quelle aberration !,Que aberración!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Ben, si, é o meu vicio."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,O meu pracer é desprazarme.
"  Mon cher, si tu savais comme l'on marche mieux","Querido, se soubeses como camiñar mellor"
  Sous la pistolétade excitante des yeux !,- Baixo o estadio de pistolas.
"  Comme, sur les pourpoints, font d'amusantes taches","Como, nos puntos de referencia, facer manchas divertidas"
  Le fiel des envieux et la bave des lâches !,O viño dos envidiosos e a maldición dos covardes!
"  --Vous, la molle amitié dont vous vous entourez,","-Você, a suave amizade que te rodeas,"
"  Ressemble à ces grands cols d'Italie, ajourés","Parece estes grandes colas de Italia, adiados"
"  Et flottants, dans lesquels votre cou s'effémine:","E flutuantes, nos que o teu pescozo se espuma:"
"  On y est plus à l'aise. . .et de moins haute mine,","Estamos máis cómodos e menos altos,"
"  Car le front n'ayant pas de maintien ni de loi,","Porque a fronte non ten un sistema nin unha lei,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",E se entrega a inclinarse en todos os sentidos.
"  La Haine, chaque jour, me tuyaute et m'apprête","O odio, cada día, me pega e me prepara"
  La fraise dont l'empois force à lever la tête;,A fraise cuxo veneno forza a levantar a cabeza;
  Chaque ennemi de plus est un nouveau godron,Cada outro inimigo é un novo burro.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Que engade unha desgraza e unha raiva.
"  Car, pareille en tous points à la fraise espagnole,","Porque, como en todos os aspectos a fraise española,"
"  La Haine est un carcan, mais c'est une auréole !","O odio é un carcan, pero é un auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","O BRET (despois do silencio, pasando o seu brazo baixo o seu):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Faise o orgullo alto e amargo, pero baixo"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Díganme que non te ama!
CYRANO (vivement):,CYRANO (vivo):
  Tais-toi !,- ¡Calma!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Desde un momento, Christian entrou, se metía cos mozos; estes"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,non falar con el; finalmente sentou só para unha
