Scène 2.VIII.,Scene two-eighth.
  Le fiel des envieux et la bave des lâches !,The gall of the envious and the babble of the cowardly !
"  --Vous, la molle amitié dont vous vous entourez,","You, the soft friend you surround yourself with,"
"  Ressemble à ces grands cols d'Italie, ajourés","Looks like those big Italian collars, postponed"
"  Et flottants, dans lesquels votre cou s'effémine:","And floating, where your neck frightens:"
"  On y est plus à l'aise. . .et de moins haute mine,","We're more comfortable in it. . . . and lower in height,"
"  Car le front n'ayant pas de maintien ni de loi,","Because the forehead has no law and no law,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",He gives up all the ways.
"  La Haine, chaque jour, me tuyaute et m'apprête","Hate, every day, is blowing and blowing me"
  La fraise dont l'empois force à lever la tête;,The strawberry whose poison forces its head to rise;
  Chaque ennemi de plus est un nouveau godron,Every enemy is a new goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn goddamn
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Who addeth to me trouble, and addeth to me a lightning:"
"  Car, pareille en tous points à la fraise espagnole,","For, like the Spanish strawberry in every way,"
"  La Haine est un carcan, mais c'est une auréole !","Hate is a carcan, but it's an aurora!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (after silence, passing his arm under his):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Make the proud high and bitter, but low"
  Dis-moi tout simplement qu'elle ne t'aime pas !,Just tell me she doesn't love you!
CYRANO (vivement):,CYRANO (living):
  Tais-toi !,Shut up ! Shut up !
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(After a while, Christian came in, got involved with the youngsters; these"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"They didn't talk to him, so he sat down alone at a party."
