Scène 2.VIII.,2.VIII.
  La fraise dont l'empois force à lever la tête;,"Morangoz, zehirinden başını kaldırmaya zorlar."
  Chaque ennemi de plus est un nouveau godron,Her yeni düşman yeni bir güvercin.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Bana sıkıntı ve darlık ekler,"
"  Car, pareille en tous points à la fraise espagnole,","Çünkü her yönden İspanyol çilek gibi,"
"  La Haine est un carcan, mais c'est une auréole !","Nefret bir karkas, ama bu bir auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","BREET (sessizlikten sonra, kolunu kendi altından geçerek):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Büyüklük taslayanı yüksek ve acı yap, ama aşağılık olanı yap."
  Dis-moi tout simplement qu'elle ne t'aime pas !,Sadece onu sevmediğini söyle!
CYRANO (vivement):,CYRANO (yaşam):
  Tais-toi !,- Sessiz ol!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Bir süre sonra Christian içeri girdi, gençlerle karıştı;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Konuşmadılar, sonunda tek başına oturdu bir"
