Scène 2.VIII.,Сцена 2.VIII.
"  Être terrorisé par de vagues gazettes,","Да бъдеш изплашен от вълните вестници,"
"  Et se dire sans cesse: Oh, pourvu que je sois","И си казваме постоянно: ""О, ако съм"
  Dans les petits papiers du Mercure François ?. . .,В малките документи на Меркурий Франциск? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Не, благодаря, да се изчисляваш, да се страхуваш, да си блестящ,"
"  Aimer mieux faire une visite qu'un poème,","По-добре да обичаш да посещаваш, отколкото да пишеш поема."
"  Rédiger des placets, se faire présenter ?","Да си напишеш листовки, да се представяш?"
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Не, благодаря, не, благодаря, не, благодаря, но..."
"  Rêver, rire, passer, être seul, être libre,","Да мечтаеш, да се смееш, да минаваш, да бъдеш сам, да бъдеш свободен,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Да имаш ясно виждащо око, треперен глас,"
"  Mettre, quand il vous plaît, son feutre de travers,","Да си поставиш, когато искаш, чувството си за грешно,"
"  Pour un oui, pour un non, se battre,--ou faire un vers !",За да се бият или да не се бият!
"  Travailler sans souci de gloire ou de fortune,","Да работиш без да се стремиш към слава или богатство,"
"  A tel voyage, auquel on pense, dans la lune !","На пътуване до Луната, което си спомняме."
"  N'écrire jamais rien qui de soi ne sortît,","Никога не пишете нищо, което не идва от себе си,"
"  Et modeste d'ailleurs, se dire: mon petit,","И скромно, че си казва: ""Дице ми,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Може да се задоволи от цветя, плодове, дори листа,"
  Si c'est dans ton jardin à toi que tu les cueilles !,"Ако е в градината ти, ще ги събереш."
"  Puis, s'il advient d'un peu triompher, par hasard,","И ако се окаже, че ще спечели малко,"
"  Ne pas être obligé d'en rien rendre à César,",Не трябва да се налага да плащаме на кесаря.
"  Vis-à-vis de soi-même en garder le mérite,","За да запазиш заслугата си,"
"  Bref, dédaignant d'être le lierre parasite,","В крайна сметка, презрявайки да си паразитната лире,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Дори и да не сме дъбови дървета или дървесините,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Може би не е много високо, но е само!"
LE BRET:,"- Не, не, не."
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Само себе си, но не и срещу всички."
  As-tu donc contracté la manie effroyable,И ти ли си придобил ужасяващата мания?
"  De te faire toujours, partout, des ennemis ?",Да си правиш врагове навсякъде?
CYRANO:,"- Не, не, не, не."
"  A force de vous voir vous faire des amis,","Като ви видя как сте се сприятеляли,"
"  Et rire à ces amis dont vous avez des foules,","И да се смеете на тези приятели, които имате в тълпата,"
  D'une bouche empruntée au derrière des poules !,"С усти, които са заети от куки!"
"  J'aime raréfier sur mes pas les saluts,","Обичам да поздравя хората с поздрави, когато ходя."
  Et m'écrie avec joie: un ennemi de plus !,И ми вика с радост: още един враг!
LE BRET:,"- Не, не, не."
  Quelle aberration !,Какво абералство!
CYRANO:,"- Не, не, не, не."
"  Eh bien, oui, c'est mon vice.","Е, да, това е моят вик."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Аз обичам да се отдалечавам, обичам да ме мразят."
"  Mon cher, si tu savais comme l'on marche mieux","Скъпа, ако знаеше как да ходиш по-добре"
  Sous la pistolétade excitante des yeux !,Под възбуждащото оръжие на очите!
"  Comme, sur les pourpoints, font d'amusantes taches","Като, на посоките, правят забавни петна"
  Le fiel des envieux et la bave des lâches !,Гърлицата на завистливите и злото на страхливите!
"  --Vous, la molle amitié dont vous vous entourez,","Ти, с която се обвързваш,"
"  Ressemble à ces grands cols d'Italie, ajourés","Прилича на тези големи италиански шишки, отлагани"
"  Et flottants, dans lesquels votre cou s'effémine:","И плаващи, в които врата ви се изплаква."
"  On y est plus à l'aise. . .et de moins haute mine,",По-удобно е да се държиш там.
"  Car le front n'ayant pas de maintien ni de loi,","Защото челото не е с право и закон,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Тя се отказва да се наклони към всички посоки.
"  La Haine, chaque jour, me tuyaute et m'apprête",Всеки ден омразата ме изкушава и ме подкопава.
  La fraise dont l'empois force à lever la tête;,"Стравката, която отровата си принуждава да вдигне главата си;"
  Chaque ennemi de plus est un nouveau godron,Всеки друг враг е нов боклук.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Той ме накара да се чувствам неудобно и да се чувствам ужасно.
"  Car, pareille en tous points à la fraise espagnole,","Защото, както във всички отношения, както в испанската краставица,"
"  La Haine est un carcan, mais c'est une auréole !","Ненавистта е като скапан, но е като ареол!"
"LE BRET (après un silence, passant son bras sous le sien):","БРЕТ (след мълчание, преминавайки ръката си под него):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Направи гордния високо и горчив, но ниско."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Просто ми кажи, че не те обича!"
CYRANO (vivement):,CYRANO (живо):
  Tais-toi !,Млъкни!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(От известно време, Кристиан влезе, се забърка с младежите; те"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Не му говореха, а той седнал сам на една"
