Scène 2.VIII.,ສະພາບທີ 2.VIII.
"  La Haine, chaque jour, me tuyaute et m'apprête","ຄວາມກຽດຊັງ, ທຸກມື້, ແມ່ນການສູບຢາແລະປຸກລະດົມຂ້ອຍ"
  La fraise dont l'empois force à lever la tête;,ຫມາກໄມ້ທີ່ພິດມັນເຮັດໃຫ້ຫົວມັນຫັກຂຶ້ນ
  Chaque ennemi de plus est un nouveau godron,ສັດຕູໃດກໍຕາມ ທີ່ເພີ່ມຂຶ້ນ ແມ່ນເປັນຫມູໃຫມ່
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",ພຣະອົງຊົງເພີ່ມຄວາມໂກດຮ້າຍໃຫ້ແກ່ເຮົາ ແລະເຮັດໃຫ້ເຮົາມີຄວາມໂກດຮ້າຍ.
"  Car, pareille en tous points à la fraise espagnole,","ເພາະວ່າ, ໃນທຸກດ້ານ, ຄ້າຍຄືກັບ French fries ຂອງສະເປນ,"
"  La Haine est un carcan, mais c'est une auréole !","ຄວາມກຽດຊັງແມ່ນກະຕ່າ, ແຕ່ມັນເປັນດວງດວງດວງດວງ!"
"LE BRET (après un silence, passant son bras sous le sien):","THE BRET (ຫຼັງຈາກການງຽບ, ການຜ່ານແຂນຂອງຕົນໃນພາຍໃຕ້ຂອງຕົນ):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","ໃຫ້ຄົນອັກຄະລໍາ ແລະ ຄວາມອວດອົກສູງຂຶ້ນ, ແຕ່ໃຫ້ຄົນອ່ອນລົງ"
  Dis-moi tout simplement qu'elle ne t'aime pas !,ພຽງແຕ່ບອກຂ້ອຍວ່ານາງບໍ່ຮັກເຈົ້າ!
CYRANO (vivement):,CYRANO (ມີຊີວິດ):
  Tais-toi !,ຊັກຊ້າ!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(ຈາກເວລາດົນນານ, Christian ໄດ້ເຂົ້າໄປໃນ, ໄດ້ແຊກແຊງກັບເດັກນ້ອຍ;"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,ບໍ່ເວົ້າກັບລາວ; ໃນທີ່ສຸດລາວໄດ້ນັ່ງຢູ່ຄົນດຽວກັບຄົນ ຫນຶ່ງ
