Scène 2.VIII.,दृश्य 2.VIII.
  Dans les petits papiers du Mercure François ?. . .,मर्कूरी फ्रांसिस के छोट-छोट कागजात मा . . .
"  Non, merci ! Calculer, avoir peur, être blême,","नाहीं, धन्यवाद! गणना, भय, निराशा,"
"  Aimer mieux faire une visite qu'un poème,",एक कविता से ज्यादा एक यात्रा का प्यार
"  Rédiger des placets, se faire présenter ?",का तू पचे आपन बारे मँ सोचत अहा?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","नाहीं, धन्यवाद. नाहीं, धन्यवाद. नाहीं, धन्यवाद."
"  Rêver, rire, passer, être seul, être libre,","सपना देखब, हँसब, पार होइब, अकेले होइब, मुक्त होइब,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","आँखिन मँ आँखिन अहइँ, अउर कान अहइँ,"
"  Mettre, quand il vous plaît, son feutre de travers,",&nbspअउर जब कबहुँ तू पराथना करत खड़ा होइ जा तउ कउनो कि खिलाफ तोहका सिकाइत होई तउ ओका तू छमा कइ द्या
"  Pour un oui, pour un non, se battre,--ou faire un vers !","हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ, हाँ. . . . अगर तू लड़त अहा तउ तू लड़त अहा, अगर तू लड़त अहा तउ तू लड़त अहा"
"  Travailler sans souci de gloire ou de fortune,",काम करइ मँ कउनो महत्व नाहीं रखत काहेकि उ पचे धन-दौलत स पइदा अहइँ।
"  A tel voyage, auquel on pense, dans la lune !",उ सबइ लोग अइसी जात्रा करत अहइँ जउन चाँद क समान अहइँ।
"  N'écrire jamais rien qui de soi ne sortît,",उ सबइ चिजियन जिन लिखा जउन आप खुदइ नाहीं लिखत ह।
"  Et modeste d'ailleurs, se dire: mon petit,","अउर फिन तउ तू ऍतना समझदार अहा कि मूर्खन क बात खुसी क साथे सहि लेत ह,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","चाहे उ पचे फूलन स, फल स अउर पातन स भरि जाइँ"
  Si c'est dans ton jardin à toi que tu les cueilles !,अगर तू आपन ही गार्डन मँ ओनका गोता लगब्या!
"  Puis, s'il advient d'un peu triompher, par hasard,",अउर अगर उ विजयी होत ह तउ विजयी होत ह
"  Ne pas être obligé d'en rien rendre à César,","तउ फिन तू कह्या, 'कैसर क चुंगी चुकावइ क कउनो चीज नाहीं ।'"
"  Vis-à-vis de soi-même en garder le mérite,",अउर आपन महान सक्ती स खिलवाड़ करा
"  Bref, dédaignant d'être le lierre parasite,",(इ उहइ यहोवा अहइ जउन इब्राहींम क अजाद किहे रहा।)
"  Lors même qu'on n'est pas le chêne ou le tilleul,","जब तक हम पचे ओकरी रूख या ओहदा क पेड़ नाहीं अही,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं उठीं, नाहीं, नाहीं उठीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं, नाहीं,"
LE BRET:,"उ सबइ लोग कहत हीं,"
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","एकउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसरउ क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ, दूसर क साथ"
  As-tu donc contracté la manie effroyable,का तू अबहुँ समझत बुझत नाहीं बाट्या?
"  De te faire toujours, partout, des ennemis ?",का तू पचे सोचत अहा कि तोहका सबन्क आपन खिलाफ लड़इ क अहइ?
CYRANO:,साइरोन:
"  A force de vous voir vous faire des amis,",अउर तू पचे फउजी बनब्या।
"  Et rire à ces amis dont vous avez des foules,",अउर तू ओन लोगन स मजाक उड़ावत अहा जेनके पास भीड़ अहइ।
  D'une bouche empruntée au derrière des poules !,एक मुह से उधार लिया कि मुर्गा का पछाड़!
"  J'aime raréfier sur mes pas les saluts,",अउर मइँ अपने दाहिन हाथन स छमा कीन्ह जाब।
  Et m'écrie avec joie: un ennemi de plus !,"अउर मोर पुकार खुसी स करा, ""एक अउर दुस्मन!"
LE BRET:,"उ सबइ लोग कहत हीं,"
  Quelle aberration !,इ एक बहुत बुरी बात अहइ।
CYRANO:,साइरोन:
"  Eh bien, oui, c'est mon vice.","हाँ, हाँ, हाँ, हाँ, हाँ, हाँ. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . ."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,मइँ इ लखिके बहोत खुस अहउँ कि तू मोका अपनावत ह।
"  Mon cher, si tu savais comme l'on marche mieux","मोर प्रियतम, अगर तू जानत ह कि हम कइसे चल सकत ही"
  Sous la pistolétade excitante des yeux !,"उ पचे जउन कछू भी करत हीं, उ पचे ओन भयंकर गन्दी देवमूरतियन क पूजा करत हीं।"
"  Comme, sur les pourpoints, font d'amusantes taches",जब उ पचे मजाकिया काम करत हीं
  Le fiel des envieux et la bave des lâches !,इ सबइ बुरी बातन स घिना करत हीं अउर घिना करत हीं।
"  --Vous, la molle amitié dont vous vous entourez,",अउर तू पचे फुरइ ही अहा दयालु अउर करुणापूर्ण।
"  Ressemble à ces grands cols d'Italie, ajourés","इतालियाई बसेंबर्ग की तरह दिखता है, टाइटल"
"  Et flottants, dans lesquels votre cou s'effémine:",अउर तोहरे गटइया मँ पानी फइलावत ह
"  On y est plus à l'aise. . .et de moins haute mine,","हम त बस आराम से जात बानी. . . अउर कम ऊँचाई से,"
"  Car le front n'ayant pas de maintien ni de loi,","काहेकि जब तलक ओकर मुँह मँ कउनो व्यवस्था नाहीं होइ,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",उ सबइ लोग हर तरह स मोह पइ वार करत हीं।
"  La Haine, chaque jour, me tuyaute et m'apprête","हर दिन, नफरत मोका चोदती रही अउर मोका तड़पावत रही"
  La fraise dont l'empois force à lever la tête;,"उ पचे आपन मूँड़न क ऊपर उठाइ लेत हीं,"
  Chaque ennemi de plus est un nouveau godron,हर एक अउर दुस्मन नवा गदहन अहइ
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",उ मोका बहोत दुःख देत ह अउर मोका बहोतइ कस्ट देत ह ।
"  Car, pareille en tous points à la fraise espagnole,",काहेकि हर तरह क हिंसक चीज स्पैनिश स्ट्रेच क समान होत हीं
"  La Haine est un carcan, mais c'est une auréole !","नफरत एक चक्कर है, लेकिन ई एक अणु है!"
"LE BRET (après un silence, passant son bras sous le sien):",(उ पचे अबहुँ तलक पवित्तर सास्तर क इ बचन नाहीं समझे रहेन कि ओका मरा मनइयन स जी उठब एकदम पक्का अहइ।)
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","अहंकारी मनई क आपन ऊँचाई पइ उठावा अउर ओका कड़वाहट बनावा, मुला ओका आपन ऊँचाई पइ लटकावा"
  Dis-moi tout simplement qu'elle ne t'aime pas !,बस मोका बतावा कि उ तोहसे पिरेम नाहीं करत!
CYRANO (vivement):,सीरानो (जीवित):
  Tais-toi !,"चुप रहा, चुप रहा!"
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(एक पल बाद, क्रिस्टियन अंदर चला गवा, अउर जवानन का साथ मिला,"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"उ पचे ओसे कछू भी बात नाहीं किहन, उ अकेले मँ एक ठु"
