Scène 2.VIII.,Schauplatz 2.VIII.
"  Non, merci. Dédier, comme tous il le font,","Nein, danke, aber wie jeder andere,"
  Des vers aux financiers ? se changer en bouffon,"Von Würmern bis zu Finanzkräften, um sich zu einem Schwachkopf zu machen."
"  Dans l'espoir vil de voir, aux lèvres d'un ministre,","In der schändlichen Hoffnung, zu sehen, auf den Lippen eines Ministers,"
"  Naître un sourire, enfin, qui ne soit pas sinistre ?","Ein Lächeln zu bekommen, das nicht übel ist?"
"  Non, merci. Déjeuner, chaque jour, d'un crapaud ?",- Mittagessen mit einem Schrauben?
  Avoir un ventre usé par la marche ? une peau,"Ein Bauch zu haben, der durch den Lauf verschlungen ist, eine Haut."
"  Qui plus vite, à l'endroit des genoux, devient sale ?","Wer wird am schnellsten schmutzig, anstatt zu knien?"
  Exécuter des tours de souplesse dorsale ?. . .,Rastungsprozesse? . . .
"  Non, merci. D'une main flatter la chèvre au cou","Nein, danke, mit einer Hand schmeicheln Sie der Ziege um den Hals"
"  Cependant que, de l'autre, on arrose le chou,","Wenn man aber den anderen den Kohl gießt,"
"  Et, donneur de séné par désir de rhubarbe,","und der sich aus Verlangen nach Schmuck schüttet,"
"  Avoir son encensoir, toujours, dans quelque barbe ?",Sein Räucher immer in einem Bart?
"  Non, merci ! Se pousser de giron en giron,","Nein, danke, ich bin nicht so gut."
"  Devenir un petit grand homme dans un rond,","Ein großer kleiner Mann in einer Runde zu werden,"
"  Et naviguer, avec des madrigaux pour rames,","und mit Schienenfahrzeugen,"
  Et dans ses voiles des soupirs de vieilles dames ?,Und in seinen Seilen sind die Seufzer von alten Damen?
"  Non, merci ! Chez le bon éditeur de Sercy","Nein, danke, bei dem richtigen Sercy-Editor."
"  Faire éditer ses vers en payant ? Non, merci !",- Er muss seine Wurmstücke bezahlen?
  S'aller faire nommer pape par les conciles,Die Konzelle zum Papst ernennen
  Que dans des cabarets tiennent des imbéciles ?,Dass in Kabaren Dummköpfe sitzen?
"  Non, merci ! Travailler à se construire un nom","Ich arbeite daran, mir einen Namen zu machen."
"  Sur un sonnet, au lieu d'en faire d'autres ? Non,","Auf einem Sonnet, statt auf andere?"
  Merci ! Ne découvrir du talent qu'aux mazettes ?,- Du kannst Talent nur in den Schlägern entdecken.
"  Être terrorisé par de vagues gazettes,","Von den Wellen der Zeitungen erschreckt zu werden,"
"  Et se dire sans cesse: Oh, pourvu que je sois","Und immer wieder zu sagen: ""Oh, wenn ich bin"
  Dans les petits papiers du Mercure François ?. . .,In den kleinen Papieren von Merkur Francis? . . .
"  Non, merci ! Calculer, avoir peur, être blême,","Es geht um Berechnungen, Angst, Blasen."
"  Aimer mieux faire une visite qu'un poème,","Es ist besser, einen Besuch zu machen als ein Gedicht."
"  Rédiger des placets, se faire présenter ?",Werden Sie sich vorstellen?
"  Non, merci ! non, merci ! non, merci ! Mais. . .chanter,","Nein, danke, danke, danke, aber singen,"
"  Rêver, rire, passer, être seul, être libre,","Träumen, lachen, vorbeiziehen, allein sein, frei sein,"
"  Avoir l'oeil qui regarde bien, la voix qui vibre,","Ein gutes Auge, eine zitterte Stimme,"
"  Mettre, quand il vous plaît, son feutre de travers,","Sie können sich, wenn Sie wollen, in die Richtung verlegen."
"  Pour un oui, pour un non, se battre,--ou faire un vers !","Für ein Ja, für ein Nein, um zu kämpfen, - oder ein Wurm zu machen!"
"  Travailler sans souci de gloire ou de fortune,",Sie arbeiten ohne sich um Ruhm oder Reichtum zu kümmern.
"  A tel voyage, auquel on pense, dans la lune !","Auf eine Reise zum Mond, an die man sich erinnert."
"  N'écrire jamais rien qui de soi ne sortît,","Schreiben Sie nie etwas, das nicht von sich selbst kommt,"
"  Et modeste d'ailleurs, se dire: mon petit,","Und bescheiden, sich zu sagen: ""Mein kleiner Junge,"
"  Soit satisfait des fleurs, des fruits, même des feuilles,","Sie genießen Blumen, Früchte, sogar Blätter,"
  Si c'est dans ton jardin à toi que tu les cueilles !,Wenn du sie in deinem Garten holst!
"  Puis, s'il advient d'un peu triompher, par hasard,","Wenn er dann zufällig ein wenig triumphiert,"
"  Ne pas être obligé d'en rien rendre à César,","Ich bin nicht verpflichtet, dem Kaiser etwas zu geben,"
"  Vis-à-vis de soi-même en garder le mérite,","Und wenn man sich selbst das Verdienst hält,"
"  Bref, dédaignant d'être le lierre parasite,","Kurz gesagt, verwerfen Sie sich als parasitische Lyrie,"
"  Lors même qu'on n'est pas le chêne ou le tilleul,","Auch wenn man nicht der Eichen oder der Pflaster ist,"
"  Ne pas monter bien haut, peut-être, mais tout seul !","Vielleicht nicht ganz hoch, aber allein!"
LE BRET:,Der Brett:
"  Tout seul, soit ! Mais non pas contre tous ! Comment diable","Alleine, aber nicht gegen alle."
  As-tu donc contracté la manie effroyable,Hast du also die schreckliche Verrücktheit bekommen?
"  De te faire toujours, partout, des ennemis ?",Immer immer Feinde zu machen?
CYRANO:,CYRANO:
"  A force de vous voir vous faire des amis,","Ich habe mich gefreut, dass ihr Freunde macht."
"  Et rire à ces amis dont vous avez des foules,","Und lachen Sie über diese Freunde, die Sie in der Menge haben,"
  D'une bouche empruntée au derrière des poules !,"Mit einem Mund, der sich hinter den Hühnern leiht!"
"  J'aime raréfier sur mes pas les saluts,","Ich liebe es, auf meinen Füßen Grüße zu verhüten,"
  Et m'écrie avec joie: un ennemi de plus !,Und ruft mich mit Freude: Ein weiterer Feind!
LE BRET:,Der Brett:
  Quelle aberration !,Was für eine Abneigung!
CYRANO:,CYRANO:
"  Eh bien, oui, c'est mon vice.","Nun, ja, das ist mein Vice."
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,"Ich liebe es, wenn man mich hasst."
"  Mon cher, si tu savais comme l'on marche mieux","Mein lieber, wenn du wüsstest, wie man besser geht"
  Sous la pistolétade excitante des yeux !,Unter dem aufregenden Pistolet-Stick der Augen!
"  Comme, sur les pourpoints, font d'amusantes taches",Wie die Punkte amüsieren sich
  Le fiel des envieux et la bave des lâches !,Die Feuersucht der Eifersucht und die Schlampe der Feiglinge!
"  --Vous, la molle amitié dont vous vous entourez,","- Du, die sanfte Freundschaft, die du um dich herum hast,"
"  Ressemble à ces grands cols d'Italie, ajourés","Sieh wie die großen italienischen Halsschläger, die sich ausgesetzt haben."
"  Et flottants, dans lesquels votre cou s'effémine:","Und schwimmen, in denen sich dein Hals verkrampft:"
"  On y est plus à l'aise. . .et de moins haute mine,","Wir fühlen uns hier wohler. ...und mit weniger Höhe,"
"  Car le front n'ayant pas de maintien ni de loi,","Denn die Stirn hat keine Ordnung und kein Gesetz,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Er verzichtet auf jede Art von Ausrichtung.
"  La Haine, chaque jour, me tuyaute et m'apprête",Ich bin täglich von Hass geprägt
  La fraise dont l'empois force à lever la tête;,"Die Fraise, deren Gift den Kopf heben lässt;"
  Chaque ennemi de plus est un nouveau godron,Jeder weitere Feind ist ein neuer Schwein.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:","Und er fügt mir Schmerzen hinzu, und er fügt mir Strahl hinzu."
"  Car, pareille en tous points à la fraise espagnole,","Denn wie in allen Dingen die spanische Fraise,"
"  La Haine est un carcan, mais c'est une auréole !","Hatred ist ein Schwein, aber es ist eine Auraole!"
"LE BRET (après un silence, passant son bras sous le sien):","Der Brett (nach einem Schweigen, seinen Arm unter seinem):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Mach den Hochmütigen hoch und bittere, aber tief."
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Sag mir einfach, dass sie dich nicht liebt!"
CYRANO (vivement):,CYRANO (lebendig):
  Tais-toi !,- Was ist denn das?
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Von einer Weile, Christian kam, verwickelte sich mit den Jugendlichen; diese"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"Sie haben nicht mit ihm sprechen, schließlich ist er allein zu einer"
