Scène 2.VIII.,Scenen 2.VIII.
  Déplaire est mon plaisir. J'aime qu'on me haïsse.,Jeg er glad for at blive afskåret.
"  Mon cher, si tu savais comme l'on marche mieux","Kære, hvis du vidste, hvordan man går bedre"
  Sous la pistolétade excitante des yeux !,Under de spændende øjenvåben.
"  Comme, sur les pourpoints, font d'amusantes taches","Som, på pointer, gør sjove pletter"
  Le fiel des envieux et la bave des lâches !,Det er en misundelig æsel og en frygtslig æsel.
"  --Vous, la molle amitié dont vous vous entourez,","-Du, den milde venlighed, du omgiver dig med,"
"  Ressemble à ces grands cols d'Italie, ajourés","Ligner de store italienske hals, der er udskudt"
"  Et flottants, dans lesquels votre cou s'effémine:","Og flydende, hvor dit hals skræmmer sig:"
"  On y est plus à l'aise. . .et de moins haute mine,","Vi er mere komfortable i det. ...og mindre høje,"
"  Car le front n'ayant pas de maintien ni de loi,","For forinden har ingen lov eller lov,"
"  S'abandonne à pencher dans tous les sens. Mais moi,",Han giver sig selv til at se på alle måder.
"  La Haine, chaque jour, me tuyaute et m'apprête",Hasset pisser og pisser mig hver dag
  La fraise dont l'empois force à lever la tête;,"En frø, hvis gift tvinger hovedet til at rejse sig."
  Chaque ennemi de plus est un nouveau godron,Hver eneste fjende er en ny gudrel.
"  Qui m'ajoute une gêne, et m'ajoute un rayon:",Han giver mig mere til at blive pinet og til at blive mere forfærdelig.
"  Car, pareille en tous points à la fraise espagnole,","For ligesom den spanske frø,"
"  La Haine est un carcan, mais c'est une auréole !","Hæden er en skælv, men det er en auréole!"
"LE BRET (après un silence, passant son bras sous le sien):","BRET (efter tavshed, passerer sin arm under sin):"
"  Fais tout haut l'orgueilleux et l'amer, mais, tout bas","Lad dig være høj og bitter, men lav"
  Dis-moi tout simplement qu'elle ne t'aime pas !,"Sig bare, at hun ikke elsker dig!"
CYRANO (vivement):,CYRANO (levende):
  Tais-toi !,- Hold kæft!
"  (Depuis un moment, Christian est entré, s'est mêlé aux cadets; ceux-ci","(Efter et stykke tid, Christian kom ind, blandede sig med de yngre, disse"
  ne lui adressent pas la parole; il a fini par s'asseoir seul à une,"De talte ikke med ham, men han sad alene i en"
